insee_code,commune_name,latitude,longitude
01001,L'Abergement-Clémenciat,46.1517,4.9306
01002,L'Abergement-de-Varey,46.0071,5.4247
01004,Ambérieu-en-Bugey,45.9575,5.3706
01005,Ambérieux-en-Dombes,45.9992,4.9119
01006,Ambléon,45.7483,5.5928
01007,Ambronay,46.0099,5.3627
01008,Ambutrix,45.9347,5.3359
01009,Andert-et-Condon,45.7841,5.6607
01010,Anglefort,45.9086,5.7948
01011,Apremont,46.2045,5.6619
01012,Aranc,45.9972,5.514
01013,Arandas,45.8885,5.4982
01014,Arbent,46.2838,5.6879
01015,Arboys en Bugey,45.7189,5.6404
01016,Arbigny,46.4808,4.9613
01017,Argis,45.9322,5.4819
01019,Armix,45.8523,5.5837
01021,Ars-sur-Formans,45.9904,4.8195
01022,Artemare,45.8701,5.692
01023,Asnières-sur-Saône,46.3859,4.882
01024,Attignat,46.2858,5.1823
01025,Bâgé-Dommartin,46.3277,4.9704
01026,Bâgé-le-Châtel,46.3081,4.9305
01027,Balan,45.8268,5.1076
01028,Baneins,46.1117,4.9045
01029,Beaupont,46.4274,5.2634
01030,Beauregard,46.0012,4.7567
01031,Bellignat,46.2402,5.6371
01032,Béligneux,45.8622,5.1415
01033,Valserhône,46.1234,5.7944
01034,Belley,45.743,5.6927
01035,Belleydoux,46.2519,5.7816
01036,Valromey-sur-Séran,45.9236,5.6626
01037,Bénonces,45.842,5.4834
01038,Bény,46.3189,5.2789
01040,Béréziat,46.3699,5.0431
01041,Bettant,45.9366,5.3648
01042,Bey,46.2182,4.844
01043,Beynost,45.8359,4.9964
01044,Billiat,46.0778,5.7632
01045,Birieux,45.9509,5.0401
01046,Biziat,46.224,4.9393
01047,Blyes,45.8442,5.2515
01049,La Boisse,45.8483,5.0262
01050,Boissey,46.3723,4.9975
01051,Bolozon,46.1971,5.4701
01052,Bouligneux,46.0202,4.9957
01053,Bourg-en-Bresse,46.2027,5.2469
01054,Bourg-Saint-Christophe,45.8842,5.1393
01056,Boyeux-Saint-Jérôme,46.0356,5.4616
01057,Boz,46.4089,4.9166
01058,Brégnier-Cordon,45.6406,5.6174
01060,Brénod,46.0791,5.6116
01061,Brens,45.7163,5.69
01062,Bressolles,45.8714,5.0984
01063,Brion,46.1689,5.5477
01064,Briord,45.768,5.4832
01065,Buellas,46.2116,5.1468
01066,La Burbanche,45.8629,5.548
01067,Ceignes,46.1258,5.4957
01068,Cerdon,46.075,5.4755
01069,Certines,46.1336,5.2638
01071,Cessy,46.3157,6.082
01072,Ceyzériat,46.1822,5.3191
01073,Ceyzérieu,45.8368,5.7197
01074,Chalamont,46.0149,5.1735
01075,Chaleins,46.0361,4.7999
01076,Chaley,45.9511,5.5408
01077,Challes-la-Montagne,46.1237,5.456
01078,Challex,46.1765,5.9735
01079,Champagne-en-Valromey,45.9317,5.6921
01080,Champdor-Corcelles,46.0371,5.5882
01081,Champfromier,46.2264,5.8216
01082,Chanay,46.0024,5.7674
01083,Chaneins,46.0947,4.8517
01084,Chanoz-Châtenay,46.1868,5.0302
01085,La Chapelle-du-Châtelard,46.0683,5.0174
01087,Charix,46.1893,5.6773
01088,Charnoz-sur-Ain,45.8756,5.2251
01089,Château-Gaillard,45.9723,5.3091
01090,Châtenay,46.0276,5.2085
01092,Châtillon-la-Palud,45.9757,5.246
01093,Châtillon-sur-Chalaronne,46.1264,4.9549
01094,Chavannes-sur-Reyssouze,46.4403,5.0069
01095,Nivigne et Suran,46.2824,5.4323
01096,Chaveyriat,46.1991,5.0534
01098,Chazey-Bons,45.8007,5.6678
01099,Chazey-sur-Ain,45.8937,5.2604
01100,Cheignieu-la-Balme,45.8233,5.6022
01101,Chevillard,46.1087,5.5815
01102,Chevroux,46.3822,4.9598
01103,Chevry,46.2841,6.0474
01104,Chézery-Forens,46.2244,5.8693
01105,Civrieux,45.9208,4.8895
01106,Cize,46.2015,5.45
01107,Cleyzieu,45.9027,5.4317
01108,Coligny,46.3889,5.3352
01109,Collonges,46.1397,5.9007
01110,Colomieu,45.7338,5.6269
01111,Conand,45.8836,5.4787
01112,Condamine,46.1056,5.5596
01113,Condeissiat,46.1541,5.0863
01114,Confort,46.1536,5.8358
01115,Confrançon,46.2732,5.06
01116,Contrevoz,45.7971,5.6164
01117,Conzieu,45.7246,5.602
01118,Corbonod,45.9668,5.7902
01121,Corlier,46.0369,5.5003
01123,Cormoranche-sur-Saône,46.2459,4.8305
01124,Cormoz,46.4375,5.2209
01125,Corveissiat,46.2514,5.4771
01127,Courmangoux,46.3243,5.3585
01128,Courtes,46.4564,5.1128
01129,Crans,45.9667,5.1917
01130,Bresse Vallons,46.3271,5.1822
01133,Cressin-Rochefort,45.7833,5.765
01134,Crottet,46.2848,4.876
01135,Crozet,46.2906,5.9929
01136,Cruzilles-lès-Mépillat,46.2233,4.876
01138,Culoz-Béon,45.8553,5.7716
01139,Curciat-Dongalon,46.4883,5.1666
01140,Curtafond,46.2742,5.1051
01141,Cuzieu,45.8216,5.6802
01142,Dagneux,45.854,5.0748
01143,Divonne-les-Bains,46.3754,6.1114
01145,Dompierre-sur-Veyle,46.0672,5.2167
01146,Dompierre-sur-Chalaronne,46.142,4.9004
01147,Domsure,46.4211,5.2945
01148,Dortan,46.3184,5.6443
01149,Douvres,45.9847,5.3724
01150,Drom,46.2202,5.3674
01151,Druillat,46.0691,5.2947
01152,Échallon,46.2293,5.7346
01153,Échenevex,46.3197,6.018
01155,Évosges,45.963,5.5008
01156,Faramans,45.9086,5.126
01157,Fareins,46.0235,4.7682
01158,Farges,46.1657,5.9054
01159,Feillens,46.3393,4.8866
01160,Ferney-Voltaire,46.252,6.1061
01162,Flaxieu,45.8125,5.7466
01163,Foissiat,46.3792,5.1851
01165,Francheleins,46.0707,4.8111
01166,Frans,45.9905,4.7819
01167,Garnerans,46.2124,4.8289
01169,Genouilleux,46.1211,4.7926
01170,Béard-Géovreissiat,46.1884,5.5497
01171,Géovreisset,46.2518,5.6163
01173,Gex,46.3515,6.0488
01174,Giron,46.2209,5.7891
01175,Gorrevod,46.4157,4.9507
01177,Grand-Corent,46.2089,5.4388
01179,Grièges,46.2669,4.8475
01180,Grilly,46.3318,6.1139
01181,Groissiat,46.227,5.6179
01183,Guéreins,46.106,4.7839
01184,Hautecourt-Romanèche,46.1592,5.4311
01185,Plateau d'Hauteville,45.9305,5.5775
01187,Haut Valromey,46.0436,5.6846
01188,Illiat,46.1838,4.8884
01189,Injoux-Génissiat,46.0505,5.7678
01190,Innimond,45.7875,5.5723
01191,Izenave,46.038,5.5234
01192,Izernore,46.216,5.5609
01193,Izieu,45.6555,5.6387
01194,Jassans-Riottier,45.9771,4.7626
01195,Jasseron,46.2176,5.317
01196,Jayat,46.3698,5.1117
01197,Journans,46.1455,5.3333
01198,Joyeux,45.946,5.0998
01199,Jujurieux,46.0503,5.4122
01200,Labalme,46.0915,5.4945
01202,Lagnieu,45.8863,5.3396
01203,Laiz,46.2462,4.9006
01204,Le Poizat-Lalleyriat,46.1392,5.6955
01206,Lantenay,46.0531,5.5379
01207,Lapeyrouse,45.9849,4.9821
01208,Lavours,45.8108,5.7707
01209,Léaz,46.1114,5.8768
01210,Lélex,46.2856,5.9274
01211,Lent,46.1165,5.1974
01212,Lescheroux,46.4089,5.1573
01213,Leyment,45.9287,5.2927
01214,Leyssard,46.1605,5.4767
01215,Surjoux-Lhopital,46.0302,5.7666
01216,Lhuis,45.7469,5.5398
01219,Lompnas,45.8118,5.5263
01224,Loyettes,45.7953,5.2163
01225,Lurcy,46.0628,4.7802
01227,Magnieu,45.7763,5.7197
01228,Maillat,46.1204,5.535
01229,Malafretaz,46.3299,5.1462
01230,Mantenay-Montlin,46.4318,5.1064
01231,Manziat,46.3651,4.9026
01232,Marboz,46.3452,5.2461
01233,Marchamp,45.7762,5.5509
01234,Marignieu,45.8023,5.718
