#-----------------------------------------------------------------------------
# Date d'extraction : 17/04/2026 - 23h05 loc.
#-----------------------------------------------------------------------------
# Producteur : MF_DCSC
# Experience : TRACC2023
# Modele     : CCLM4-8-17_MPI-ESM
#-----------------------------------------------------------------------------
# Niveaux de réchauffement :
#     GWL15 : Niveau de réchauffement Monde 1.5 degrés -> 2030 / France +2°C
#-----------------------------------------------------------------------------
# Type d'indice : annuel
#-----------------------------------------------------------------------------
# Indices : 
#     NORTMm_yr : Température moyenne annuelle (°C)
#     NORTMm_seas_JJA : Température moyenne en été (°C)
#     NORTMm_seas_DJF : Température moyenne en hiver (°C)
#     NORTXm_seas_JJA : Température maximale en été (°C)
#     NORTX35D_yr : Nombre de jours avec Tx >= 35°C (jour(s))
#     NORTX30D_yr : Nombre de jours avec Tx >= 30°C (jour(s))
#     NORTR_yr : Nombre de nuits tropicales (jour(s))
#     NORRR_yr : Cumul de précipitations annuelles (mm)
#     NORRR_seas_JJA : Cumul de précipitations en été (mm)
#     NORRR_seas_DJF : Cumul de précipitations en hiver (mm)
#     NORRRq99_yr : Cumul de précipitations quotidiennes remarquables (percentile 99 du cumul  quotidien) (mm)
#     NORRx1d_yr : Intensité des précipitations extrêmes (max annuel des  précipitations totales) (mm)
#     NORRRq99refD_yr : Fréquence des précipitations quotidienne remarquables (jour(s))
#     NORIFM40_yr : Indicateur feux météo nombre de jours supérieurs à 40 (jour(s))
#     NORSWI04_yr : Nombre de jours avec SWI < 0.4 (jour(s))
#     ATMm_yr : Ecart de température moyenne annuelle (°C)
#     ATMm_seas_JJA : Ecart de température moyenne en été (°C)
#     ATMm_seas_DJF : Ecart de température moyenne en hiver (°C)
#     ATXm_seas_JJA : Ecart de température maximale en été (°C)
#     ATX35D_yr : Ecart de nombre de jours avec tx >= 35°c (jour(s))
#     ATX30D_yr : Ecart de nombre de jours avec tx >= 30°c (jour(s))
#     ATR_yr : Ecart de nombre de nuits tropicales (jour(s))
#     ARRq99refD_yr : Ecart de fréquence des précipitations quotidienne remarquables (jour(s))
#     AIFM40_yr : Ecart de indicateur feux météo nombre de jours supérieurs à 40 (jour(s))
#     ASWI04_yr : Ecart de nombre de jours avec swi < 0.4 (jour(s))
#     ARRR_yr : Ecart relatif de cumul de précipitations annuelles
#     ARRR_seas_JJA : Ecart relatif de cumul de précipitations en été
#     ARRR_seas_DJF : Ecart relatif de cumul de précipitations en hiver
#     ARRRq99_yr : Ecart relatif de cumul de précipitations quotidiennes remarquables (percentile 99 du cumul  quotidien)
#     ARRx1d_yr : Ecart relatif de intensité des précipitations extrêmes (max annuel des  précipitations totales)
#-----------------------------------------------------------------------------
# Format des enregistrements 
# Point;Latitude;Longitude;Niveau;NORTMm_yr;NORTMm_seas_JJA;NORTMm_seas_DJF;NORTXm_seas_JJA;NORTX35D_yr;NORTX30D_yr;NORTR_yr;NORRR_yr;NORRR_seas_JJA;NORRR_seas_DJF;NORRRq99_yr;NORRx1d_yr;NORRRq99refD_yr;NORIFM40_yr;NORSWI04_yr;ATMm_yr;ATMm_seas_JJA;ATMm_seas_DJF;ATXm_seas_JJA;ATX35D_yr;ATX30D_yr;ATR_yr;ARRq99refD_yr;AIFM40_yr;ASWI04_yr;ARRR_yr;ARRR_seas_JJA;ARRR_seas_DJF;ARRRq99_yr;ARRx1d_yr;
#-----------------------------------------------------------------------------
139;41.3373;9.1495;GWL15;17.44;25.31;10.46;29.8;8.1;53.8;69.1;621.43;62.05;201.96;24.84;54.97;2.8;49;195;1.57;1.98;1.1;1.82;6;25.2;35;-0.9;11;16;-0.12;0.07;-0.11;-0.1;0.13;
281;41.4149;9.0628;GWL15;17.44;25.3;10.45;29.79;8.1;53.8;69.1;621.74;62.04;202.06;24.85;54.98;2.8;49;195;1.57;1.98;1.1;1.82;6;25.2;35;-0.9;11;16;-0.12;0.07;-0.11;-0.1;0.13;
282;41.4087;9.1577;GWL15;17.11;25.06;10.07;29.48;6.8;49.8;66.8;644.21;64.19;209.43;25.75;56.21;2.8;43;211;1.58;2.01;1.07;1.89;5;24.5;34.7;-0.9;11;19;-0.12;0.07;-0.11;-0.1;0.12;
283;41.4025;9.2527;GWL15;17.41;25.28;10.42;29.76;8.1;53.3;68.8;623.84;62.22;202.74;24.93;55.1;2.8;48;222;1.57;1.98;1.09;1.82;6;25;34.9;-0.8;11;22;-0.12;0.07;-0.11;-0.1;0.13;
422;41.4985;8.8808;GWL15;17.31;25.15;10.4;29.75;8.8;53.9;65.5;631.03;66.88;208.82;24.7;54.64;2.6;48;201;1.52;1.89;1.12;1.85;6.7;25.9;32;-1.1;11;21;-0.12;0.09;-0.1;-0.1;0.04;
423;41.4925;8.9759;GWL15;17.09;24.98;10.14;29.54;7.9;51.8;64.7;646.04;68.28;213.92;25.19;55.36;2.5;44;202;1.52;1.9;1.11;1.89;6;26.4;32.9;-1.1;10;19;-0.12;0.09;-0.1;-0.11;0.04;
424;41.4864;9.071;GWL15;17.25;25.15;10.23;29.61;7.4;51.1;67.9;634.68;63.32;206.29;25.33;55.68;2.8;45;209;1.57;1.99;1.08;1.86;5.4;24.8;34.8;-0.9;10;19;-0.12;0.07;-0.11;-0.1;0.12;
425;41.4802;9.166;GWL15;16.83;24.85;9.73;29.22;6.2;47.8;65;665.18;66.16;216.3;26.58;57.36;2.8;38;198;1.59;2.06;1.07;1.96;4.5;24.3;34.3;-0.8;10;16;-0.12;0.07;-0.11;-0.1;0.12;
426;41.4739;9.261;GWL15;17.25;25.15;10.23;29.61;7.4;51.1;67.9;634.6;63.3;206.29;25.33;55.68;2.8;45;203;1.57;1.99;1.08;1.86;5.4;24.8;34.8;-0.9;10;21;-0.12;0.07;-0.11;-0.1;0.12;
564;41.5759;8.7935;GWL15;16.54;23.92;9.77;27.84;1.5;24.5;56.4;660.72;65.81;204.92;25.43;52.59;3;11;177;1.3;1.57;0.95;1.52;1.3;15.6;30.2;-0.6;4;18;-0.11;0.05;-0.06;-0.06;0.05;
565;41.57;8.8888;GWL15;16.23;23.8;9.33;27.68;1.5;27.5;55.5;692.3;68.61;214.31;26.6;54.21;3;11;178;1.36;1.72;0.94;1.67;1.3;17.5;30.2;-0.6;4;17;-0.11;0.05;-0.06;-0.06;0.04;
566;41.564;8.984;GWL15;16.01;23.76;9.01;27.67;1.7;30.4;55;717.58;70.98;221.92;27.59;55.53;3;13;167;1.43;1.9;0.96;1.86;1.4;18.3;30.7;-0.6;5;20;-0.11;0.05;-0.06;-0.06;0.04;
