#-----------------------------------------------------------------------------
# Date d'extraction : 03/05/2026 - 22h46 loc.
#-----------------------------------------------------------------------------
# Producteur : MF_DCSC
# Experience : TRACC2023
# Modele     : WRF381P_NorESM1
#-----------------------------------------------------------------------------
# Niveaux de réchauffement :
#     GWL20 : Niveau de réchauffement Monde 2.0 degrés -> 2050 / France +2.7°C
#-----------------------------------------------------------------------------
# Type d'indice : annuel
#-----------------------------------------------------------------------------
# Indices : 
#     NORTMm_yr : Température moyenne annuelle (°C)
#     NORTMm_seas_JJA : Température moyenne en été (°C)
#     NORTMm_seas_DJF : Température moyenne en hiver (°C)
#     NORTXm_seas_JJA : Température maximale en été (°C)
#     NORTX35D_yr : Nombre de jours avec Tx >= 35°C (jour(s))
#     NORTX30D_yr : Nombre de jours avec Tx >= 30°C (jour(s))
#     NORTR_yr : Nombre de nuits tropicales (jour(s))
#     NORRR_yr : Cumul de précipitations annuelles (mm)
#     NORRR_seas_JJA : Cumul de précipitations en été (mm)
#     NORRR_seas_DJF : Cumul de précipitations en hiver (mm)
#     NORRRq99_yr : Cumul de précipitations quotidiennes remarquables (percentile 99 du cumul  quotidien) (mm)
#     NORRx1d_yr : Intensité des précipitations extrêmes (max annuel des  précipitations totales) (mm)
#     NORRRq99refD_yr : Fréquence des précipitations quotidienne remarquables (jour(s))
#     NORSWI04_yr : Nombre de jours avec SWI < 0.4 (jour(s))
#     ATMm_yr : Ecart de température moyenne annuelle (°C)
#     ATMm_seas_JJA : Ecart de température moyenne en été (°C)
#     ATMm_seas_DJF : Ecart de température moyenne en hiver (°C)
#     ATXm_seas_JJA : Ecart de température maximale en été (°C)
#     ATX35D_yr : Ecart de nombre de jours avec tx >= 35°c (jour(s))
#     ATX30D_yr : Ecart de nombre de jours avec tx >= 30°c (jour(s))
#     ATR_yr : Ecart de nombre de nuits tropicales (jour(s))
#     ARRq99refD_yr : Ecart de fréquence des précipitations quotidienne remarquables (jour(s))
#     ASWI04_yr : Ecart de nombre de jours avec swi < 0.4 (jour(s))
#     ARRR_yr : Ecart relatif de cumul de précipitations annuelles
#     ARRR_seas_JJA : Ecart relatif de cumul de précipitations en été
#     ARRR_seas_DJF : Ecart relatif de cumul de précipitations en hiver
#     ARRRq99_yr : Ecart relatif de cumul de précipitations quotidiennes remarquables (percentile 99 du cumul  quotidien)
#     ARRx1d_yr : Ecart relatif de intensité des précipitations extrêmes (max annuel des  précipitations totales)
#-----------------------------------------------------------------------------
# Format des enregistrements 
# Point;Latitude;Longitude;Niveau;NORTMm_yr;NORTMm_seas_JJA;NORTMm_seas_DJF;NORTXm_seas_JJA;NORTX35D_yr;NORTX30D_yr;NORTR_yr;NORRR_yr;NORRR_seas_JJA;NORRR_seas_DJF;NORRRq99_yr;NORRx1d_yr;NORRRq99refD_yr;NORSWI04_yr;ATMm_yr;ATMm_seas_JJA;ATMm_seas_DJF;ATXm_seas_JJA;ATX35D_yr;ATX30D_yr;ATR_yr;ARRq99refD_yr;ASWI04_yr;ARRR_yr;ARRR_seas_JJA;ARRR_seas_DJF;ARRRq99_yr;ARRx1d_yr;
#-----------------------------------------------------------------------------
139;41.3373;9.1495;GWL20;18.3;25.96;11.81;29.89;6.2;48.3;92.2;750.95;74.22;246.97;27.16;49.72;4;178;2.44;2.6;2.56;1.91;4;20.1;58.2;0.3;-1;0.08;0.32;0.1;0.04;0.03;
281;41.4149;9.0628;GWL20;17.99;25.47;11.86;29.79;6.5;48.6;80.1;761.13;81.05;217.51;26.92;47.51;4;178;2.15;2.13;2.62;1.8;4.3;20.2;47.4;0.2;-1;0.09;0.41;-0.02;0.01;0;
282;41.4087;9.1577;GWL20;17.9;25.62;11.46;29.91;7.9;52.7;85.8;742.69;89.93;231.46;28.25;53.62;3.5;212;2.38;2.54;2.58;2.27;6;27.2;53.7;-0.2;11;0.04;0.56;0;0;0.2;
283;41.4025;9.2527;GWL20;18.2;25.85;11.85;30.18;8.6;56.6;88.5;719.34;87.4;224.42;27.49;52.48;3.5;221;2.38;2.51;2.63;2.2;6.4;28;54.3;-0.1;12;0.04;0.57;0;-0.01;0.21;
422;41.4985;8.8808;GWL20;17.91;25.41;11.77;29.73;6.4;47.6;79.8;767.19;81.63;219.22;27.1;47.78;4;187;2.15;2.14;2.6;1.82;4.2;19.8;47.4;0.2;-1;0.09;0.41;-0.02;0.01;0;
423;41.4925;8.9759;GWL20;17.69;25.25;11.49;29.52;6.1;44.5;78.1;785.99;83.34;224.92;27.82;48.71;3.8;189;2.14;2.16;2.57;1.86;4;19.4;47.4;0.2;0;0.09;0.41;-0.02;0.01;0;
424;41.4864;9.071;GWL20;17.73;25.32;11.51;29.69;7.8;45.7;76.6;799.12;102.8;232.76;30.69;52.2;4.2;193;2.09;2.14;2.49;1.92;5.7;19.8;44.4;0.5;-3;0.13;0.73;0.03;0.1;0.07;
425;41.4802;9.166;GWL20;17.61;25.43;11.09;29.67;8.1;50.5;84.3;764.72;92.6;236.74;29.12;54.32;3.5;204;2.39;2.6;2.53;2.36;6.2;26.4;53.7;-0.1;15;0.04;0.56;0;0;0.18;
426;41.4739;9.261;GWL20;18.04;25.72;11.64;30.03;8.2;54.4;87.2;731.43;88.73;228.1;27.87;53.1;3.5;206;2.37;2.52;2.6;2.23;6.2;27.8;54;-0.2;16;0.04;0.56;0;0;0.21;
564;41.5759;8.7935;GWL20;17.09;24.18;10.94;27.86;0.8;20.5;64.6;787.32;82.37;202.09;26.91;45.61;3.8;155;1.86;1.84;2.2;1.54;0.4;11.6;38.7;0.2;-16;0.08;0.36;-0.04;-0.01;0.01;
565;41.57;8.8888;GWL20;16.77;24.06;10.47;27.69;0.8;22.8;63.5;825.73;86.1;211.39;28.13;47.41;3.8;157;1.92;2;2.16;1.68;0.4;12.6;38.7;0.2;-14;0.08;0.36;-0.04;-0.01;0.01;
566;41.564;8.984;GWL20;16.55;24.01;10.15;27.67;1.3;26;62.1;857.06;89.1;219.27;29.13;48.85;3.8;147;1.99;2.17;2.18;1.85;0.7;14.2;38.7;0.2;-13;0.08;0.36;-0.04;-0.01;0.01;
