#-----------------------------------------------------------------------------
# Date d'extraction : 03/05/2026 - 22h28 loc.
#-----------------------------------------------------------------------------
# Producteur : MF_DCSC
# Experience : TRACC2023
# Modele     : ALADIN63_CNRM-CM5
#-----------------------------------------------------------------------------
# Niveaux de réchauffement :
#     GWL15 : Niveau de réchauffement Monde 1.5 degrés -> 2030 / France +2°C
#-----------------------------------------------------------------------------
# Type d'indice : annuel
#-----------------------------------------------------------------------------
# Indices : 
#     NORTMm_yr : Température moyenne annuelle (°C)
#     NORTMm_seas_JJA : Température moyenne en été (°C)
#     NORTMm_seas_DJF : Température moyenne en hiver (°C)
#     NORTXm_seas_JJA : Température maximale en été (°C)
#     NORTX35D_yr : Nombre de jours avec Tx >= 35°C (jour(s))
#     NORTX30D_yr : Nombre de jours avec Tx >= 30°C (jour(s))
#     NORTR_yr : Nombre de nuits tropicales (jour(s))
#     NORRR_yr : Cumul de précipitations annuelles (mm)
#     NORRR_seas_JJA : Cumul de précipitations en été (mm)
#     NORRR_seas_DJF : Cumul de précipitations en hiver (mm)
#     NORRRq99_yr : Cumul de précipitations quotidiennes remarquables (percentile 99 du cumul  quotidien) (mm)
#     NORRx1d_yr : Intensité des précipitations extrêmes (max annuel des  précipitations totales) (mm)
#     NORRRq99refD_yr : Fréquence des précipitations quotidienne remarquables (jour(s))
#     NORIFM40_yr : Indicateur feux météo nombre de jours supérieurs à 40 (jour(s))
#     NORSWI04_yr : Nombre de jours avec SWI < 0.4 (jour(s))
#     ATMm_yr : Ecart de température moyenne annuelle (°C)
#     ATMm_seas_JJA : Ecart de température moyenne en été (°C)
#     ATMm_seas_DJF : Ecart de température moyenne en hiver (°C)
#     ATXm_seas_JJA : Ecart de température maximale en été (°C)
#     ATX35D_yr : Ecart de nombre de jours avec tx >= 35°c (jour(s))
#     ATX30D_yr : Ecart de nombre de jours avec tx >= 30°c (jour(s))
#     ATR_yr : Ecart de nombre de nuits tropicales (jour(s))
#     ARRq99refD_yr : Ecart de fréquence des précipitations quotidienne remarquables (jour(s))
#     AIFM40_yr : Ecart de indicateur feux météo nombre de jours supérieurs à 40 (jour(s))
#     ASWI04_yr : Ecart de nombre de jours avec swi < 0.4 (jour(s))
#     ARRR_yr : Ecart relatif de cumul de précipitations annuelles
#     ARRR_seas_JJA : Ecart relatif de cumul de précipitations en été
#     ARRR_seas_DJF : Ecart relatif de cumul de précipitations en hiver
#     ARRRq99_yr : Ecart relatif de cumul de précipitations quotidiennes remarquables (percentile 99 du cumul  quotidien)
#     ARRx1d_yr : Ecart relatif de intensité des précipitations extrêmes (max annuel des  précipitations totales)
#-----------------------------------------------------------------------------
# Format des enregistrements 
# Point;Latitude;Longitude;Niveau;NORTMm_yr;NORTMm_seas_JJA;NORTMm_seas_DJF;NORTXm_seas_JJA;NORTX35D_yr;NORTX30D_yr;NORTR_yr;NORRR_yr;NORRR_seas_JJA;NORRR_seas_DJF;NORRRq99_yr;NORRx1d_yr;NORRRq99refD_yr;NORIFM40_yr;NORSWI04_yr;ATMm_yr;ATMm_seas_JJA;ATMm_seas_DJF;ATXm_seas_JJA;ATX35D_yr;ATX30D_yr;ATR_yr;ARRq99refD_yr;AIFM40_yr;ASWI04_yr;ARRR_yr;ARRR_seas_JJA;ARRR_seas_DJF;ARRRq99_yr;ARRx1d_yr;
#-----------------------------------------------------------------------------
139;41.3373;9.1495;GWL15;17.41;25.04;10.3;29.55;4.1;50.5;67.1;751.46;56.47;250.85;33.98;60.65;4.9;49;188;1.57;1.72;1.06;1.57;1.7;21.2;32.9;1.3;9;12;0.05;-0.1;0.13;0.16;0.04;
281;41.4149;9.0628;GWL15;17.41;24.98;10.3;29.49;4.4;48.8;66.4;746.49;50.81;253.43;32.26;55.21;4.7;50;188;1.57;1.66;1.06;1.5;2.2;19.3;32.7;1.1;10;12;0.04;-0.15;0.15;0.12;-0.04;
282;41.4087;9.1577;GWL15;17.08;24.78;9.91;29.23;3.5;43.8;65.2;778.12;58.01;259.75;35.13;61.88;4.8;43;199;1.56;1.75;1.03;1.63;1.5;17.7;32.7;1.2;8;7;0.05;-0.1;0.13;0.16;0.04;
283;41.4025;9.2527;GWL15;17.38;25.01;10.26;29.52;4;49.8;66.9;754.35;56.66;251.81;34.15;60.78;4.8;48;205;1.56;1.72;1.06;1.57;1.6;20.8;32.9;1.2;9;4;0.05;-0.1;0.13;0.17;0.04;
422;41.4985;8.8808;GWL15;17.34;24.92;10.22;29.42;4.3;47.9;66.2;752.21;51.19;255.3;32.54;55.49;4.8;49;198;1.57;1.66;1.06;1.51;2.1;19.3;32.9;1.1;11;9;0.04;-0.15;0.15;0.12;-0.04;
423;41.4925;8.9759;GWL15;17.13;24.76;9.96;29.21;3.8;44.2;64.5;769.58;52.09;261.06;33.17;56.33;4.6;46;198;1.57;1.68;1.04;1.55;1.7;18.3;32.2;1;10;8;0.04;-0.15;0.15;0.12;-0.04;
424;41.4864;9.071;GWL15;17.22;24.83;10.08;29.3;4;46;64.9;761.67;51.71;258.47;32.9;55.94;4.7;47;200;1.57;1.67;1.05;1.54;1.8;18.9;32.3;1.1;10;8;0.04;-0.15;0.15;0.12;-0.04;
425;41.4802;9.166;GWL15;16.79;24.57;9.56;28.97;3.4;41.3;62.8;803.04;59.57;268.23;36.06;63.02;5;40;193;1.58;1.8;1.01;1.7;1.4;17;31.8;1.3;8;13;0.05;-0.11;0.12;0.16;0.04;
426;41.4739;9.261;GWL15;17.22;24.89;10.07;29.37;3.8;46.3;65.8;766.95;57.4;256.01;34.7;61.36;5.2;46;192;1.56;1.73;1.04;1.6;1.5;19.2;32.7;1.5;8;12;0.05;-0.1;0.13;0.16;0.04;
564;41.5759;8.7935;GWL15;16.58;23.74;9.6;27.56;0.3;17;53.3;772.57;54.31;231.29;31.42;51.38;4.1;8;168;1.34;1.39;0.87;1.24;-0.1;7.8;27;0.6;-1;13;0.03;-0.13;0.1;0.08;-0.09;
565;41.57;8.8888;GWL15;16.27;23.61;9.16;27.4;0.3;19.2;53.8;809.92;56.74;242.03;32.86;53.13;4.1;9;168;1.41;1.54;0.86;1.38;0;8.8;28;0.6;0;13;0.03;-0.14;0.1;0.07;-0.09;
566;41.564;8.984;GWL15;16.05;23.54;8.83;27.36;0.6;23.1;52.8;839.49;58.72;250.28;34.04;54.53;4.2;11;154;1.48;1.69;0.87;1.54;0.1;10.5;27.6;0.5;0;14;0.03;-0.14;0.1;0.08;-0.08;
567;41.5579;9.0791;GWL15;15.09;23.15;7.53;26.85;1.4;25.6;52;1078.04;78.45;340.35;41.52;63.88;4.3;11;128;1.68;2.02;0.94;1.94;0.3;11.9;28.4;0.6;2;27;0.02;-0.16;0.07;0.08;-0.07;
