#-----------------------------------------------------------------------------
# Date d'extraction : 03/05/2026 - 22h29 loc.
#-----------------------------------------------------------------------------
# Producteur : MF_DCSC
# Experience : TRACC2023
# Modele     : ALADIN63_CNRM-CM5
#-----------------------------------------------------------------------------
# Niveaux de réchauffement :
#     GWL20 : Niveau de réchauffement Monde 2.0 degrés -> 2050 / France +2.7°C
#-----------------------------------------------------------------------------
# Type d'indice : annuel
#-----------------------------------------------------------------------------
# Indices : 
#     NORTMm_yr : Température moyenne annuelle (°C)
#     NORTMm_seas_JJA : Température moyenne en été (°C)
#     NORTMm_seas_DJF : Température moyenne en hiver (°C)
#     NORTXm_seas_JJA : Température maximale en été (°C)
#     NORTX35D_yr : Nombre de jours avec Tx >= 35°C (jour(s))
#     NORTX30D_yr : Nombre de jours avec Tx >= 30°C (jour(s))
#     NORTR_yr : Nombre de nuits tropicales (jour(s))
#     NORRR_yr : Cumul de précipitations annuelles (mm)
#     NORRR_seas_JJA : Cumul de précipitations en été (mm)
#     NORRR_seas_DJF : Cumul de précipitations en hiver (mm)
#     NORRRq99_yr : Cumul de précipitations quotidiennes remarquables (percentile 99 du cumul  quotidien) (mm)
#     NORRx1d_yr : Intensité des précipitations extrêmes (max annuel des  précipitations totales) (mm)
#     NORRRq99refD_yr : Fréquence des précipitations quotidienne remarquables (jour(s))
#     NORIFM40_yr : Indicateur feux météo nombre de jours supérieurs à 40 (jour(s))
#     NORSWI04_yr : Nombre de jours avec SWI < 0.4 (jour(s))
#     ATMm_yr : Ecart de température moyenne annuelle (°C)
#     ATMm_seas_JJA : Ecart de température moyenne en été (°C)
#     ATMm_seas_DJF : Ecart de température moyenne en hiver (°C)
#     ATXm_seas_JJA : Ecart de température maximale en été (°C)
#     ATX35D_yr : Ecart de nombre de jours avec tx >= 35°c (jour(s))
#     ATX30D_yr : Ecart de nombre de jours avec tx >= 30°c (jour(s))
#     ATR_yr : Ecart de nombre de nuits tropicales (jour(s))
#     ARRq99refD_yr : Ecart de fréquence des précipitations quotidienne remarquables (jour(s))
#     AIFM40_yr : Ecart de indicateur feux météo nombre de jours supérieurs à 40 (jour(s))
#     ASWI04_yr : Ecart de nombre de jours avec swi < 0.4 (jour(s))
#     ARRR_yr : Ecart relatif de cumul de précipitations annuelles
#     ARRR_seas_JJA : Ecart relatif de cumul de précipitations en été
#     ARRR_seas_DJF : Ecart relatif de cumul de précipitations en hiver
#     ARRRq99_yr : Ecart relatif de cumul de précipitations quotidiennes remarquables (percentile 99 du cumul  quotidien)
#     ARRx1d_yr : Ecart relatif de intensité des précipitations extrêmes (max annuel des  précipitations totales)
#-----------------------------------------------------------------------------
# Format des enregistrements 
# Point;Latitude;Longitude;Niveau;NORTMm_yr;NORTMm_seas_JJA;NORTMm_seas_DJF;NORTXm_seas_JJA;NORTX35D_yr;NORTX30D_yr;NORTR_yr;NORRR_yr;NORRR_seas_JJA;NORRR_seas_DJF;NORRRq99_yr;NORRx1d_yr;NORRRq99refD_yr;NORIFM40_yr;NORSWI04_yr;ATMm_yr;ATMm_seas_JJA;ATMm_seas_DJF;ATXm_seas_JJA;ATX35D_yr;ATX30D_yr;ATR_yr;ARRq99refD_yr;AIFM40_yr;ASWI04_yr;ARRR_yr;ARRR_seas_JJA;ARRR_seas_DJF;ARRRq99_yr;ARRx1d_yr;
#-----------------------------------------------------------------------------
139;41.3373;9.1495;GWL20;18.07;25.66;11.31;30.09;6.2;56.5;74.5;753.35;60.93;220.44;33.07;59.79;4.8;50;189;2.23;2.34;2.07;2.1;3.8;27.2;40.3;1.2;10;12;0.05;-0.03;-0.01;0.13;0.03;
281;41.4149;9.0628;GWL20;18.05;25.54;11.29;29.96;5.9;54.8;74.9;725.91;53.1;216.6;30.55;53.4;4.6;49;189;2.2;2.22;2.05;1.98;3.7;25.4;41.2;0.9;10;12;0.02;-0.11;-0.02;0.06;-0.07;
282;41.4087;9.1577;GWL20;17.73;25.41;10.89;29.79;5.4;50;72.5;780.18;62.58;228.68;34.29;60.96;4.8;45;197;2.22;2.38;2.01;2.18;3.3;23.9;40.1;1.2;10;5;0.05;-0.03;-0.01;0.13;0.02;
283;41.4025;9.2527;GWL20;18.04;25.63;11.26;30.06;6.2;55.7;74.4;756.21;61.12;221.31;33.27;59.91;4.8;50;202;2.22;2.34;2.06;2.11;3.8;26.6;40.4;1.2;10;1;0.05;-0.03;-0.01;0.14;0.02;
422;41.4985;8.8808;GWL20;17.97;25.49;11.2;29.9;5.9;53.2;74.6;731.57;53.49;218.33;30.79;53.64;4.7;48;197;2.2;2.23;2.04;2;3.7;24.6;41.3;1;9;8;0.02;-0.11;-0.02;0.06;-0.07;
423;41.4925;8.9759;GWL20;17.75;25.32;10.93;29.7;5.1;49.5;73.2;748.7;54.57;223.57;31.51;54.39;4.5;44;198;2.19;2.25;2.01;2.04;3;23.7;40.9;1;9;8;0.02;-0.11;-0.02;0.06;-0.07;
424;41.4864;9.071;GWL20;17.85;25.39;11.05;29.79;5.4;51;73.8;740.93;54.11;221.29;31.19;54.05;4.6;46;199;2.19;2.23;2.02;2.02;3.3;23.9;41.2;1;9;8;0.02;-0.11;-0.02;0.07;-0.07;
425;41.4802;9.166;GWL20;17.45;25.21;10.53;29.54;5.2;47.2;70.2;805.51;64.23;236.81;35.3;62.04;4.8;42;192;2.23;2.43;1.98;2.27;3.2;23;39.2;1.1;10;13;0.05;-0.04;-0.01;0.13;0.02;
426;41.4739;9.261;GWL20;17.87;25.51;11.06;29.91;5.8;52.4;73.4;768.86;61.91;225.19;33.77;60.47;4.8;47;192;2.22;2.35;2.04;2.15;3.6;25.3;40.3;1.2;10;11;0.05;-0.03;-0.01;0.13;0.02;
564;41.5759;8.7935;GWL20;17.12;24.24;10.38;27.97;0.8;21.9;63.2;761.16;54.78;215.63;29.21;48.91;4.2;10;167;1.89;1.89;1.65;1.65;0.3;12.7;36.9;0.7;0;12;0.02;-0.13;0.03;0;-0.13;
565;41.57;8.8888;GWL20;16.82;24.14;9.94;27.84;0.7;24.4;62.6;798.34;57.22;226.16;30.65;50.57;4.2;12;165;1.96;2.07;1.64;1.83;0.3;13.9;36.7;0.8;3;11;0.02;-0.13;0.03;0;-0.13;
566;41.564;8.984;GWL20;16.62;24.12;9.62;27.85;0.9;29.2;62;827.82;59.18;234.36;31.8;51.92;4.3;14;155;2.05;2.27;1.66;2.02;0.4;16.6;36.8;0.7;4;16;0.02;-0.13;0.03;0.01;-0.13;
567;41.5579;9.0791;GWL20;15.75;23.88;8.39;27.46;2.2;31.6;61.3;1065.51;79.99;327.58;38.79;60.66;4.1;14;124;2.34;2.75;1.81;2.55;1.1;18;37.8;0.4;5;22;0.01;-0.14;0.03;0.01;-0.12;
