#-----------------------------------------------------------------------------
# Date d'extraction : 03/05/2026 - 22h44 loc.
#-----------------------------------------------------------------------------
# Producteur : MF_DCSC
# Experience : TRACC2023
# Modele     : ALADIN63_HadGEM2
#-----------------------------------------------------------------------------
# Niveaux de réchauffement :
#     GWL20 : Niveau de réchauffement Monde 2.0 degrés -> 2050 / France +2.7°C
#-----------------------------------------------------------------------------
# Type d'indice : annuel
#-----------------------------------------------------------------------------
# Indices : 
#     NORTMm_yr : Température moyenne annuelle (°C)
#     NORTMm_seas_JJA : Température moyenne en été (°C)
#     NORTMm_seas_DJF : Température moyenne en hiver (°C)
#     NORTXm_seas_JJA : Température maximale en été (°C)
#     NORTX35D_yr : Nombre de jours avec Tx >= 35°C (jour(s))
#     NORTX30D_yr : Nombre de jours avec Tx >= 30°C (jour(s))
#     NORTR_yr : Nombre de nuits tropicales (jour(s))
#     NORRR_yr : Cumul de précipitations annuelles (mm)
#     NORRR_seas_JJA : Cumul de précipitations en été (mm)
#     NORRR_seas_DJF : Cumul de précipitations en hiver (mm)
#     NORRRq99_yr : Cumul de précipitations quotidiennes remarquables (percentile 99 du cumul  quotidien) (mm)
#     NORRx1d_yr : Intensité des précipitations extrêmes (max annuel des  précipitations totales) (mm)
#     NORRRq99refD_yr : Fréquence des précipitations quotidienne remarquables (jour(s))
#     NORSWI04_yr : Nombre de jours avec SWI < 0.4 (jour(s))
#     ATMm_yr : Ecart de température moyenne annuelle (°C)
#     ATMm_seas_JJA : Ecart de température moyenne en été (°C)
#     ATMm_seas_DJF : Ecart de température moyenne en hiver (°C)
#     ATXm_seas_JJA : Ecart de température maximale en été (°C)
#     ATX35D_yr : Ecart de nombre de jours avec tx >= 35°c (jour(s))
#     ATX30D_yr : Ecart de nombre de jours avec tx >= 30°c (jour(s))
#     ATR_yr : Ecart de nombre de nuits tropicales (jour(s))
#     ARRq99refD_yr : Ecart de fréquence des précipitations quotidienne remarquables (jour(s))
#     ASWI04_yr : Ecart de nombre de jours avec swi < 0.4 (jour(s))
#     ARRR_yr : Ecart relatif de cumul de précipitations annuelles
#     ARRR_seas_JJA : Ecart relatif de cumul de précipitations en été
#     ARRR_seas_DJF : Ecart relatif de cumul de précipitations en hiver
#     ARRRq99_yr : Ecart relatif de cumul de précipitations quotidiennes remarquables (percentile 99 du cumul  quotidien)
#     ARRx1d_yr : Ecart relatif de intensité des précipitations extrêmes (max annuel des  précipitations totales)
#-----------------------------------------------------------------------------
# Format des enregistrements 
# Point;Latitude;Longitude;Niveau;NORTMm_yr;NORTMm_seas_JJA;NORTMm_seas_DJF;NORTXm_seas_JJA;NORTX35D_yr;NORTX30D_yr;NORTR_yr;NORRR_yr;NORRR_seas_JJA;NORRR_seas_DJF;NORRRq99_yr;NORRx1d_yr;NORRRq99refD_yr;NORSWI04_yr;ATMm_yr;ATMm_seas_JJA;ATMm_seas_DJF;ATXm_seas_JJA;ATX35D_yr;ATX30D_yr;ATR_yr;ARRq99refD_yr;ASWI04_yr;ARRR_yr;ARRR_seas_JJA;ARRR_seas_DJF;ARRRq99_yr;ARRx1d_yr;
#-----------------------------------------------------------------------------
139;41.3373;9.1495;GWL20;18.11;26.42;11.07;30.81;16.5;62;84.8;763.26;54.77;262.14;31.7;64.03;4.8;197;2.32;3.08;1.99;2.84;14.2;33.3;50.3;1.2;24;0.07;-0.13;0.17;0.13;0.22;
281;41.4149;9.0628;GWL20;18.13;26.44;11.12;30.81;14.6;63.3;86.3;757.19;53.78;269.51;29.87;65.53;4;197;2.33;3.09;2.05;2.82;12.5;34.2;51.9;0.3;24;0.06;-0.14;0.2;0.03;0.22;
282;41.4087;9.1577;GWL20;17.77;26.17;10.66;30.51;15.7;58.8;83.2;790.43;56.37;271.6;32.75;65.37;4.8;206;2.31;3.12;1.94;2.92;13.6;33.7;50.2;1.2;16;0.06;-0.14;0.17;0.13;0.22;
283;41.4025;9.2527;GWL20;18.08;26.4;11.03;30.78;16.5;61.8;84.3;766.14;54.96;263.13;31.76;64.17;4.8;210;2.32;3.09;1.98;2.85;14.2;33.3;50.2;1.2;12;0.07;-0.13;0.17;0.13;0.22;
422;41.4985;8.8808;GWL20;18.05;26.39;11.03;30.75;14.4;62.9;86.1;762.85;54.18;271.46;30.05;65.8;4;203;2.33;3.1;2.04;2.84;12.3;34.4;51.9;0.3;20;0.06;-0.14;0.2;0.03;0.22;
423;41.4925;8.9759;GWL20;17.83;26.22;10.76;30.55;13.6;60.6;84.9;780.47;55.25;277.8;30.74;66.63;4;205;2.33;3.12;2.01;2.89;11.7;34.8;52;0.5;20;0.06;-0.14;0.2;0.02;0.22;
424;41.4864;9.071;GWL20;17.93;26.29;10.89;30.64;13.9;61.2;85.4;772.49;54.79;274.92;30.51;66.25;4.1;206;2.32;3.1;2.02;2.87;11.9;34.4;52;0.3;20;0.06;-0.14;0.2;0.03;0.22;
425;41.4802;9.166;GWL20;17.49;25.98;10.31;30.27;15.4;57.3;81.9;815.69;57.97;280.41;33.65;66.6;4.8;198;2.33;3.18;1.91;3.02;13.5;33.7;50.4;1.2;20;0.06;-0.14;0.17;0.12;0.21;
426;41.4739;9.261;GWL20;17.91;26.27;10.84;30.64;16.1;60;83.7;779.12;55.73;267.69;32.26;64.81;4.8;198;2.31;3.09;1.96;2.89;14;33.9;50.1;1.2;20;0.07;-0.13;0.17;0.13;0.22;
564;41.5759;8.7935;GWL20;17.21;24.99;10.31;28.66;4.8;38.7;75.7;770.25;59.25;241.12;29.82;60.57;3.9;187;2.01;2.6;1.72;2.3;4.7;29.6;47.9;0.2;27;0.05;-0.08;0.19;0.04;0.22;
565;41.57;8.8888;GWL20;16.92;24.95;9.87;28.55;4.7;41.3;75.6;806.64;61.98;251.88;31.31;62.2;3.8;186;2.1;2.85;1.7;2.5;4.6;31.1;49.1;0.2;25;0.05;-0.08;0.19;0.05;0.21;
566;41.564;8.984;GWL20;16.74;25.01;9.56;28.63;6;45;75.8;836.2;64.22;261.23;32.5;63.49;3.8;176;2.21;3.13;1.73;2.77;5.6;32.5;50.5;0.2;28;0.04;-0.08;0.19;0.05;0.2;
567;41.5579;9.0791;GWL20;15.91;24.97;8.33;28.46;9.4;44.5;75.2;1081.8;86.39;357.78;40.48;72.38;4.2;140;2.54;3.82;1.86;3.56;8.3;31.1;52.4;0.6;30;0.04;-0.1;0.18;0.06;0.16;
