#-----------------------------------------------------------------------------
# Date d'extraction : 03/05/2026 - 22h44 loc.
#-----------------------------------------------------------------------------
# Producteur : MF_DCSC
# Experience : TRACC2023
# Modele     : ALADIN63_HadGEM2
#-----------------------------------------------------------------------------
# Niveaux de réchauffement :
#     GWL30 : Niveau de réchauffement Monde 3.0 degrés -> 2100 / France +4°C
#-----------------------------------------------------------------------------
# Type d'indice : annuel
#-----------------------------------------------------------------------------
# Indices : 
#     NORTMm_yr : Température moyenne annuelle (°C)
#     NORTMm_seas_JJA : Température moyenne en été (°C)
#     NORTMm_seas_DJF : Température moyenne en hiver (°C)
#     NORTXm_seas_JJA : Température maximale en été (°C)
#     NORTX35D_yr : Nombre de jours avec Tx >= 35°C (jour(s))
#     NORTX30D_yr : Nombre de jours avec Tx >= 30°C (jour(s))
#     NORTR_yr : Nombre de nuits tropicales (jour(s))
#     NORRR_yr : Cumul de précipitations annuelles (mm)
#     NORRR_seas_JJA : Cumul de précipitations en été (mm)
#     NORRR_seas_DJF : Cumul de précipitations en hiver (mm)
#     NORRRq99_yr : Cumul de précipitations quotidiennes remarquables (percentile 99 du cumul  quotidien) (mm)
#     NORRx1d_yr : Intensité des précipitations extrêmes (max annuel des  précipitations totales) (mm)
#     NORRRq99refD_yr : Fréquence des précipitations quotidienne remarquables (jour(s))
#     NORSWI04_yr : Nombre de jours avec SWI < 0.4 (jour(s))
#     ATMm_yr : Ecart de température moyenne annuelle (°C)
#     ATMm_seas_JJA : Ecart de température moyenne en été (°C)
#     ATMm_seas_DJF : Ecart de température moyenne en hiver (°C)
#     ATXm_seas_JJA : Ecart de température maximale en été (°C)
#     ATX35D_yr : Ecart de nombre de jours avec tx >= 35°c (jour(s))
#     ATX30D_yr : Ecart de nombre de jours avec tx >= 30°c (jour(s))
#     ATR_yr : Ecart de nombre de nuits tropicales (jour(s))
#     ARRq99refD_yr : Ecart de fréquence des précipitations quotidienne remarquables (jour(s))
#     ASWI04_yr : Ecart de nombre de jours avec swi < 0.4 (jour(s))
#     ARRR_yr : Ecart relatif de cumul de précipitations annuelles
#     ARRR_seas_JJA : Ecart relatif de cumul de précipitations en été
#     ARRR_seas_DJF : Ecart relatif de cumul de précipitations en hiver
#     ARRRq99_yr : Ecart relatif de cumul de précipitations quotidiennes remarquables (percentile 99 du cumul  quotidien)
#     ARRx1d_yr : Ecart relatif de intensité des précipitations extrêmes (max annuel des  précipitations totales)
#-----------------------------------------------------------------------------
# Format des enregistrements 
# Point;Latitude;Longitude;Niveau;NORTMm_yr;NORTMm_seas_JJA;NORTMm_seas_DJF;NORTXm_seas_JJA;NORTX35D_yr;NORTX30D_yr;NORTR_yr;NORRR_yr;NORRR_seas_JJA;NORRR_seas_DJF;NORRRq99_yr;NORRx1d_yr;NORRRq99refD_yr;NORSWI04_yr;ATMm_yr;ATMm_seas_JJA;ATMm_seas_DJF;ATXm_seas_JJA;ATX35D_yr;ATX30D_yr;ATR_yr;ARRq99refD_yr;ASWI04_yr;ARRR_yr;ARRR_seas_JJA;ARRR_seas_DJF;ARRRq99_yr;ARRx1d_yr;
#-----------------------------------------------------------------------------
139;41.3373;9.1495;GWL30;19.38;27.93;12.16;32.12;27.2;77.7;106;775.96;83.47;251.88;31.99;62.14;5.2;179;3.58;4.59;3.08;4.15;24.9;49;71.5;1.6;6;0.08;0.32;0.12;0.14;0.19;
281;41.4149;9.0628;GWL30;19.36;27.84;12.25;31.98;24;79.4;107.4;773.72;80.72;241.77;31.28;62.18;5.4;179;3.57;4.48;3.18;3.99;21.8;50.3;73;1.7;6;0.08;0.3;0.08;0.08;0.16;
282;41.4087;9.1577;GWL30;19.04;27.69;11.74;31.84;25.8;73.8;103.6;803.63;85.74;260.7;33.05;63.55;5.2;197;3.58;4.63;3.02;4.25;23.7;48.6;70.7;1.6;7;0.08;0.32;0.12;0.14;0.18;
283;41.4025;9.2527;GWL30;19.34;27.91;12.11;32.09;27.2;77.4;105.6;778.93;83.75;252.81;32.07;62.29;5.1;205;3.58;4.6;3.07;4.16;24.9;49;71.5;1.5;7;0.08;0.32;0.12;0.14;0.19;
422;41.4985;8.8808;GWL30;19.29;27.78;12.15;31.92;23.7;78.6;107;779.56;81.28;243.45;31.54;62.48;5.4;189;3.57;4.49;3.16;4.01;21.5;50.1;72.8;1.7;6;0.08;0.29;0.08;0.08;0.16;
423;41.4925;8.9759;GWL30;19.07;27.62;11.88;31.74;22.4;76.8;105.4;797.73;82.77;249.15;32.25;63.41;5.2;192;3.56;4.52;3.12;4.08;20.4;51;72.5;1.7;6;0.08;0.29;0.07;0.07;0.16;
424;41.4864;9.071;GWL30;19.16;27.68;12;31.82;23;77.5;106.1;789.62;82.12;246.59;31.89;62.98;5.4;193;3.56;4.49;3.14;4.05;20.9;50.7;72.7;1.6;7;0.08;0.29;0.08;0.07;0.16;
425;41.4802;9.166;GWL30;18.78;27.51;11.39;31.64;25.4;72.1;102.2;829.25;87.99;268.92;34.06;64.84;5.2;187;3.62;4.71;2.99;4.38;23.5;48.4;70.6;1.5;8;0.08;0.31;0.12;0.14;0.18;
426;41.4739;9.261;GWL30;19.17;27.77;11.91;31.95;26.7;74.8;104.2;792.07;84.82;257.02;32.58;62.96;5.1;188;3.57;4.6;3.04;4.2;24.5;48.6;70.6;1.4;10;0.08;0.32;0.12;0.14;0.19;
564;41.5759;8.7935;GWL30;18.29;26.14;11.3;29.62;9.1;52.2;94.5;765.62;82.29;199.64;29.9;57.31;4.3;171;3.1;3.76;2.71;3.26;8.9;43.1;66.8;0.6;11;0.04;0.28;-0.01;0.05;0.15;
565;41.57;8.8888;GWL30;18.05;26.21;10.86;29.58;8.6;55.2;94.8;801.75;85.8;208.49;31.31;59.05;4.3;171;3.23;4.11;2.69;3.54;8.5;45.1;68.2;0.7;10;0.04;0.27;-0.01;0.05;0.14;
566;41.564;8.984;GWL30;17.92;26.37;10.59;29.77;10.6;60.2;95.1;831.69;88.59;216.75;32.66;60.43;4.4;161;3.39;4.49;2.76;3.92;10.2;47.7;69.8;0.8;12;0.04;0.27;-0.01;0.05;0.14;
567;41.5579;9.0791;GWL30;17.29;26.64;9.56;29.91;15.4;59.7;97.3;1059.95;112.32;292.59;39.64;69.08;4.2;132;3.93;5.49;3.09;5;14.3;46.3;74.6;0.5;21;0.02;0.17;-0.04;0.04;0.11;
