#-----------------------------------------------------------------------------
# Date d'extraction : 03/05/2026 - 22h34 loc.
#-----------------------------------------------------------------------------
# Producteur : MF_DCSC
# Experience : TRACC2023
# Modele     : CCLM4-8-17_HadGEM2
#-----------------------------------------------------------------------------
# Niveaux de réchauffement :
#     GWL20 : Niveau de réchauffement Monde 2.0 degrés -> 2050 / France +2.7°C
#-----------------------------------------------------------------------------
# Type d'indice : annuel
#-----------------------------------------------------------------------------
# Indices : 
#     NORTMm_yr : Température moyenne annuelle (°C)
#     NORTMm_seas_JJA : Température moyenne en été (°C)
#     NORTMm_seas_DJF : Température moyenne en hiver (°C)
#     NORTXm_seas_JJA : Température maximale en été (°C)
#     NORTX35D_yr : Nombre de jours avec Tx >= 35°C (jour(s))
#     NORTX30D_yr : Nombre de jours avec Tx >= 30°C (jour(s))
#     NORTR_yr : Nombre de nuits tropicales (jour(s))
#     NORRR_yr : Cumul de précipitations annuelles (mm)
#     NORRR_seas_JJA : Cumul de précipitations en été (mm)
#     NORRR_seas_DJF : Cumul de précipitations en hiver (mm)
#     NORRRq99_yr : Cumul de précipitations quotidiennes remarquables (percentile 99 du cumul  quotidien) (mm)
#     NORRx1d_yr : Intensité des précipitations extrêmes (max annuel des  précipitations totales) (mm)
#     NORRRq99refD_yr : Fréquence des précipitations quotidienne remarquables (jour(s))
#     NORIFM40_yr : Indicateur feux météo nombre de jours supérieurs à 40 (jour(s))
#     NORSWI04_yr : Nombre de jours avec SWI < 0.4 (jour(s))
#     ATMm_yr : Ecart de température moyenne annuelle (°C)
#     ATMm_seas_JJA : Ecart de température moyenne en été (°C)
#     ATMm_seas_DJF : Ecart de température moyenne en hiver (°C)
#     ATXm_seas_JJA : Ecart de température maximale en été (°C)
#     ATX35D_yr : Ecart de nombre de jours avec tx >= 35°c (jour(s))
#     ATX30D_yr : Ecart de nombre de jours avec tx >= 30°c (jour(s))
#     ATR_yr : Ecart de nombre de nuits tropicales (jour(s))
#     ARRq99refD_yr : Ecart de fréquence des précipitations quotidienne remarquables (jour(s))
#     AIFM40_yr : Ecart de indicateur feux météo nombre de jours supérieurs à 40 (jour(s))
#     ASWI04_yr : Ecart de nombre de jours avec swi < 0.4 (jour(s))
#     ARRR_yr : Ecart relatif de cumul de précipitations annuelles
#     ARRR_seas_JJA : Ecart relatif de cumul de précipitations en été
#     ARRR_seas_DJF : Ecart relatif de cumul de précipitations en hiver
#     ARRRq99_yr : Ecart relatif de cumul de précipitations quotidiennes remarquables (percentile 99 du cumul  quotidien)
#     ARRx1d_yr : Ecart relatif de intensité des précipitations extrêmes (max annuel des  précipitations totales)
#-----------------------------------------------------------------------------
# Format des enregistrements 
# Point;Latitude;Longitude;Niveau;NORTMm_yr;NORTMm_seas_JJA;NORTMm_seas_DJF;NORTXm_seas_JJA;NORTX35D_yr;NORTX30D_yr;NORTR_yr;NORRR_yr;NORRR_seas_JJA;NORRR_seas_DJF;NORRRq99_yr;NORRx1d_yr;NORRRq99refD_yr;NORIFM40_yr;NORSWI04_yr;ATMm_yr;ATMm_seas_JJA;ATMm_seas_DJF;ATXm_seas_JJA;ATX35D_yr;ATX30D_yr;ATR_yr;ARRq99refD_yr;AIFM40_yr;ASWI04_yr;ARRR_yr;ARRR_seas_JJA;ARRR_seas_DJF;ARRRq99_yr;ARRx1d_yr;
#-----------------------------------------------------------------------------
139;41.3373;9.1495;GWL20;17.9;25.86;11.12;30.3;11.4;60.6;79.8;652.05;46.3;208.64;28.84;49.28;4.2;60;194;2.08;2.5;1.97;2.32;9.1;30.9;44.4;0.6;16;19;-0.08;-0.22;-0.04;0.04;-0.03;
281;41.4149;9.0628;GWL20;17.89;25.86;11.11;30.3;11.4;60.5;79.8;652.59;46.53;208.76;28.85;49.3;4.2;60;194;2.08;2.5;1.97;2.32;9.1;31;44.5;0.6;16;19;-0.08;-0.22;-0.04;0.04;-0.03;
282;41.4087;9.1577;GWL20;17.56;25.62;10.71;30.01;10.2;56.5;77.3;676.99;48.15;216.31;29.94;50.55;4.1;54;207;2.08;2.54;1.92;2.41;8.1;30.9;44;0.5;16;21;-0.08;-0.22;-0.04;0.04;-0.03;
283;41.4025;9.2527;GWL20;17.86;25.83;11.07;30.27;11.4;60;79.5;655.02;46.79;209.5;28.92;49.42;4.1;60;216;2.08;2.5;1.96;2.32;9.1;30.9;44.4;0.6;16;24;-0.08;-0.22;-0.04;0.03;-0.03;
422;41.4985;8.8808;GWL20;17.72;25.59;11.03;30.18;10.6;58.5;76.1;667.26;45.09;222.23;28.15;55.34;4;60;198;1.99;2.29;1.97;2.27;8.5;30.4;40.9;0.3;17;14;-0.06;-0.27;0.02;0.01;0.17;
423;41.4925;8.9759;GWL20;17.5;25.44;10.76;29.98;10.1;55.8;74.7;683.03;45.91;227.07;28.79;56.23;3.9;56;199;1.99;2.32;1.94;2.33;8.1;30.1;40.8;0.2;17;12;-0.06;-0.27;0.02;0.01;0.16;
424;41.4864;9.071;GWL20;17.7;25.71;10.88;30.13;11.1;58;78.4;666.18;47.27;212.77;29.5;50;4.1;57;205;2.08;2.52;1.94;2.37;8.8;31.1;44.2;0.6;16;21;-0.08;-0.22;-0.04;0.04;-0.03;
425;41.4802;9.166;GWL20;17.28;25.43;10.36;29.77;9.8;54.8;76.2;699.4;49.41;223.25;30.93;51.76;4.2;51;198;2.1;2.61;1.89;2.51;7.7;30.6;43.8;0.6;16;20;-0.08;-0.22;-0.04;0.04;-0.03;
426;41.4739;9.261;GWL20;17.7;25.71;10.88;30.13;11.1;58;78.4;666.43;47.52;212.76;29.5;50;4.1;57;201;2.08;2.52;1.94;2.37;8.8;31.1;44.2;0.6;16;24;-0.08;-0.22;-0.04;0.04;-0.03;
564;41.5759;8.7935;GWL20;16.92;24.31;10.3;28.2;3.6;31.9;65.1;673.89;46.87;193.56;26.98;53.53;3.5;22;183;1.72;1.93;1.65;1.85;3.3;22.8;36.9;-0.2;11;15;-0.07;-0.27;0;-0.01;0.16;
565;41.57;8.8888;GWL20;16.6;24.22;9.84;28.08;3.5;33.9;64.4;706.73;49.14;202.75;28.14;55.24;3.5;22;183;1.78;2.11;1.63;2.04;3.2;23.5;36.9;-0.2;12;13;-0.07;-0.27;0;-0.01;0.15;
566;41.564;8.984;GWL20;16.4;24.2;9.53;28.11;4.1;37.2;63.8;733.14;50.68;210.46;29.23;56.6;3.5;24;173;1.86;2.32;1.65;2.26;3.8;24.6;37.6;-0.2;13;14;-0.07;-0.27;0;-0.01;0.15;
