#-----------------------------------------------------------------------------
# Date d'extraction : 03/05/2026 - 22h34 loc.
#-----------------------------------------------------------------------------
# Producteur : MF_DCSC
# Experience : TRACC2023
# Modele     : CCLM4-8-17_HadGEM2
#-----------------------------------------------------------------------------
# Niveaux de réchauffement :
#     GWL30 : Niveau de réchauffement Monde 3.0 degrés -> 2100 / France +4°C
#-----------------------------------------------------------------------------
# Type d'indice : annuel
#-----------------------------------------------------------------------------
# Indices : 
#     NORTMm_yr : Température moyenne annuelle (°C)
#     NORTMm_seas_JJA : Température moyenne en été (°C)
#     NORTMm_seas_DJF : Température moyenne en hiver (°C)
#     NORTXm_seas_JJA : Température maximale en été (°C)
#     NORTX35D_yr : Nombre de jours avec Tx >= 35°C (jour(s))
#     NORTX30D_yr : Nombre de jours avec Tx >= 30°C (jour(s))
#     NORTR_yr : Nombre de nuits tropicales (jour(s))
#     NORRR_yr : Cumul de précipitations annuelles (mm)
#     NORRR_seas_JJA : Cumul de précipitations en été (mm)
#     NORRR_seas_DJF : Cumul de précipitations en hiver (mm)
#     NORRRq99_yr : Cumul de précipitations quotidiennes remarquables (percentile 99 du cumul  quotidien) (mm)
#     NORRx1d_yr : Intensité des précipitations extrêmes (max annuel des  précipitations totales) (mm)
#     NORRRq99refD_yr : Fréquence des précipitations quotidienne remarquables (jour(s))
#     NORIFM40_yr : Indicateur feux météo nombre de jours supérieurs à 40 (jour(s))
#     NORSWI04_yr : Nombre de jours avec SWI < 0.4 (jour(s))
#     ATMm_yr : Ecart de température moyenne annuelle (°C)
#     ATMm_seas_JJA : Ecart de température moyenne en été (°C)
#     ATMm_seas_DJF : Ecart de température moyenne en hiver (°C)
#     ATXm_seas_JJA : Ecart de température maximale en été (°C)
#     ATX35D_yr : Ecart de nombre de jours avec tx >= 35°c (jour(s))
#     ATX30D_yr : Ecart de nombre de jours avec tx >= 30°c (jour(s))
#     ATR_yr : Ecart de nombre de nuits tropicales (jour(s))
#     ARRq99refD_yr : Ecart de fréquence des précipitations quotidienne remarquables (jour(s))
#     AIFM40_yr : Ecart de indicateur feux météo nombre de jours supérieurs à 40 (jour(s))
#     ASWI04_yr : Ecart de nombre de jours avec swi < 0.4 (jour(s))
#     ARRR_yr : Ecart relatif de cumul de précipitations annuelles
#     ARRR_seas_JJA : Ecart relatif de cumul de précipitations en été
#     ARRR_seas_DJF : Ecart relatif de cumul de précipitations en hiver
#     ARRRq99_yr : Ecart relatif de cumul de précipitations quotidiennes remarquables (percentile 99 du cumul  quotidien)
#     ARRx1d_yr : Ecart relatif de intensité des précipitations extrêmes (max annuel des  précipitations totales)
#-----------------------------------------------------------------------------
# Format des enregistrements 
# Point;Latitude;Longitude;Niveau;NORTMm_yr;NORTMm_seas_JJA;NORTMm_seas_DJF;NORTXm_seas_JJA;NORTX35D_yr;NORTX30D_yr;NORTR_yr;NORRR_yr;NORRR_seas_JJA;NORRR_seas_DJF;NORRRq99_yr;NORRx1d_yr;NORRRq99refD_yr;NORIFM40_yr;NORSWI04_yr;ATMm_yr;ATMm_seas_JJA;ATMm_seas_DJF;ATXm_seas_JJA;ATX35D_yr;ATX30D_yr;ATR_yr;ARRq99refD_yr;AIFM40_yr;ASWI04_yr;ARRR_yr;ARRR_seas_JJA;ARRR_seas_DJF;ARRRq99_yr;ARRx1d_yr;
#-----------------------------------------------------------------------------
139;41.3373;9.1495;GWL30;19.42;28.07;12.52;32.59;29;86.2;110.2;654.82;34.63;211.32;33.22;75.52;4.6;72;195;3.61;4.71;3.37;4.6;26.7;56.5;74.9;0.9;28;21;-0.07;-0.42;-0.02;0.19;0.49;
281;41.4149;9.0628;GWL30;19.42;28.06;12.52;32.58;29;86.1;110.2;655.68;35.21;211.37;33.25;75.54;4.6;72;195;3.61;4.71;3.37;4.61;26.7;56.5;74.8;0.9;28;21;-0.07;-0.41;-0.02;0.19;0.49;
282;41.4087;9.1577;GWL30;19.09;27.84;12.08;32.34;26.8;82.2;108.1;677.55;35.77;218.47;34.39;76.85;4.6;67;205;3.61;4.77;3.29;4.75;24.6;56.5;74.7;1;28;19;-0.08;-0.42;-0.03;0.19;0.48;
283;41.4025;9.2527;GWL30;19.39;28.04;12.47;32.56;28.9;85.9;109.9;657.31;34.85;212.05;33.44;75.67;4.5;71;215;3.61;4.71;3.36;4.62;26.5;56.7;74.8;1;28;23;-0.07;-0.42;-0.02;0.19;0.49;
422;41.4985;8.8808;GWL30;19.18;27.61;12.44;32.29;25.8;80.1;106.7;639.01;39.75;203.8;30.47;65.15;4.3;72;204;3.44;4.3;3.38;4.39;23.6;52;71.4;0.7;29;20;-0.1;-0.36;-0.06;0.09;0.37;
423;41.4925;8.9759;GWL30;18.96;27.46;12.15;32.13;24.6;77.1;105.4;652.89;40.35;208.11;31.05;66.05;4.3;69;205;3.44;4.34;3.33;4.48;22.7;51.3;71.6;0.6;30;18;-0.1;-0.36;-0.07;0.08;0.37;
424;41.4864;9.071;GWL30;19.22;27.92;12.26;32.43;27.9;83.5;108.9;668.27;35.66;215.26;33.87;76.3;4.6;69;205;3.6;4.72;3.32;4.68;25.6;56.6;74.7;1;28;21;-0.08;-0.41;-0.03;0.19;0.48;
425;41.4802;9.166;GWL30;18.83;27.7;11.72;32.18;26.4;80.1;106.2;698.11;36.95;224.61;35.5;78.06;4.7;64;196;3.65;4.87;3.26;4.91;24.3;55.9;73.8;1.1;29;19;-0.08;-0.42;-0.03;0.2;0.47;
426;41.4739;9.261;GWL30;19.22;27.92;12.26;32.43;27.9;83.5;108.9;668.37;35.81;215.24;33.87;76.3;4.6;69;199;3.6;4.72;3.32;4.68;25.6;56.6;74.7;1;28;22;-0.08;-0.41;-0.03;0.19;0.48;
564;41.5759;8.7935;GWL30;18.19;25.99;11.59;29.93;9.2;54;91.8;623.56;40.98;170.83;28.63;59.01;3.6;30;180;2.99;3.61;2.94;3.58;8.9;45;63.6;-0.1;19;13;-0.14;-0.36;-0.12;0.05;0.28;
565;41.57;8.8888;GWL30;17.93;26.05;11.11;29.93;8.7;56.2;91.9;652.33;43;178.01;29.85;60.69;3.5;31;180;3.11;3.94;2.9;3.89;8.5;45.9;64.4;-0.2;21;10;-0.14;-0.36;-0.12;0.05;0.27;
566;41.564;8.984;GWL30;17.8;26.19;10.82;30.14;10.9;60.8;92.8;676.3;44.64;184.53;30.98;62.02;3.5;34;170;3.26;4.3;2.94;4.29;10.6;48.2;66.5;-0.1;22;10;-0.15;-0.36;-0.12;0.05;0.26;
567;41.5579;9.0791;GWL30;17.08;26.4;9.64;30.36;19.6;63.8;92.3;866.57;55.56;261.55;39.08;72.37;3.7;35;151;3.7;5.26;3.11;5.46;18.4;49.9;68.3;0.1;25;31;-0.17;-0.4;-0.13;0.09;0.15;
568;41.5517;9.1743;GWL30;18.76;27.66;11.62;32.14;26.2;79.2;105.9;703.87;37.29;226.33;35.84;78.39;4.6;63;195;3.66;4.9;3.25;4.97;24.1;55.5;73.9;1.1;29;16;-0.08;-0.42;-0.03;0.2;0.46;
569;41.5454;9.2694;GWL30;18.97;27.56;12.05;32.19;26.1;79.4;104.8;684.76;41.26;208.97;31.29;88.28;4.2;64;201;3.4;4.41;3.16;4.49;23.9;53.1;70.3;0.5;23;19;-0.08;-0.34;-0.09;0.1;0.42;
707;41.6474;8.8014;GWL30;18.14;25.92;11.51;29.94;9.1;53.2;89;628.19;41.52;173.41;28.7;60.75;3.5;31;190;2.9;3.51;2.82;3.56;8.8;44.2;60.3;-0.2;20;15;-0.14;-0.33;-0.11;0.04;0.22;
708;41.6415;8.8967;GWL30;17.77;26.03;10.83;30.03;9.4;57.9;88.8;671.5;44.23;184.59;30.57;63.23;3.4;34;174;3.09;4.04;2.79;4.1;9.2;46.6;62.1;-0.2;23;11;-0.14;-0.34;-0.12;0.03;0.21;
709;41.6355;8.992;GWL30;17.78;26.21;10.77;30.16;11.1;61.5;93;679.76;44.88;185.49;31.04;62.21;3.5;34;170;3.28;4.35;2.95;4.34;10.7;48.7;67;-0.1;23;14;-0.15;-0.36;-0.12;0.05;0.26;
710;41.6294;9.0873;GWL30;17.23;26.49;9.81;30.5;19.4;64.9;92.2;848.95;53.94;256.41;38.36;71.44;3.7;35;149;3.63;5.14;3.06;5.31;18.2;50.2;67.7;0.1;25;32;-0.17;-0.4;-0.13;0.09;0.15;
711;41.6232;9.1826;GWL30;17.19;26.46;9.76;30.46;19.3;64.4;92.2;854.73;54.32;258.31;38.59;71.73;3.7;35;158;3.65;5.18;3.08;5.36;18.1;50.1;67.7;0.1;25;25;-0.17;-0.4;-0.13;0.09;0.15;
712;41.6169;9.2779;GWL30;18.79;27.18;11.86;31.55;17.5;74.3;106.3;771.43;42.63;243.4;38.25;97.09;4.1;29;188;3.1;3.88;2.89;3.91;16.5;50.4;64.4;0.4;16;17;-0.08;-0.31;-0.08;0.15;0.34;
849;41.7248;8.7138;GWL30;18.25;26.08;11.58;29.92;6.3;55;94;657.55;40.77;187.41;29.76;56.79;4.3;25;187;2.98;3.64;2.86;3.5;6;45.8;65.2;0.7;14;18;-0.09;-0.36;-0.03;0.08;0.15;
850;41.719;8.8093;GWL30;18.23;26.07;11.55;29.91;6.2;55.3;93.8;658.88;40.7;187.84;29.81;56.87;4.3;26;184;2.98;3.65;2.85;3.51;5.9;46;64.9;0.6;14;11;-0.09;-0.36;-0.03;0.08;0.15;
851;41.713;8.9047;GWL30;17.65;26.13;10.58;30.21;10.6;61.2;88.8;692.46;45.24;190.38;31.56;64.39;3.4;36;170;3.22;4.34;2.84;4.43;10.2;47.7;63;-0.2;24;17;-0.15;-0.34;-0.12;0.03;0.2;
852;41.707;9.0001;GWL30;17.51;26.58;10.18;30.86;17.7;64.9;91.4;826.32;55.97;241.74;36.05;69.27;3.2;31;156;3.43;4.78;2.94;5.01;16.6;47.7;65.1;-0.4;22;23;-0.15;-0.36;-0.13;0.03;0.18;
853;41.7009;9.0955;GWL30;17.13;26.45;9.66;30.61;20.2;64;87.7;840.56;57.15;246.16;38.06;75.69;3.5;37;151;3.51;5.09;2.88;5.39;19;49.2;62.8;-0.1;27;28;-0.17;-0.36;-0.16;0.05;0.23;
854;41.6946;9.1909;GWL30;15.91;25.37;8.33;28.6;9.6;44.3;82.8;938.57;64.14;275.5;40.24;90.52;3.3;41;146;3.65;5.34;2.9;5.41;9.3;37.1;63.2;-0.3;28;37;-0.18;-0.36;-0.17;0;0.16;
855;41.6884;9.2863;GWL30;17.74;26.88;10.32;31.17;20.2;68.6;94.6;832.42;46.64;274.24;41.99;96.05;3.8;35;173;3.28;4.58;2.71;4.77;19;48.9;60.1;0.2;22;22;-0.12;-0.32;-0.09;0.12;0.15;
856;41.682;9.3817;GWL30;18.84;27.19;11.98;31.62;18.9;74.7;103.8;732.52;40.81;239.07;37.41;90.87;3.8;29;191;2.98;3.73;2.8;3.81;18.1;49.5;60.8;0.2;16;19;-0.11;-0.31;-0.09;0.12;0.18;
992;41.7963;8.7216;GWL30;18.17;26.06;11.44;29.88;6.1;54.7;93.8;665.25;40.95;189.52;30.12;57.21;4.3;26;188;3;3.7;2.84;3.55;5.7;45.5;65.2;0.7;15;22;-0.1;-0.36;-0.03;0.09;0.15;
993;41.7905;8.8171;GWL30;17.55;26.33;10.32;30.1;7.6;61.5;94.6;753.84;45.88;215.26;34.07;62.15;4.4;32;163;3.44;4.79;2.91;4.67;7;49.1;69.9;0.7;20;23;-0.1;-0.36;-0.04;0.08;0.14;
994;41.7845;8.9127;GWL30;17.92;26.79;10.65;31.25;19;69.9;91.2;792.02;54.48;238.4;35.3;61.38;4;30;162;3.24;4.46;2.8;4.68;17.8;50.3;61.1;0.2;20;17;-0.14;-0.32;-0.1;0.07;0.08;
995;41.7785;9.0083;GWL30;15.89;25.26;8.43;28.6;5.9;47.5;81.3;957.82;66.01;285.38;42.7;69.91;3.9;41;145;3.68;5.26;3.07;5.46;5.7;40.5;60.9;0.2;28;36;-0.15;-0.33;-0.12;0.06;0.05;
996;41.7724;9.1038;GWL30;15.17;24.46;7.66;27.69;3.3;35.2;71.4;1131.53;70.97;367.11;49.97;99.66;4.1;35;135;3.5;4.97;2.86;5.15;3.3;31.1;54.8;0.4;25;41;-0.15;-0.43;-0.1;0.06;0.31;
997;41.7661;9.1993;GWL30;14.98;24.28;7.51;27.28;3.2;31.8;72.7;1163.66;80.21;373.68;49.93;106.49;3.8;31;131;3.57;5.07;2.95;5.11;3.2;28.6;57.8;0.2;22;36;-0.15;-0.37;-0.11;0.05;0.16;
998;41.7598;9.2948;GWL30;16.74;26;9.25;30.22;16.8;57.9;82.1;1024.94;71.68;324.41;43.68;99.31;3.7;28;142;3.42;4.86;2.86;5.06;16.1;44.6;60.7;0;21;33;-0.15;-0.36;-0.13;0.04;0.18;
999;41.7535;9.3902;GWL30;18.57;27.06;11.59;31.52;19.2;72.3;101.1;754.17;42.2;247.08;38.49;92.07;3.9;31;189;3.01;3.85;2.74;3.99;18.3;48.9;60.3;0.1;17;20;-0.11;-0.31;-0.09;0.12;0.17;
1134;41.8737;8.6336;GWL30;18.36;26.13;11.74;30;6.7;57.2;94.1;648.03;40.15;184.85;29.28;56.29;4.3;26;188;2.98;3.61;2.89;3.46;6.3;47.6;65.3;0.8;14;22;-0.09;-0.36;-0.03;0.08;0.16;
1135;41.8679;8.7294;GWL30;18.36;26.13;11.74;30;6.7;57.2;94.1;648.14;40.26;184.85;29.28;56.29;4.3;26;172;2.98;3.61;2.89;3.46;6.3;47.6;65.3;0.8;14;18;-0.09;-0.36;-0.03;0.08;0.16;
1136;41.862;8.8251;GWL30;17.82;26.31;10.74;30.14;7.4;61.7;94.1;718.65;44.18;204.4;32.51;59.99;4.3;31;167;3.26;4.41;2.85;4.27;7;49.3;67.6;0.8;19;21;-0.1;-0.36;-0.03;0.09;0.14;
1137;41.856;8.9207;GWL30;17.07;26.37;9.64;30.5;18.5;63;87.9;880.03;60.27;263.74;39.07;65.72;3.8;36;151;3.56;5.1;2.98;5.4;17.4;48.7;63.5;0.1;25;31;-0.14;-0.33;-0.1;0.06;0.06;
1138;41.85;9.0164;GWL30;17.13;26.41;9.59;30.6;20.2;64;86.5;831.49;50.82;247.13;37.17;76.61;3.7;37;152;3.37;4.91;2.67;5.19;19;48.7;61;0;28;29;-0.17;-0.42;-0.15;0.01;0.31;
1139;41.8439;9.112;GWL30;13.21;22.35;5.91;24.77;0;8.8;56.8;1267.64;78;423.12;55.69;112.6;4.2;15;124;3.47;4.84;2.95;4.81;0;8.4;48;0.5;12;39;-0.14;-0.43;-0.07;0.08;0.31;
1140;41.8376;9.2077;GWL30;11.55;20.35;4.59;22.23;0;2.2;38;1409.42;93.87;505.34;64.39;120.84;3.8;9;117;3.39;4.55;3.07;4.34;0;2.2;35.2;0.3;7;42;-0.13;-0.36;0.01;0.15;0.18;
1141;41.8313;9.3033;GWL30;17.11;26.41;9.57;30.21;14.4;58.1;90;876.83;50.14;305.04;45.62;95.93;4.1;32;166;3.28;4.68;2.61;4.77;13.8;43.9;58.5;0.4;22;28;-0.12;-0.29;-0.04;0.16;0.19;
1142;41.8249;9.3988;GWL30;18.43;26.68;11.49;30.23;7.7;56.2;102.6;750.16;45.93;247.43;45.74;98.45;4;17;179;2.71;3.26;2.56;3.18;7.6;43;53.3;0.4;11;13;-0.1;-0.29;-0.02;0.16;0.1;
1276;41.9509;8.5455;GWL30;18.31;26.07;11.71;29.98;5.8;57.6;91.9;642.56;39.84;186.93;28.43;60.33;3.3;28;189;2.93;3.56;2.86;3.45;5.4;47.8;62.7;-0.2;15;20;-0.12;-0.39;-0.02;-0.01;0.19;
1277;41.9452;8.6413;GWL30;17.89;26.1;10.99;29.93;4.8;58.8;91.3;688.19;42.17;199.97;30.44;63.06;3.3;32;180;3.06;4;2.78;3.89;4.5;48.2;63.8;-0.2;19;23;-0.12;-0.39;-0.02;-0.01;0.18;
1278;41.9394;8.7372;GWL30;17.92;26.07;11.05;29.91;4.7;57.8;91.4;684.16;42.28;198.63;30.23;62.73;3.4;31;171;3.04;3.94;2.79;3.83;4.5;47.6;63.8;-0.3;19;24;-0.12;-0.39;-0.02;-0.02;0.18;
1279;41.9335;8.833;GWL30;17.85;25.89;11.01;29.89;6.7;55.2;86.1;664.38;52.24;193.04;30.56;64.43;4;34;172;2.91;3.7;2.65;3.75;6.4;45.7;58.5;0.4;21;12;-0.13;-0.22;-0.06;0.08;0.19;
1280;41.9276;8.9288;GWL30;16.99;25.84;9.73;29.75;9.2;57;83.2;758.69;58.1;219.4;34.78;69.48;4.1;39;162;3.34;4.74;2.77;4.95;8.7;46.6;61.2;0.4;26;26;-0.14;-0.24;-0.07;0.07;0.17;
1281;41.9215;9.0246;GWL30;14.86;24.22;7.32;27;3.3;29.1;73.1;996.39;67.59;297.81;44.37;85.26;4;37;138;3.57;5.14;2.86;5.18;3.3;26.3;56.7;0.3;26;40;-0.17;-0.38;-0.14;0.02;0.26;
1282;41.9154;9.1203;GWL30;15.32;24.59;7.8;27.87;4.6;36.8;71.9;1133.42;77.65;372.01;50.57;98.65;4.4;34;132;3.45;4.9;2.81;5.01;4.5;31.8;54.5;0.8;24;39;-0.15;-0.38;-0.08;0.06;0.27;
1283;41.9091;9.216;GWL30;12.33;21.05;5.26;23.62;0;5.6;34.5;1064.35;82.04;384.13;48.62;103.6;4.3;8;129;3.23;4.33;2.83;4.07;0;5.5;32.8;0.6;6;36;-0.1;-0.28;0.07;0.16;0.28;
1284;41.9028;9.3118;GWL30;16.98;25.95;9.55;29.58;4.8;53.4;90.2;933.77;68.9;297.61;52.71;130.54;4.2;17;139;3.19;4.24;2.71;4.16;4.4;42;60.9;0.6;11;16;-0.05;-0.14;0.01;0.16;0.18;
1285;41.8964;9.4075;GWL30;18.75;26.77;11.9;30.07;3.8;57.3;109.8;784.58;59.68;248.59;43.77;117.28;4.2;13;180;2.69;3.09;2.6;2.85;3.6;44.1;55.7;0.6;6;4;-0.05;-0.11;0;0.16;0.22;
1420;42.0168;8.649;GWL30;18.2;26.02;11.56;29.91;5.4;56;91.8;651;40.22;189.38;28.84;60.85;3.3;28;174;2.93;3.59;2.84;3.48;5.1;46.6;62.6;-0.2;16;22;-0.12;-0.39;-0.02;-0.01;0.19;
1421;42.011;8.745;GWL30;17.75;26.26;10.68;30.16;6.5;63.7;91.8;714.01;43.81;207.18;31.59;64.51;3.3;34;170;3.22;4.39;2.82;4.32;6.1;50.9;65.3;-0.2;21;26;-0.12;-0.39;-0.02;-0.01;0.18;
