#-----------------------------------------------------------------------------
# Date d'extraction : 03/05/2026 - 22h54 loc.
#-----------------------------------------------------------------------------
# Producteur : MF_DCSC
# Experience : TRACC2023
# Modele     : HIRHAM5_CM5A
#-----------------------------------------------------------------------------
# Niveaux de réchauffement :
#     GWL20 : Niveau de réchauffement Monde 2.0 degrés -> 2050 / France +2.7°C
#-----------------------------------------------------------------------------
# Type d'indice : annuel
#-----------------------------------------------------------------------------
# Indices : 
#     NORTMm_yr : Température moyenne annuelle (°C)
#     NORTMm_seas_JJA : Température moyenne en été (°C)
#     NORTMm_seas_DJF : Température moyenne en hiver (°C)
#     NORTXm_seas_JJA : Température maximale en été (°C)
#     NORTX35D_yr : Nombre de jours avec Tx >= 35°C (jour(s))
#     NORTX30D_yr : Nombre de jours avec Tx >= 30°C (jour(s))
#     NORTR_yr : Nombre de nuits tropicales (jour(s))
#     NORRR_yr : Cumul de précipitations annuelles (mm)
#     NORRR_seas_JJA : Cumul de précipitations en été (mm)
#     NORRR_seas_DJF : Cumul de précipitations en hiver (mm)
#     NORRRq99_yr : Cumul de précipitations quotidiennes remarquables (percentile 99 du cumul  quotidien) (mm)
#     NORRx1d_yr : Intensité des précipitations extrêmes (max annuel des  précipitations totales) (mm)
#     NORRRq99refD_yr : Fréquence des précipitations quotidienne remarquables (jour(s))
#     NORSWI04_yr : Nombre de jours avec SWI < 0.4 (jour(s))
#     ATMm_yr : Ecart de température moyenne annuelle (°C)
#     ATMm_seas_JJA : Ecart de température moyenne en été (°C)
#     ATMm_seas_DJF : Ecart de température moyenne en hiver (°C)
#     ATXm_seas_JJA : Ecart de température maximale en été (°C)
#     ATX35D_yr : Ecart de nombre de jours avec tx >= 35°c (jour(s))
#     ATX30D_yr : Ecart de nombre de jours avec tx >= 30°c (jour(s))
#     ATR_yr : Ecart de nombre de nuits tropicales (jour(s))
#     ARRq99refD_yr : Ecart de fréquence des précipitations quotidienne remarquables (jour(s))
#     ASWI04_yr : Ecart de nombre de jours avec swi < 0.4 (jour(s))
#     ARRR_yr : Ecart relatif de cumul de précipitations annuelles
#     ARRR_seas_JJA : Ecart relatif de cumul de précipitations en été
#     ARRR_seas_DJF : Ecart relatif de cumul de précipitations en hiver
#     ARRRq99_yr : Ecart relatif de cumul de précipitations quotidiennes remarquables (percentile 99 du cumul  quotidien)
#     ARRx1d_yr : Ecart relatif de intensité des précipitations extrêmes (max annuel des  précipitations totales)
#-----------------------------------------------------------------------------
# Format des enregistrements 
# Point;Latitude;Longitude;Niveau;NORTMm_yr;NORTMm_seas_JJA;NORTMm_seas_DJF;NORTXm_seas_JJA;NORTX35D_yr;NORTX30D_yr;NORTR_yr;NORRR_yr;NORRR_seas_JJA;NORRR_seas_DJF;NORRRq99_yr;NORRx1d_yr;NORRRq99refD_yr;NORSWI04_yr;ATMm_yr;ATMm_seas_JJA;ATMm_seas_DJF;ATXm_seas_JJA;ATX35D_yr;ATX30D_yr;ATR_yr;ARRq99refD_yr;ASWI04_yr;ARRR_yr;ARRR_seas_JJA;ARRR_seas_DJF;ARRRq99_yr;ARRx1d_yr;
#-----------------------------------------------------------------------------
139;41.3373;9.1495;GWL20;18.48;26.63;11.95;31.31;18.1;69.1;83;625.09;46.33;225.8;29.79;54.4;4.3;216;2.61;3.29;2.73;3.33;16;40;47.8;0.7;38;-0.09;-0.15;0.03;0.11;0.17;
281;41.4149;9.0628;GWL20;18.47;26.62;11.94;31.3;18.1;69.1;83;625.46;46.36;225.88;29.82;54.42;4.3;216;2.61;3.29;2.73;3.33;16;40.1;47.9;0.6;38;-0.09;-0.15;0.03;0.11;0.17;
282;41.4087;9.1577;GWL20;18.14;26.38;11.52;31.03;16.8;64.3;80.6;647.67;47.67;233.86;30.88;55.68;4.3;225;2.61;3.33;2.67;3.43;14.9;38.5;47.3;0.8;38;-0.09;-0.15;0.03;0.11;0.17;
283;41.4025;9.2527;GWL20;18.44;26.6;11.9;31.28;18.1;68.8;82.9;627.4;46.48;226.6;29.96;54.53;4.3;231;2.61;3.29;2.72;3.34;16;39.9;48;0.7;36;-0.09;-0.15;0.03;0.11;0.17;
422;41.4985;8.8808;GWL20;18.29;26.22;11.8;30.97;14.7;66.9;82.2;598.81;45.04;216.23;28.49;52.81;3.5;233;2.5;2.96;2.67;3.09;12.8;38.5;48.1;-0.1;46;-0.15;-0.25;-0.04;0;-0.01;
423;41.4925;8.9759;GWL20;18.06;26.06;11.52;30.78;13.9;63.3;80.8;613.11;45.92;221.43;29.15;53.64;3.5;230;2.5;2.98;2.64;3.15;12;37.3;47.9;-0.2;42;-0.15;-0.25;-0.04;0;-0.01;
424;41.4864;9.071;GWL20;18.27;26.47;11.7;31.14;17.7;66.1;81.7;638.2;47.13;230.48;30.38;55.13;4.3;225;2.6;3.3;2.69;3.38;15.7;39.1;47.6;0.7;39;-0.09;-0.15;0.03;0.11;0.17;
425;41.4802;9.166;GWL20;17.86;26.19;11.16;30.8;16.4;62.2;78.1;669.07;49.08;241.73;31.94;56.86;4.3;218;2.63;3.39;2.63;3.55;14.6;38.1;46.1;0.7;39;-0.09;-0.16;0.03;0.11;0.17;
426;41.4739;9.261;GWL20;18.27;26.47;11.7;31.14;17.7;66.1;81.7;638.2;47.13;230.48;30.38;55.13;4.3;220;2.6;3.3;2.69;3.38;15.7;39.1;47.6;0.7;40;-0.09;-0.15;0.03;0.11;0.17;
564;41.5759;8.7935;GWL20;17.39;24.84;10.96;28.83;4;34.8;68.9;634.25;46.74;221.52;27.22;50.71;3.5;207;2.15;2.48;2.29;2.52;3.8;25.8;41.6;-0.1;47;-0.15;-0.25;0.03;-0.04;0.01;
565;41.57;8.8888;GWL20;17.1;24.79;10.51;28.72;3.7;37.5;67.8;664.87;48.61;232.02;28.54;52.37;3.5;203;2.24;2.71;2.27;2.72;3.5;27.2;41.6;-0.1;42;-0.15;-0.26;0.03;-0.04;0.01;
566;41.564;8.984;GWL20;16.93;24.84;10.2;28.83;5.7;41.2;67.8;689.66;50.14;240.55;29.67;53.68;3.5;192;2.36;2.98;2.3;3.02;5.2;28.5;42.6;-0.1;40;-0.15;-0.26;0.03;-0.04;0.01;
567;41.5579;9.0791;GWL20;16.18;25.12;8.91;28.97;12.4;45.5;72.8;929.69;70.28;335.36;39.05;72.46;3.7;164;2.77;3.99;2.36;4.08;11.3;32.1;49;0.2;50;-0.13;-0.28;0.01;0.03;-0.08;
568;41.5517;9.1743;GWL20;17.78;26.14;11.06;30.75;16.2;61.5;77.8;674.97;49.48;243.92;32.23;57.19;4.3;216;2.63;3.41;2.62;3.59;14.4;37.8;46.5;0.6;36;-0.09;-0.16;0.03;0.11;0.17;
569;41.5454;9.2694;GWL20;18.1;26.39;11.47;31.13;17.3;63.9;80.2;700.43;39.27;254.85;32.61;61.55;4.8;212;2.48;3.27;2.51;3.44;15.4;38.2;46.6;1.2;27;-0.02;-0.33;0.13;0.15;0.24;
707;41.6474;8.8014;GWL20;17.36;24.78;10.95;28.81;3.9;35;67.8;634.56;42.21;224.62;27.03;47.1;3.2;210;2.09;2.4;2.24;2.47;3.7;26.1;40.6;-0.4;45;-0.14;-0.33;0.05;-0.02;-0.08;
