#-----------------------------------------------------------------------------
# Date d'extraction : 03/05/2026 - 22h31 loc.
#-----------------------------------------------------------------------------
# Producteur : MF_DCSC
# Experience : TRACC2023
# Modele     : HIRHAM5_NorESM1
#-----------------------------------------------------------------------------
# Niveaux de réchauffement :
#     GWL20 : Niveau de réchauffement Monde 2.0 degrés -> 2050 / France +2.7°C
#-----------------------------------------------------------------------------
# Type d'indice : annuel
#-----------------------------------------------------------------------------
# Indices : 
#     NORTMm_yr : Température moyenne annuelle (°C)
#     NORTMm_seas_JJA : Température moyenne en été (°C)
#     NORTMm_seas_DJF : Température moyenne en hiver (°C)
#     NORTXm_seas_JJA : Température maximale en été (°C)
#     NORTX35D_yr : Nombre de jours avec Tx >= 35°C (jour(s))
#     NORTX30D_yr : Nombre de jours avec Tx >= 30°C (jour(s))
#     NORTR_yr : Nombre de nuits tropicales (jour(s))
#     NORRR_yr : Cumul de précipitations annuelles (mm)
#     NORRR_seas_JJA : Cumul de précipitations en été (mm)
#     NORRR_seas_DJF : Cumul de précipitations en hiver (mm)
#     NORRRq99_yr : Cumul de précipitations quotidiennes remarquables (percentile 99 du cumul  quotidien) (mm)
#     NORRx1d_yr : Intensité des précipitations extrêmes (max annuel des  précipitations totales) (mm)
#     NORRRq99refD_yr : Fréquence des précipitations quotidienne remarquables (jour(s))
#     NORIFM40_yr : Indicateur feux météo nombre de jours supérieurs à 40 (jour(s))
#     NORSWI04_yr : Nombre de jours avec SWI < 0.4 (jour(s))
#     ATMm_yr : Ecart de température moyenne annuelle (°C)
#     ATMm_seas_JJA : Ecart de température moyenne en été (°C)
#     ATMm_seas_DJF : Ecart de température moyenne en hiver (°C)
#     ATXm_seas_JJA : Ecart de température maximale en été (°C)
#     ATX35D_yr : Ecart de nombre de jours avec tx >= 35°c (jour(s))
#     ATX30D_yr : Ecart de nombre de jours avec tx >= 30°c (jour(s))
#     ATR_yr : Ecart de nombre de nuits tropicales (jour(s))
#     ARRq99refD_yr : Ecart de fréquence des précipitations quotidienne remarquables (jour(s))
#     AIFM40_yr : Ecart de indicateur feux météo nombre de jours supérieurs à 40 (jour(s))
#     ASWI04_yr : Ecart de nombre de jours avec swi < 0.4 (jour(s))
#     ARRR_yr : Ecart relatif de cumul de précipitations annuelles
#     ARRR_seas_JJA : Ecart relatif de cumul de précipitations en été
#     ARRR_seas_DJF : Ecart relatif de cumul de précipitations en hiver
#     ARRRq99_yr : Ecart relatif de cumul de précipitations quotidiennes remarquables (percentile 99 du cumul  quotidien)
#     ARRx1d_yr : Ecart relatif de intensité des précipitations extrêmes (max annuel des  précipitations totales)
#-----------------------------------------------------------------------------
# Format des enregistrements 
# Point;Latitude;Longitude;Niveau;NORTMm_yr;NORTMm_seas_JJA;NORTMm_seas_DJF;NORTXm_seas_JJA;NORTX35D_yr;NORTX30D_yr;NORTR_yr;NORRR_yr;NORRR_seas_JJA;NORRR_seas_DJF;NORRRq99_yr;NORRx1d_yr;NORRRq99refD_yr;NORIFM40_yr;NORSWI04_yr;ATMm_yr;ATMm_seas_JJA;ATMm_seas_DJF;ATXm_seas_JJA;ATX35D_yr;ATX30D_yr;ATR_yr;ARRq99refD_yr;AIFM40_yr;ASWI04_yr;ARRR_yr;ARRR_seas_JJA;ARRR_seas_DJF;ARRRq99_yr;ARRx1d_yr;
#-----------------------------------------------------------------------------
139;41.3373;9.1495;GWL20;18.43;26.52;11.43;31.24;18.6;72.1;86.6;629.32;43.91;189.73;25.02;45.88;2.8;57;202;2.55;3.1;2.14;3.2;16.5;42.2;50.1;-1;19;28;-0.11;-0.28;-0.13;-0.12;-0.14;
281;41.4149;9.0628;GWL20;18.43;26.52;11.42;31.23;18.6;72.1;86.5;629.61;43.94;189.82;25.03;45.9;2.8;57;202;2.55;3.1;2.14;3.2;16.5;42.2;50.1;-1;19;28;-0.11;-0.28;-0.13;-0.12;-0.14;
282;41.4087;9.1577;GWL20;18.1;26.28;11.02;30.97;17.7;66.6;84.7;653.07;45.47;196.73;25.98;47.17;2.7;52;214;2.56;3.15;2.09;3.31;15.6;40.8;50.5;-1;20;28;-0.11;-0.28;-0.13;-0.12;-0.14;
283;41.4025;9.2527;GWL20;18.39;26.49;11.38;31.21;18.6;71.3;86.4;631.97;44.1;190.52;25.13;46.03;2.6;57;226;2.55;3.11;2.13;3.21;16.5;41.9;50.1;-1.1;19;32;-0.11;-0.28;-0.13;-0.12;-0.14;
422;41.4985;8.8808;GWL20;18.15;26.2;11.19;30.95;16.9;65.2;82.1;635.81;44.22;189.12;26.42;51.53;3.2;58;205;2.35;2.88;1.98;3.03;14.7;36.8;48.3;-0.6;21;28;-0.11;-0.27;-0.16;-0.09;-0.07;
423;41.4925;8.9759;GWL20;17.93;26.05;10.93;30.77;16.6;61.5;80.6;652.16;45.11;194.7;27.06;53.17;3.2;54;204;2.35;2.91;1.95;3.09;14.5;35.5;47.4;-0.5;20;23;-0.11;-0.27;-0.15;-0.1;-0.07;
424;41.4864;9.071;GWL20;18.23;26.37;11.19;31.08;18.2;68.6;85.4;643.09;44.83;193.76;25.63;46.57;2.7;54;213;2.55;3.12;2.11;3.26;16.1;41.5;50.2;-1;20;30;-0.11;-0.28;-0.13;-0.12;-0.14;
425;41.4802;9.166;GWL20;17.83;26.09;10.67;30.76;17.3;64.8;83;674.65;47.09;202.76;26.85;48.36;2.7;47;203;2.59;3.22;2.06;3.43;15.4;40.5;50.4;-1;19;27;-0.11;-0.27;-0.13;-0.12;-0.13;
426;41.4739;9.261;GWL20;18.23;26.37;11.19;31.08;18.2;68.6;85.4;643.09;44.83;193.76;25.63;46.57;2.7;54;209;2.55;3.12;2.11;3.26;16.1;41.5;50.2;-1;20;32;-0.11;-0.28;-0.13;-0.12;-0.14;
564;41.5759;8.7935;GWL20;17.3;24.83;10.43;28.83;4.8;36.3;68;643.31;45.78;174;24.77;48.07;2.2;18;180;2.04;2.45;1.65;2.5;4.6;27.4;40.6;-1.5;13;24;-0.13;-0.27;-0.18;-0.15;-0.05;
565;41.57;8.8888;GWL20;17.01;24.77;9.99;28.73;4.3;38.8;67.4;674.07;48.02;181.38;25.94;49.77;2.2;17;178;2.13;2.66;1.64;2.7;4.2;28.6;41;-1.4;12;22;-0.13;-0.27;-0.18;-0.15;-0.05;
566;41.564;8.984;GWL20;16.83;24.8;9.69;28.83;5.9;42.2;67.2;699.62;49.8;187.97;26.86;51.11;2.2;19;171;2.24;2.91;1.68;2.99;5.6;30;42.3;-1.4;14;25;-0.13;-0.27;-0.18;-0.15;-0.05;
