#-----------------------------------------------------------------------------
# Date d'extraction : 03/05/2026 - 22h49 loc.
#-----------------------------------------------------------------------------
# Producteur : MF_DCSC
# Experience : TRACC2023
# Modele     : HadREM3-GA7_CNRM-CM5
#-----------------------------------------------------------------------------
# Niveaux de réchauffement :
#     GWL20 : Niveau de réchauffement Monde 2.0 degrés -> 2050 / France +2.7°C
#-----------------------------------------------------------------------------
# Type d'indice : annuel
#-----------------------------------------------------------------------------
# Indices : 
#     NORTMm_yr : Température moyenne annuelle (°C)
#     NORTMm_seas_JJA : Température moyenne en été (°C)
#     NORTMm_seas_DJF : Température moyenne en hiver (°C)
#     NORTXm_seas_JJA : Température maximale en été (°C)
#     NORTX35D_yr : Nombre de jours avec Tx >= 35°C (jour(s))
#     NORTX30D_yr : Nombre de jours avec Tx >= 30°C (jour(s))
#     NORTR_yr : Nombre de nuits tropicales (jour(s))
#     NORRR_yr : Cumul de précipitations annuelles (mm)
#     NORRR_seas_JJA : Cumul de précipitations en été (mm)
#     NORRR_seas_DJF : Cumul de précipitations en hiver (mm)
#     NORRRq99_yr : Cumul de précipitations quotidiennes remarquables (percentile 99 du cumul  quotidien) (mm)
#     NORRx1d_yr : Intensité des précipitations extrêmes (max annuel des  précipitations totales) (mm)
#     NORRRq99refD_yr : Fréquence des précipitations quotidienne remarquables (jour(s))
#     NORSWI04_yr : Nombre de jours avec SWI < 0.4 (jour(s))
#     ATMm_yr : Ecart de température moyenne annuelle (°C)
#     ATMm_seas_JJA : Ecart de température moyenne en été (°C)
#     ATMm_seas_DJF : Ecart de température moyenne en hiver (°C)
#     ATXm_seas_JJA : Ecart de température maximale en été (°C)
#     ATX35D_yr : Ecart de nombre de jours avec tx >= 35°c (jour(s))
#     ATX30D_yr : Ecart de nombre de jours avec tx >= 30°c (jour(s))
#     ATR_yr : Ecart de nombre de nuits tropicales (jour(s))
#     ARRq99refD_yr : Ecart de fréquence des précipitations quotidienne remarquables (jour(s))
#     ASWI04_yr : Ecart de nombre de jours avec swi < 0.4 (jour(s))
#     ARRR_yr : Ecart relatif de cumul de précipitations annuelles
#     ARRR_seas_JJA : Ecart relatif de cumul de précipitations en été
#     ARRR_seas_DJF : Ecart relatif de cumul de précipitations en hiver
#     ARRRq99_yr : Ecart relatif de cumul de précipitations quotidiennes remarquables (percentile 99 du cumul  quotidien)
#     ARRx1d_yr : Ecart relatif de intensité des précipitations extrêmes (max annuel des  précipitations totales)
#-----------------------------------------------------------------------------
# Format des enregistrements 
# Point;Latitude;Longitude;Niveau;NORTMm_yr;NORTMm_seas_JJA;NORTMm_seas_DJF;NORTXm_seas_JJA;NORTX35D_yr;NORTX30D_yr;NORTR_yr;NORRR_yr;NORRR_seas_JJA;NORRR_seas_DJF;NORRRq99_yr;NORRx1d_yr;NORRRq99refD_yr;NORSWI04_yr;ATMm_yr;ATMm_seas_JJA;ATMm_seas_DJF;ATXm_seas_JJA;ATX35D_yr;ATX30D_yr;ATR_yr;ARRq99refD_yr;ASWI04_yr;ARRR_yr;ARRR_seas_JJA;ARRR_seas_DJF;ARRRq99_yr;ARRx1d_yr;
#-----------------------------------------------------------------------------
139;41.3373;9.1495;GWL20;17.81;25.23;10.93;29.83;6.5;51.8;64.6;713.73;64.53;237.81;28.97;63.06;4.3;207;1.95;1.9;1.71;1.85;4.3;22;32.2;0.6;40;0;-0.06;0.07;0.04;0.06;
281;41.4149;9.0628;GWL20;17.8;25.23;10.92;29.83;6.5;51.7;64.6;714.06;64.56;237.91;28.98;63.07;4.3;207;1.95;1.9;1.71;1.85;4.3;21.9;32.3;0.6;40;0;-0.06;0.07;0.04;0.06;
282;41.4087;9.1577;GWL20;17.47;24.99;10.52;29.52;6;47.2;61.7;738.96;66.44;246.25;30;64.3;4.2;220;1.95;1.94;1.68;1.92;4.2;21.2;30.9;0.6;39;0;-0.06;0.07;0.04;0.06;
283;41.4025;9.2527;GWL20;17.77;25.21;10.88;29.8;6.4;51.2;64.2;716.47;64.75;238.73;29.07;63.19;4.3;226;1.95;1.9;1.71;1.86;4.2;21.8;32.2;0.6;33;0;-0.06;0.07;0.04;0.06;
422;41.4985;8.8808;GWL20;17.69;25.11;10.8;29.83;8.1;49.4;61.8;725.78;52.73;259.82;30.63;76.55;4.3;209;1.9;1.84;1.67;1.95;5.8;21.1;28.1;0.7;27;0.01;-0.12;0.13;0.11;0.38;
423;41.4925;8.9759;GWL20;17.45;24.94;10.52;29.6;8;47.2;62;723.04;62.99;238.49;30.88;74.9;4.3;210;1.88;1.85;1.62;1.97;5.8;21.3;29.5;0.6;30;-0.02;-0.01;0.02;0.1;0.28;
424;41.4864;9.071;GWL20;17.61;25.14;10.68;29.8;7.3;50.5;65.1;739.25;59.7;236.57;32.5;73.04;4.7;209;1.94;1.96;1.67;2.05;5.2;23.7;32.4;1;23;0.02;0;0.04;0.14;0.35;
425;41.4802;9.166;GWL20;17.19;24.84;10.16;29.42;6.6;47.2;63;773.5;62.34;247.96;33.88;74.75;4.8;201;1.96;2.04;1.64;2.16;4.8;23.4;32.6;1;26;0.02;-0.01;0.04;0.13;0.34;
426;41.4739;9.261;GWL20;17.61;25.14;10.68;29.8;7.3;50.5;65.1;739.25;59.7;236.57;32.5;73.04;4.7;205;1.94;1.96;1.67;2.05;5.2;23.7;32.4;1;27;0.02;0;0.04;0.14;0.35;
564;41.5759;8.7935;GWL20;16.9;23.93;10.08;27.93;2.2;22.3;53.3;742.95;53.46;242.61;30.7;71.23;3.9;184;1.66;1.6;1.38;1.62;2;13.4;27.3;0.2;32;0;-0.14;0.14;0.11;0.34;
565;41.57;8.8888;GWL20;16.59;23.79;9.65;27.76;2.2;24.1;52.1;777.22;55.76;253.9;32.03;72.92;3.9;186;1.72;1.73;1.39;1.76;2;14.1;27;0.2;34;0;-0.14;0.14;0.11;0.33;
566;41.564;8.984;GWL20;16.41;23.79;9.4;27.92;2.5;30.4;49.3;800.52;63.29;249.85;32.48;70.16;4;176;1.84;1.95;1.48;2.11;2.1;18;24.1;0.3;36;-0.03;-0.1;0.09;0.06;0.09;
