#-----------------------------------------------------------------------------
# Date d'extraction : 03/05/2026 - 22h49 loc.
#-----------------------------------------------------------------------------
# Producteur : MF_DCSC
# Experience : TRACC2023
# Modele     : HadREM3-GA7_CNRM-CM5
#-----------------------------------------------------------------------------
# Niveaux de réchauffement :
#     GWL30 : Niveau de réchauffement Monde 3.0 degrés -> 2100 / France +4°C
#-----------------------------------------------------------------------------
# Type d'indice : annuel
#-----------------------------------------------------------------------------
# Indices : 
#     NORTMm_yr : Température moyenne annuelle (°C)
#     NORTMm_seas_JJA : Température moyenne en été (°C)
#     NORTMm_seas_DJF : Température moyenne en hiver (°C)
#     NORTXm_seas_JJA : Température maximale en été (°C)
#     NORTX35D_yr : Nombre de jours avec Tx >= 35°C (jour(s))
#     NORTX30D_yr : Nombre de jours avec Tx >= 30°C (jour(s))
#     NORTR_yr : Nombre de nuits tropicales (jour(s))
#     NORRR_yr : Cumul de précipitations annuelles (mm)
#     NORRR_seas_JJA : Cumul de précipitations en été (mm)
#     NORRR_seas_DJF : Cumul de précipitations en hiver (mm)
#     NORRRq99_yr : Cumul de précipitations quotidiennes remarquables (percentile 99 du cumul  quotidien) (mm)
#     NORRx1d_yr : Intensité des précipitations extrêmes (max annuel des  précipitations totales) (mm)
#     NORRRq99refD_yr : Fréquence des précipitations quotidienne remarquables (jour(s))
#     NORSWI04_yr : Nombre de jours avec SWI < 0.4 (jour(s))
#     ATMm_yr : Ecart de température moyenne annuelle (°C)
#     ATMm_seas_JJA : Ecart de température moyenne en été (°C)
#     ATMm_seas_DJF : Ecart de température moyenne en hiver (°C)
#     ATXm_seas_JJA : Ecart de température maximale en été (°C)
#     ATX35D_yr : Ecart de nombre de jours avec tx >= 35°c (jour(s))
#     ATX30D_yr : Ecart de nombre de jours avec tx >= 30°c (jour(s))
#     ATR_yr : Ecart de nombre de nuits tropicales (jour(s))
#     ARRq99refD_yr : Ecart de fréquence des précipitations quotidienne remarquables (jour(s))
#     ASWI04_yr : Ecart de nombre de jours avec swi < 0.4 (jour(s))
#     ARRR_yr : Ecart relatif de cumul de précipitations annuelles
#     ARRR_seas_JJA : Ecart relatif de cumul de précipitations en été
#     ARRR_seas_DJF : Ecart relatif de cumul de précipitations en hiver
#     ARRRq99_yr : Ecart relatif de cumul de précipitations quotidiennes remarquables (percentile 99 du cumul  quotidien)
#     ARRx1d_yr : Ecart relatif de intensité des précipitations extrêmes (max annuel des  précipitations totales)
#-----------------------------------------------------------------------------
# Format des enregistrements 
# Point;Latitude;Longitude;Niveau;NORTMm_yr;NORTMm_seas_JJA;NORTMm_seas_DJF;NORTXm_seas_JJA;NORTX35D_yr;NORTX30D_yr;NORTR_yr;NORRR_yr;NORRR_seas_JJA;NORRR_seas_DJF;NORRRq99_yr;NORRx1d_yr;NORRRq99refD_yr;NORSWI04_yr;ATMm_yr;ATMm_seas_JJA;ATMm_seas_DJF;ATXm_seas_JJA;ATX35D_yr;ATX30D_yr;ATR_yr;ARRq99refD_yr;ASWI04_yr;ARRR_yr;ARRR_seas_JJA;ARRR_seas_DJF;ARRRq99_yr;ARRx1d_yr;
#-----------------------------------------------------------------------------
139;41.3373;9.1495;GWL30;19.08;26.56;11.86;31.22;15.4;71.2;90.6;802.78;57.06;280.78;34.84;88.16;4.9;195;3.22;3.22;2.64;3.24;13.2;41.4;58.2;1.2;28;0.12;-0.17;0.26;0.26;0.48;
281;41.4149;9.0628;GWL30;19.07;26.56;11.85;31.22;15.4;71.2;90.4;803.12;57.08;280.89;34.89;88.17;4.9;195;3.22;3.22;2.64;3.24;13.2;41.4;58.1;1.2;28;0.12;-0.17;0.26;0.26;0.48;
282;41.4087;9.1577;GWL30;18.75;26.33;11.43;30.96;14.1;66.8;87.9;830.32;58.86;290.46;35.96;89.44;4.9;204;3.22;3.28;2.59;3.36;12.2;40.8;57.1;1.3;24;0.12;-0.17;0.26;0.25;0.47;
283;41.4025;9.2527;GWL30;19.04;26.53;11.81;31.2;15.3;71;90.3;805.65;57.26;281.74;34.95;88.29;4.8;210;3.22;3.23;2.63;3.25;13.1;41.6;58.2;1.1;18;0.12;-0.17;0.26;0.26;0.48;
422;41.4985;8.8808;GWL30;18.91;26.5;11.69;31.13;15.4;65.4;92.8;768.75;42.87;280.35;33.74;72.25;4.8;215;3.12;3.23;2.56;3.24;13;37.1;59.1;1.1;33;0.07;-0.28;0.22;0.22;0.3;
423;41.4925;8.9759;GWL30;18.68;26.39;11.38;31.11;16.4;66.6;88.2;782.4;51.93;299.52;34.13;70.02;5.9;206;3.11;3.31;2.48;3.47;14.2;40.7;55.7;2.2;26;0.06;-0.19;0.29;0.21;0.2;
424;41.4864;9.071;GWL30;18.89;26.62;11.59;31.3;16.8;71.8;92.7;827.12;53.89;323.3;36.95;97.43;5;205;3.23;3.45;2.59;3.55;14.7;45;60;1.4;19;0.14;-0.1;0.42;0.3;0.8;
425;41.4802;9.166;GWL30;18.49;26.36;11.05;30.99;14.5;68.4;90.2;862.92;56.2;336.66;38.36;99.05;5.1;200;3.26;3.56;2.52;3.73;12.7;44.6;59.8;1.3;26;0.13;-0.11;0.41;0.28;0.78;
426;41.4739;9.261;GWL30;18.89;26.62;11.59;31.3;16.8;71.8;92.7;827.12;53.89;323.3;36.95;97.43;5;201;3.23;3.45;2.59;3.55;14.7;45;60;1.4;23;0.14;-0.1;0.42;0.3;0.8;
564;41.5759;8.7935;GWL30;17.96;25.1;10.84;29.01;5.5;35.8;77.4;778.97;43.47;259.11;30.83;69.21;4.8;180;2.72;2.77;2.14;2.7;5.2;26.9;51.4;1.2;28;0.05;-0.3;0.22;0.12;0.3;
565;41.57;8.8888;GWL30;17.69;25.06;10.39;28.94;5.4;39.2;77.2;815.07;45.4;270.65;32.3;71;4.8;176;2.83;3.01;2.13;2.93;5.2;29.2;52;1.1;24;0.04;-0.3;0.22;0.12;0.29;
566;41.564;8.984;GWL30;17.62;25.34;10.24;29.4;7.7;50.8;75.8;860.77;48.05;278.47;37.03;70.18;5.2;172;3.05;3.49;2.32;3.6;7.2;38.4;50.5;1.6;32;0.05;-0.32;0.21;0.21;0.09;
