#-----------------------------------------------------------------------------
# Date d'extraction : 03/05/2026 - 22h51 loc.
#-----------------------------------------------------------------------------
# Producteur : MF_DCSC
# Experience : TRACC2023
# Modele     : HadREM3-GA7_EC-EARTH
#-----------------------------------------------------------------------------
# Niveaux de réchauffement :
#     GWL15 : Niveau de réchauffement Monde 1.5 degrés -> 2030 / France +2°C
#-----------------------------------------------------------------------------
# Type d'indice : annuel
#-----------------------------------------------------------------------------
# Indices : 
#     NORTMm_yr : Température moyenne annuelle (°C)
#     NORTMm_seas_JJA : Température moyenne en été (°C)
#     NORTMm_seas_DJF : Température moyenne en hiver (°C)
#     NORTXm_seas_JJA : Température maximale en été (°C)
#     NORTX35D_yr : Nombre de jours avec Tx >= 35°C (jour(s))
#     NORTX30D_yr : Nombre de jours avec Tx >= 30°C (jour(s))
#     NORTR_yr : Nombre de nuits tropicales (jour(s))
#     NORRR_yr : Cumul de précipitations annuelles (mm)
#     NORRR_seas_JJA : Cumul de précipitations en été (mm)
#     NORRR_seas_DJF : Cumul de précipitations en hiver (mm)
#     NORRRq99_yr : Cumul de précipitations quotidiennes remarquables (percentile 99 du cumul  quotidien) (mm)
#     NORRx1d_yr : Intensité des précipitations extrêmes (max annuel des  précipitations totales) (mm)
#     NORRRq99refD_yr : Fréquence des précipitations quotidienne remarquables (jour(s))
#     NORSWI04_yr : Nombre de jours avec SWI < 0.4 (jour(s))
#     ATMm_yr : Ecart de température moyenne annuelle (°C)
#     ATMm_seas_JJA : Ecart de température moyenne en été (°C)
#     ATMm_seas_DJF : Ecart de température moyenne en hiver (°C)
#     ATXm_seas_JJA : Ecart de température maximale en été (°C)
#     ATX35D_yr : Ecart de nombre de jours avec tx >= 35°c (jour(s))
#     ATX30D_yr : Ecart de nombre de jours avec tx >= 30°c (jour(s))
#     ATR_yr : Ecart de nombre de nuits tropicales (jour(s))
#     ARRq99refD_yr : Ecart de fréquence des précipitations quotidienne remarquables (jour(s))
#     ASWI04_yr : Ecart de nombre de jours avec swi < 0.4 (jour(s))
#     ARRR_yr : Ecart relatif de cumul de précipitations annuelles
#     ARRR_seas_JJA : Ecart relatif de cumul de précipitations en été
#     ARRR_seas_DJF : Ecart relatif de cumul de précipitations en hiver
#     ARRRq99_yr : Ecart relatif de cumul de précipitations quotidiennes remarquables (percentile 99 du cumul  quotidien)
#     ARRx1d_yr : Ecart relatif de intensité des précipitations extrêmes (max annuel des  précipitations totales)
#-----------------------------------------------------------------------------
# Format des enregistrements 
# Point;Latitude;Longitude;Niveau;NORTMm_yr;NORTMm_seas_JJA;NORTMm_seas_DJF;NORTXm_seas_JJA;NORTX35D_yr;NORTX30D_yr;NORTR_yr;NORRR_yr;NORRR_seas_JJA;NORRR_seas_DJF;NORRRq99_yr;NORRx1d_yr;NORRRq99refD_yr;NORSWI04_yr;ATMm_yr;ATMm_seas_JJA;ATMm_seas_DJF;ATXm_seas_JJA;ATX35D_yr;ATX30D_yr;ATR_yr;ARRq99refD_yr;ASWI04_yr;ARRR_yr;ARRR_seas_JJA;ARRR_seas_DJF;ARRRq99_yr;ARRx1d_yr;
#-----------------------------------------------------------------------------
139;41.3373;9.1495;GWL15;17.07;24.65;10.37;29.69;9.1;49.7;45.2;663.83;34.83;231.85;26.48;57.45;3.7;194;1.2;1.25;1.15;1.64;7.1;19.8;13.5;0;23;-0.05;-0.41;0.04;-0.03;0.13;
281;41.4149;9.0628;GWL15;17.06;24.65;10.36;29.69;9.1;49.6;45.1;664.17;34.84;231.97;26.49;57.46;3.7;194;1.2;1.25;1.15;1.64;7.1;19.8;13.4;0;23;-0.05;-0.41;0.04;-0.03;0.13;
282;41.4087;9.1577;GWL15;16.73;24.39;9.98;29.37;8.6;46.2;42.6;687.94;36.19;240.23;27.47;58.67;3.5;202;1.2;1.28;1.13;1.69;6.6;20;12.5;-0.2;16;-0.05;-0.41;0.04;-0.03;0.12;
283;41.4025;9.2527;GWL15;17.03;24.62;10.33;29.66;9.1;49.5;44.8;666.42;34.99;232.74;26.6;57.57;3.7;209;1.2;1.26;1.15;1.64;7.1;19.9;13.4;0;14;-0.05;-0.41;0.04;-0.03;0.13;
422;41.4985;8.8808;GWL15;16.94;24.55;10.22;29.35;7.1;45.5;51;687.34;50.21;231.94;27.41;59.48;4;203;1.17;1.23;1.13;1.4;4.9;16.4;18.5;0.3;13;-0.02;-0.15;0.04;-0.02;0.23;
423;41.4925;8.9759;GWL15;16.73;24.44;9.93;29.37;8.1;44.5;46.7;705.23;43.23;243.31;28.38;64.84;3.5;191;1.17;1.3;1.06;1.64;6.1;18;15.6;-0.2;8;-0.03;-0.3;0.05;-0.04;0.12;
424;41.4864;9.071;GWL15;16.87;24.6;10.09;29.58;10.4;48;48.3;717.09;40.06;242.41;30.16;72.31;3.5;188;1.2;1.38;1.1;1.74;8.4;20.4;17.2;0;-3;-0.03;-0.32;0;0.05;0.04;
425;41.4802;9.166;GWL15;16.44;24.28;9.59;29.18;9.6;43.8;45.6;749.95;42.07;253.38;31.51;74.09;3.5;182;1.22;1.43;1.07;1.82;7.7;19.4;16.4;0;-1;-0.03;-0.31;0;0.05;0.04;
426;41.4739;9.261;GWL15;16.87;24.6;10.09;29.58;10.4;48;48.3;717.09;40.06;242.42;30.16;72.31;3.5;183;1.2;1.38;1.1;1.74;8.4;20.4;17.2;0;-1;-0.03;-0.32;0;0.05;0.04;
564;41.5759;8.7935;GWL15;16.24;23.42;9.59;27.52;1.7;21.4;41.3;725.35;51.76;222.55;26.47;55.91;3.4;177;1.02;1.06;0.92;1.15;1.3;12.7;15.9;-0.3;20;-0.01;-0.16;0.07;-0.06;0.21;
565;41.57;8.8888;GWL15;15.9;23.23;9.16;27.34;1.6;23.6;40.8;760.16;54.26;232.44;27.71;57.72;3.3;178;1.05;1.16;0.91;1.27;1.3;13.6;16.4;-0.3;21;-0.01;-0.15;0.06;-0.06;0.21;
566;41.564;8.984;GWL15;15.75;23.35;8.82;27.6;2.8;30.6;42.1;796.92;51.25;266.1;31.52;64.36;3.7;172;1.19;1.49;0.9;1.72;2.4;17.6;18;0;27;-0.01;-0.22;0.14;0.01;0.18;
