#-----------------------------------------------------------------------------
# Date d'extraction : 03/05/2026 - 22h51 loc.
#-----------------------------------------------------------------------------
# Producteur : MF_DCSC
# Experience : TRACC2023
# Modele     : HadREM3-GA7_EC-EARTH
#-----------------------------------------------------------------------------
# Niveaux de réchauffement :
#     GWL20 : Niveau de réchauffement Monde 2.0 degrés -> 2050 / France +2.7°C
#-----------------------------------------------------------------------------
# Type d'indice : annuel
#-----------------------------------------------------------------------------
# Indices : 
#     NORTMm_yr : Température moyenne annuelle (°C)
#     NORTMm_seas_JJA : Température moyenne en été (°C)
#     NORTMm_seas_DJF : Température moyenne en hiver (°C)
#     NORTXm_seas_JJA : Température maximale en été (°C)
#     NORTX35D_yr : Nombre de jours avec Tx >= 35°C (jour(s))
#     NORTX30D_yr : Nombre de jours avec Tx >= 30°C (jour(s))
#     NORTR_yr : Nombre de nuits tropicales (jour(s))
#     NORRR_yr : Cumul de précipitations annuelles (mm)
#     NORRR_seas_JJA : Cumul de précipitations en été (mm)
#     NORRR_seas_DJF : Cumul de précipitations en hiver (mm)
#     NORRRq99_yr : Cumul de précipitations quotidiennes remarquables (percentile 99 du cumul  quotidien) (mm)
#     NORRx1d_yr : Intensité des précipitations extrêmes (max annuel des  précipitations totales) (mm)
#     NORRRq99refD_yr : Fréquence des précipitations quotidienne remarquables (jour(s))
#     NORSWI04_yr : Nombre de jours avec SWI < 0.4 (jour(s))
#     ATMm_yr : Ecart de température moyenne annuelle (°C)
#     ATMm_seas_JJA : Ecart de température moyenne en été (°C)
#     ATMm_seas_DJF : Ecart de température moyenne en hiver (°C)
#     ATXm_seas_JJA : Ecart de température maximale en été (°C)
#     ATX35D_yr : Ecart de nombre de jours avec tx >= 35°c (jour(s))
#     ATX30D_yr : Ecart de nombre de jours avec tx >= 30°c (jour(s))
#     ATR_yr : Ecart de nombre de nuits tropicales (jour(s))
#     ARRq99refD_yr : Ecart de fréquence des précipitations quotidienne remarquables (jour(s))
#     ASWI04_yr : Ecart de nombre de jours avec swi < 0.4 (jour(s))
#     ARRR_yr : Ecart relatif de cumul de précipitations annuelles
#     ARRR_seas_JJA : Ecart relatif de cumul de précipitations en été
#     ARRR_seas_DJF : Ecart relatif de cumul de précipitations en hiver
#     ARRRq99_yr : Ecart relatif de cumul de précipitations quotidiennes remarquables (percentile 99 du cumul  quotidien)
#     ARRx1d_yr : Ecart relatif de intensité des précipitations extrêmes (max annuel des  précipitations totales)
#-----------------------------------------------------------------------------
# Format des enregistrements 
# Point;Latitude;Longitude;Niveau;NORTMm_yr;NORTMm_seas_JJA;NORTMm_seas_DJF;NORTXm_seas_JJA;NORTX35D_yr;NORTX30D_yr;NORTR_yr;NORRR_yr;NORRR_seas_JJA;NORRR_seas_DJF;NORRRq99_yr;NORRx1d_yr;NORRRq99refD_yr;NORSWI04_yr;ATMm_yr;ATMm_seas_JJA;ATMm_seas_DJF;ATXm_seas_JJA;ATX35D_yr;ATX30D_yr;ATR_yr;ARRq99refD_yr;ASWI04_yr;ARRR_yr;ARRR_seas_JJA;ARRR_seas_DJF;ARRRq99_yr;ARRx1d_yr;
#-----------------------------------------------------------------------------
139;41.3373;9.1495;GWL20;17.82;25.52;11.33;30.27;9.2;57.4;65.9;718.49;56.56;182.63;26.6;63.71;3.7;178;1.95;2.13;2.11;2.21;7.2;27.5;34.2;0;6;0.03;-0.04;-0.18;-0.02;0.25;
281;41.4149;9.0628;GWL20;17.81;25.52;11.32;30.26;9.2;57.4;65.9;718.87;56.59;182.74;26.6;63.72;3.7;178;1.95;2.13;2.11;2.21;7.2;27.6;34.2;0;6;0.03;-0.04;-0.18;-0.02;0.25;
282;41.4087;9.1577;GWL20;17.48;25.28;10.92;29.96;8.2;52.7;64;744.37;58.64;189.17;27.61;64.92;3.7;191;1.95;2.16;2.07;2.28;6.3;26.5;33.9;-0.1;4;0.03;-0.04;-0.18;-0.03;0.24;
283;41.4025;9.2527;GWL20;17.78;25.5;11.28;30.24;9.2;57;65.6;721.31;56.8;183.35;26.76;63.84;3.7;204;1.95;2.13;2.11;2.22;7.2;27.3;34.1;0;8;0.03;-0.04;-0.18;-0.02;0.25;
422;41.4985;8.8808;GWL20;17.65;25.36;11.15;29.92;7.2;52.2;69.7;747.96;67.02;187.31;29.12;61.16;4;187;1.88;2.04;2.06;1.97;5;23.1;37.2;0.3;-3;0.06;0.13;-0.16;0.04;0.26;
423;41.4925;8.9759;GWL20;17.43;25.22;10.88;29.91;8.6;50.2;66.4;760.36;61.73;189.38;30.08;60.96;3.9;186;1.86;2.08;2.01;2.19;6.7;23.6;35.3;0.2;3;0.04;0;-0.18;0.02;0.05;
424;41.4864;9.071;GWL20;17.59;25.43;11.06;30.16;10.6;55;67.8;726.65;55.41;178.66;28.73;65.63;3.6;201;1.92;2.2;2.06;2.31;8.6;27.4;36.7;0.1;11;-0.02;-0.05;-0.26;0;-0.06;
425;41.4802;9.166;GWL20;17.17;25.14;10.54;29.8;10;51;65.2;760.02;58.04;186.89;30.02;67.16;3.6;194;1.94;2.29;2.02;2.44;8.1;26.6;36;0;11;-0.02;-0.05;-0.26;0;-0.06;
426;41.4739;9.261;GWL20;17.59;25.43;11.06;30.16;10.6;55;67.8;726.64;55.41;178.66;28.73;65.63;3.6;195;1.92;2.2;2.06;2.31;8.6;27.4;36.7;0.1;11;-0.02;-0.05;-0.26;0;-0.06;
564;41.5759;8.7935;GWL20;16.88;24.17;10.4;28.01;1.9;22.6;60.7;790.24;65.53;182.74;28.98;58.38;3.8;160;1.66;1.81;1.73;1.64;1.5;13.9;35.3;0.1;4;0.08;0.07;-0.13;0.03;0.27;
565;41.57;8.8888;GWL20;16.56;24.05;9.96;27.88;1.8;24.9;59.5;828.62;68.63;191.3;30.51;60.31;3.8;161;1.71;1.98;1.71;1.81;1.5;14.9;35.1;0.2;5;0.08;0.07;-0.12;0.03;0.26;
566;41.564;8.984;GWL20;16.36;24.07;9.66;28.12;2.4;34.2;55.7;847.27;67.52;200.06;34.5;61.38;4;157;1.8;2.21;1.74;2.23;2;21.3;31.6;0.3;12;0.06;0.03;-0.14;0.11;0.12;
