#-----------------------------------------------------------------------------
# Date d'extraction : 03/05/2026 - 22h52 loc.
#-----------------------------------------------------------------------------
# Producteur : MF_DCSC
# Experience : TRACC2023
# Modele     : HadREM3-GA7_HadGEM2
#-----------------------------------------------------------------------------
# Niveaux de réchauffement :
#     GWL20 : Niveau de réchauffement Monde 2.0 degrés -> 2050 / France +2.7°C
#-----------------------------------------------------------------------------
# Type d'indice : annuel
#-----------------------------------------------------------------------------
# Indices : 
#     NORTMm_yr : Température moyenne annuelle (°C)
#     NORTMm_seas_JJA : Température moyenne en été (°C)
#     NORTMm_seas_DJF : Température moyenne en hiver (°C)
#     NORTXm_seas_JJA : Température maximale en été (°C)
#     NORTX35D_yr : Nombre de jours avec Tx >= 35°C (jour(s))
#     NORTX30D_yr : Nombre de jours avec Tx >= 30°C (jour(s))
#     NORTR_yr : Nombre de nuits tropicales (jour(s))
#     NORRR_yr : Cumul de précipitations annuelles (mm)
#     NORRR_seas_JJA : Cumul de précipitations en été (mm)
#     NORRR_seas_DJF : Cumul de précipitations en hiver (mm)
#     NORRRq99_yr : Cumul de précipitations quotidiennes remarquables (percentile 99 du cumul  quotidien) (mm)
#     NORRx1d_yr : Intensité des précipitations extrêmes (max annuel des  précipitations totales) (mm)
#     NORRRq99refD_yr : Fréquence des précipitations quotidienne remarquables (jour(s))
#     NORSWI04_yr : Nombre de jours avec SWI < 0.4 (jour(s))
#     ATMm_yr : Ecart de température moyenne annuelle (°C)
#     ATMm_seas_JJA : Ecart de température moyenne en été (°C)
#     ATMm_seas_DJF : Ecart de température moyenne en hiver (°C)
#     ATXm_seas_JJA : Ecart de température maximale en été (°C)
#     ATX35D_yr : Ecart de nombre de jours avec tx >= 35°c (jour(s))
#     ATX30D_yr : Ecart de nombre de jours avec tx >= 30°c (jour(s))
#     ATR_yr : Ecart de nombre de nuits tropicales (jour(s))
#     ARRq99refD_yr : Ecart de fréquence des précipitations quotidienne remarquables (jour(s))
#     ASWI04_yr : Ecart de nombre de jours avec swi < 0.4 (jour(s))
#     ARRR_yr : Ecart relatif de cumul de précipitations annuelles
#     ARRR_seas_JJA : Ecart relatif de cumul de précipitations en été
#     ARRR_seas_DJF : Ecart relatif de cumul de précipitations en hiver
#     ARRRq99_yr : Ecart relatif de cumul de précipitations quotidiennes remarquables (percentile 99 du cumul  quotidien)
#     ARRx1d_yr : Ecart relatif de intensité des précipitations extrêmes (max annuel des  précipitations totales)
#-----------------------------------------------------------------------------
# Format des enregistrements 
# Point;Latitude;Longitude;Niveau;NORTMm_yr;NORTMm_seas_JJA;NORTMm_seas_DJF;NORTXm_seas_JJA;NORTX35D_yr;NORTX30D_yr;NORTR_yr;NORRR_yr;NORRR_seas_JJA;NORRR_seas_DJF;NORRRq99_yr;NORRx1d_yr;NORRRq99refD_yr;NORSWI04_yr;ATMm_yr;ATMm_seas_JJA;ATMm_seas_DJF;ATXm_seas_JJA;ATX35D_yr;ATX30D_yr;ATR_yr;ARRq99refD_yr;ASWI04_yr;ARRR_yr;ARRR_seas_JJA;ARRR_seas_DJF;ARRRq99_yr;ARRx1d_yr;
#-----------------------------------------------------------------------------
139;41.3373;9.1495;GWL20;17.85;25.53;11.18;30.32;9.6;59.2;66.8;818.88;57.74;225.55;35.08;83.71;4.9;187;2.03;2.18;2.06;2.31;7.2;29.8;34.1;1.3;13;0.12;-0.04;0;0.24;0.19;
281;41.4149;9.0628;GWL20;17.84;25.53;11.17;30.32;9.6;59.2;66.8;819.25;57.76;225.67;35.09;83.73;4.9;187;2.03;2.18;2.06;2.32;7.2;29.9;34.1;1.3;13;0.12;-0.04;0;0.24;0.19;
282;41.4087;9.1577;GWL20;17.51;25.29;10.77;30.03;8.9;54.3;64;847.6;59.67;234.07;36.23;84.98;4.9;197;2.03;2.23;2.02;2.4;6.8;28.3;33.7;1.3;11;0.12;-0.04;0;0.23;0.19;
283;41.4025;9.2527;GWL20;17.81;25.51;11.13;30.29;9.6;58.7;66.6;821.89;57.96;226.39;35.17;83.85;4.9;209;2.03;2.19;2.06;2.32;7.2;29.7;34.1;1.3;15;0.12;-0.04;0;0.24;0.19;
422;41.4985;8.8808;GWL20;17.73;25.53;11;30.04;7.8;54.1;79.7;786.84;49.26;248.6;33.34;64.53;4.9;194;2;2.25;1.97;2.09;5.9;25.8;47.6;1.3;6;0.1;-0.21;0.13;0.17;0.32;
423;41.4925;8.9759;GWL20;17.48;25.44;10.69;30.02;10.9;50.3;74.8;835.1;55.36;250.43;36.96;78.39;5.2;191;1.96;2.35;1.9;2.32;8.9;24.1;44.5;1.6;6;0.14;-0.1;0.11;0.28;0.6;
424;41.4864;9.071;GWL20;17.64;25.56;10.83;30.03;10.1;53.2;78.8;840.15;62.99;248.27;36.99;80.74;4.3;201;2.01;2.37;1.93;2.22;7.8;26.8;47.8;0.8;12;0.14;0.03;0.09;0.3;0.4;
425;41.4802;9.166;GWL20;17.22;25.28;10.32;29.67;9.2;49.5;75.7;877.83;65.99;259.6;38.48;82.48;4.5;195;2.03;2.46;1.9;2.35;7.1;25.8;46.6;0.9;12;0.13;0.03;0.09;0.28;0.39;
426;41.4739;9.261;GWL20;17.64;25.56;10.83;30.03;10.1;53.2;78.8;840.15;62.99;248.27;36.99;80.74;4.3;196;2.01;2.37;1.93;2.22;7.8;26.8;47.8;0.8;14;0.14;0.03;0.09;0.3;0.4;
564;41.5759;8.7935;GWL20;16.95;24.28;10.36;28.1;2;22.6;64.7;781.74;51.04;216.3;31.96;60.47;4.9;178;1.76;1.91;1.74;1.71;1.7;13.9;39.9;1.2;19;0.06;-0.2;0.09;0.16;0.29;
565;41.57;8.8888;GWL20;16.64;24.19;9.91;27.99;1.9;25;64;818.77;53.4;226.17;33.48;62.27;5.1;174;1.82;2.1;1.71;1.89;1.6;14.7;40.1;1.4;16;0.06;-0.2;0.09;0.15;0.28;
566;41.564;8.984;GWL20;16.36;24.23;9.58;28.2;3.8;33.7;59.9;898.81;61.88;241.82;36.62;86.13;4.7;161;1.83;2.35;1.72;2.32;3.4;21.1;35.5;0.9;8;0.1;-0.13;0.11;0.15;0.4;
567;41.5579;9.0791;GWL20;15.48;24.08;8.33;28;7;37.3;60.5;1171.86;92.14;350.88;46.53;100.63;4.8;138;2.1;2.93;1.83;3.05;5.8;23.8;37.1;1.1;9;0.1;-0.03;0.15;0.24;0.24;
568;41.5517;9.1743;GWL20;17.14;25.23;10.23;29.62;9.2;49;74.9;885.02;66.57;261.79;38.7;82.81;4.6;194;2.03;2.49;1.89;2.38;7.2;26;46.5;1;11;0.13;0.03;0.09;0.28;0.38;
569;41.5454;9.2694;GWL20;17.6;25.5;10.88;29.91;7.7;53.8;80.6;906.42;61.78;285.3;42.08;114.98;4.5;198;2.02;2.34;2.04;2.17;5.5;28;48.8;0.9;8;0.16;0;0.17;0.36;0.38;
707;41.6474;8.8014;GWL20;16.99;24.29;10.41;28.12;2;22.7;64.9;777.63;50.8;214.99;31.78;60.29;5;185;1.75;1.9;1.74;1.7;1.7;13.9;39.9;1.3;19;0.06;-0.2;0.09;0.16;0.29;
