#-----------------------------------------------------------------------------
# Date d'extraction : 03/05/2026 - 22h52 loc.
#-----------------------------------------------------------------------------
# Producteur : MF_DCSC
# Experience : TRACC2023
# Modele     : HadREM3-GA7_HadGEM2
#-----------------------------------------------------------------------------
# Niveaux de réchauffement :
#     GWL30 : Niveau de réchauffement Monde 3.0 degrés -> 2100 / France +4°C
#-----------------------------------------------------------------------------
# Type d'indice : annuel
#-----------------------------------------------------------------------------
# Indices : 
#     NORTMm_yr : Température moyenne annuelle (°C)
#     NORTMm_seas_JJA : Température moyenne en été (°C)
#     NORTMm_seas_DJF : Température moyenne en hiver (°C)
#     NORTXm_seas_JJA : Température maximale en été (°C)
#     NORTX35D_yr : Nombre de jours avec Tx >= 35°C (jour(s))
#     NORTX30D_yr : Nombre de jours avec Tx >= 30°C (jour(s))
#     NORTR_yr : Nombre de nuits tropicales (jour(s))
#     NORRR_yr : Cumul de précipitations annuelles (mm)
#     NORRR_seas_JJA : Cumul de précipitations en été (mm)
#     NORRR_seas_DJF : Cumul de précipitations en hiver (mm)
#     NORRRq99_yr : Cumul de précipitations quotidiennes remarquables (percentile 99 du cumul  quotidien) (mm)
#     NORRx1d_yr : Intensité des précipitations extrêmes (max annuel des  précipitations totales) (mm)
#     NORRRq99refD_yr : Fréquence des précipitations quotidienne remarquables (jour(s))
#     NORSWI04_yr : Nombre de jours avec SWI < 0.4 (jour(s))
#     ATMm_yr : Ecart de température moyenne annuelle (°C)
#     ATMm_seas_JJA : Ecart de température moyenne en été (°C)
#     ATMm_seas_DJF : Ecart de température moyenne en hiver (°C)
#     ATXm_seas_JJA : Ecart de température maximale en été (°C)
#     ATX35D_yr : Ecart de nombre de jours avec tx >= 35°c (jour(s))
#     ATX30D_yr : Ecart de nombre de jours avec tx >= 30°c (jour(s))
#     ATR_yr : Ecart de nombre de nuits tropicales (jour(s))
#     ARRq99refD_yr : Ecart de fréquence des précipitations quotidienne remarquables (jour(s))
#     ASWI04_yr : Ecart de nombre de jours avec swi < 0.4 (jour(s))
#     ARRR_yr : Ecart relatif de cumul de précipitations annuelles
#     ARRR_seas_JJA : Ecart relatif de cumul de précipitations en été
#     ARRR_seas_DJF : Ecart relatif de cumul de précipitations en hiver
#     ARRRq99_yr : Ecart relatif de cumul de précipitations quotidiennes remarquables (percentile 99 du cumul  quotidien)
#     ARRx1d_yr : Ecart relatif de intensité des précipitations extrêmes (max annuel des  précipitations totales)
#-----------------------------------------------------------------------------
# Format des enregistrements 
# Point;Latitude;Longitude;Niveau;NORTMm_yr;NORTMm_seas_JJA;NORTMm_seas_DJF;NORTXm_seas_JJA;NORTX35D_yr;NORTX30D_yr;NORTR_yr;NORRR_yr;NORRR_seas_JJA;NORRR_seas_DJF;NORRRq99_yr;NORRx1d_yr;NORRRq99refD_yr;NORSWI04_yr;ATMm_yr;ATMm_seas_JJA;ATMm_seas_DJF;ATXm_seas_JJA;ATX35D_yr;ATX30D_yr;ATR_yr;ARRq99refD_yr;ASWI04_yr;ARRR_yr;ARRR_seas_JJA;ARRR_seas_DJF;ARRRq99_yr;ARRx1d_yr;
#-----------------------------------------------------------------------------
139;41.3373;9.1495;GWL30;19.09;27.07;12.2;31.52;15.8;78.6;94.3;742.54;58.37;206;32.04;85.92;4.8;197;3.27;3.72;3.09;3.51;13.4;49.1;61.6;1.2;23;0.01;-0.03;-0.08;0.13;0.22;
281;41.4149;9.0628;GWL30;19.09;27.07;12.19;31.52;15.8;78.5;94.3;742.87;58.4;206.1;32.06;85.93;4.8;197;3.27;3.72;3.09;3.52;13.4;49.2;61.7;1.2;23;0.01;-0.03;-0.08;0.13;0.22;
282;41.4087;9.1577;GWL30;18.76;26.84;11.78;31.26;15.1;72.4;90.9;768.04;60.21;213.48;33.17;87.14;4.9;207;3.28;3.77;3.03;3.64;13;46.4;60.6;1.3;21;0.01;-0.03;-0.08;0.13;0.22;
283;41.4025;9.2527;GWL30;19.06;27.05;12.15;31.49;15.8;77.9;93.8;745.24;58.58;206.75;32.22;86.05;4.9;218;3.27;3.72;3.08;3.53;13.4;48.9;61.4;1.3;24;0.01;-0.03;-0.08;0.14;0.22;
422;41.4985;8.8808;GWL30;18.99;26.94;12.06;31.24;13;70.4;109.7;751.89;55.51;214.25;33.46;75;4.3;202;3.25;3.65;3.03;3.3;11.1;42.1;77.6;0.7;15;0.05;-0.11;-0.02;0.17;0.54;
423;41.4925;8.9759;GWL30;18.71;26.79;11.73;31.24;15.9;67.6;103.3;747.74;57.36;210.61;32.94;74.51;4.9;202;3.19;3.69;2.94;3.53;13.9;41.3;73;1.3;17;0.02;-0.07;-0.07;0.14;0.52;
424;41.4864;9.071;GWL30;18.91;27.1;11.92;31.51;19.8;70.9;105.7;740.67;57.36;209.72;32.21;82.03;4.4;208;3.28;3.91;3.02;3.7;17.5;44.5;74.7;0.9;19;0;-0.06;-0.08;0.13;0.42;
425;41.4802;9.166;GWL30;18.51;26.85;11.4;31.22;18.4;67.6;102.7;773.58;59.88;218.87;33.72;83.59;4.3;200;3.32;4.03;2.98;3.89;16.3;43.8;73.6;0.8;17;0;-0.06;-0.08;0.12;0.41;
426;41.4739;9.261;GWL30;18.91;27.1;11.92;31.51;19.8;70.9;105.7;740.67;57.36;209.72;32.21;82.03;4.4;203;3.28;3.91;3.02;3.7;17.5;44.5;74.7;0.9;20;0;-0.06;-0.08;0.13;0.42;
564;41.5759;8.7935;GWL30;18.03;25.45;11.23;29.11;3.8;35.3;93.9;739.97;56.77;181.83;32.17;72.61;4.4;186;2.84;3.08;2.6;2.72;3.5;26.5;69.1;0.7;27;0.01;-0.11;-0.08;0.17;0.55;
565;41.57;8.8888;GWL30;17.78;25.47;10.78;29.09;3.5;38.7;93.8;773.69;59.22;189.65;33.58;74.32;4.4;185;2.96;3.38;2.58;3;3.2;28.5;70;0.7;26;0;-0.12;-0.08;0.16;0.53;
566;41.564;8.984;GWL30;17.55;25.46;10.58;29.6;9.6;51;84.7;765.05;55.24;194.5;35.32;63.55;4.6;176;3.01;3.58;2.72;3.72;9.2;38.4;60.3;0.8;23;-0.06;-0.22;-0.1;0.11;0.03;
