#-----------------------------------------------------------------------------
# Date d'extraction : 03/05/2026 - 22h16 loc.
#-----------------------------------------------------------------------------
# Producteur : MF_DCSC
# Experience : TRACC2023
# Modele     : RACMO22E_EC-EARTH
#-----------------------------------------------------------------------------
# Niveaux de réchauffement :
#     GWL15 : Niveau de réchauffement Monde 1.5 degrés -> 2030 / France +2°C
#-----------------------------------------------------------------------------
# Type d'indice : annuel
#-----------------------------------------------------------------------------
# Indices : 
#     NORTMm_yr : Température moyenne annuelle (°C)
#     NORTMm_seas_JJA : Température moyenne en été (°C)
#     NORTMm_seas_DJF : Température moyenne en hiver (°C)
#     NORTXm_seas_JJA : Température maximale en été (°C)
#     NORTX35D_yr : Nombre de jours avec Tx >= 35°C (jour(s))
#     NORTX30D_yr : Nombre de jours avec Tx >= 30°C (jour(s))
#     NORTR_yr : Nombre de nuits tropicales (jour(s))
#     NORRR_yr : Cumul de précipitations annuelles (mm)
#     NORRR_seas_JJA : Cumul de précipitations en été (mm)
#     NORRR_seas_DJF : Cumul de précipitations en hiver (mm)
#     NORRRq99_yr : Cumul de précipitations quotidiennes remarquables (percentile 99 du cumul  quotidien) (mm)
#     NORRx1d_yr : Intensité des précipitations extrêmes (max annuel des  précipitations totales) (mm)
#     NORRRq99refD_yr : Fréquence des précipitations quotidienne remarquables (jour(s))
#     NORIFM40_yr : Indicateur feux météo nombre de jours supérieurs à 40 (jour(s))
#     NORSWI04_yr : Nombre de jours avec SWI < 0.4 (jour(s))
#     ATMm_yr : Ecart de température moyenne annuelle (°C)
#     ATMm_seas_JJA : Ecart de température moyenne en été (°C)
#     ATMm_seas_DJF : Ecart de température moyenne en hiver (°C)
#     ATXm_seas_JJA : Ecart de température maximale en été (°C)
#     ATX35D_yr : Ecart de nombre de jours avec tx >= 35°c (jour(s))
#     ATX30D_yr : Ecart de nombre de jours avec tx >= 30°c (jour(s))
#     ATR_yr : Ecart de nombre de nuits tropicales (jour(s))
#     ARRq99refD_yr : Ecart de fréquence des précipitations quotidienne remarquables (jour(s))
#     AIFM40_yr : Ecart de indicateur feux météo nombre de jours supérieurs à 40 (jour(s))
#     ASWI04_yr : Ecart de nombre de jours avec swi < 0.4 (jour(s))
#     ARRR_yr : Ecart relatif de cumul de précipitations annuelles
#     ARRR_seas_JJA : Ecart relatif de cumul de précipitations en été
#     ARRR_seas_DJF : Ecart relatif de cumul de précipitations en hiver
#     ARRRq99_yr : Ecart relatif de cumul de précipitations quotidiennes remarquables (percentile 99 du cumul  quotidien)
#     ARRx1d_yr : Ecart relatif de intensité des précipitations extrêmes (max annuel des  précipitations totales)
#-----------------------------------------------------------------------------
# Format des enregistrements 
# Point;Latitude;Longitude;Niveau;NORTMm_yr;NORTMm_seas_JJA;NORTMm_seas_DJF;NORTXm_seas_JJA;NORTX35D_yr;NORTX30D_yr;NORTR_yr;NORRR_yr;NORRR_seas_JJA;NORRR_seas_DJF;NORRRq99_yr;NORRx1d_yr;NORRRq99refD_yr;NORIFM40_yr;NORSWI04_yr;ATMm_yr;ATMm_seas_JJA;ATMm_seas_DJF;ATXm_seas_JJA;ATX35D_yr;ATX30D_yr;ATR_yr;ARRq99refD_yr;AIFM40_yr;ASWI04_yr;ARRR_yr;ARRR_seas_JJA;ARRR_seas_DJF;ARRRq99_yr;ARRx1d_yr;
#-----------------------------------------------------------------------------
139;41.3373;9.1495;GWL15;17.05;24.29;10.72;28.73;2.7;39.3;57.2;745.33;64.35;208.76;31.66;57.87;4.6;37;180;1.19;0.92;1.49;0.73;0.4;9.9;23.7;1;-5;3;0.04;0.11;-0.09;0.07;0.11;
281;41.4149;9.0628;GWL15;17.05;24.29;10.71;28.73;2.7;39.2;57.2;745.7;64.38;208.86;31.67;57.88;4.6;36;180;1.19;0.92;1.49;0.73;0.4;9.8;23.7;1;-5;3;0.04;0.11;-0.09;0.07;0.11;
282;41.4087;9.1577;GWL15;16.71;24.03;10.33;28.38;2.2;34;55.1;772.06;66.7;215.98;32.81;59.13;4.7;32;194;1.19;0.93;1.47;0.76;0.2;7.9;23.1;1;-5;6;0.04;0.11;-0.09;0.07;0.11;
283;41.4025;9.2527;GWL15;17.01;24.26;10.68;28.7;2.6;39;57;748.22;64.61;209.52;31.75;58;4.6;36;203;1.19;0.92;1.49;0.74;0.3;9.8;23.7;1;-6;5;0.04;0.11;-0.09;0.07;0.11;
422;41.4985;8.8808;GWL15;16.9;24.11;10.57;28.58;2.1;37;55.4;753.69;58.9;215.86;32.18;56.92;5;35;190;1.12;0.81;1.45;0.68;0;8.8;22.1;1.2;-4;3;0.06;0.03;-0.04;0.12;0.11;
423;41.4925;8.9759;GWL15;16.67;23.94;10.32;28.35;2;34.1;54;771.15;60.22;220.81;32.88;57.83;5;32;192;1.12;0.82;1.43;0.7;0.2;7.8;21.8;1.5;-4;6;0.06;0.03;-0.04;0.11;0.11;
424;41.4864;9.071;GWL15;16.85;24.14;10.49;28.53;2.5;36.1;55.8;760.83;65.77;212.89;32.24;58.59;4.6;34;192;1.19;0.92;1.48;0.75;0.3;9;23.2;1;-6;7;0.04;0.11;-0.09;0.07;0.11;
425;41.4802;9.166;GWL15;16.42;23.81;9.98;28.08;2.2;32;53.1;796.69;68.93;222.61;33.79;60.28;4.6;28;183;1.19;0.96;1.45;0.79;0.2;7.5;22.5;1.1;-5;3;0.04;0.11;-0.09;0.07;0.1;
426;41.4739;9.261;GWL15;16.85;24.14;10.49;28.53;2.5;36.1;55.8;760.83;65.77;212.89;32.24;58.59;4.6;34;184;1.19;0.92;1.48;0.75;0.3;9;23.2;1;-6;3;0.04;0.11;-0.09;0.07;0.11;
564;41.5759;8.7935;GWL15;16.2;23.11;9.89;26.92;0.3;10.8;44;793.01;60.51;210.91;34.01;51.99;5.4;6;158;0.98;0.75;1.2;0.6;0.1;1.7;16.8;1.8;-3;3;0.08;0.02;0;0.17;0.08;
565;41.57;8.8888;GWL15;15.86;22.91;9.46;26.67;0.2;11.7;43.3;832.28;63.43;221.71;35.69;54.01;5.6;6;159;1.01;0.82;1.2;0.65;0;1.4;16.9;2;-4;4;0.08;0.02;0.01;0.17;0.08;
566;41.564;8.984;GWL15;15.61;22.76;9.15;26.54;0.4;15.4;42.1;863;65.78;229.59;36.95;55.52;5.6;7;146;1.05;0.88;1.22;0.72;0.1;2.8;16.4;1.9;-4;0;0.08;0.02;0;0.17;0.08;
567;41.5579;9.0791;GWL15;14.54;22.13;7.88;25.74;0.9;16.8;38.4;1100.52;95.73;311.95;43.66;71.38;4.7;5;114;1.12;0.97;1.3;0.81;-0.1;2.6;15.4;1;-4;3;0.03;0.04;-0.05;0.12;0.09;
568;41.5517;9.1743;GWL15;16.34;23.75;9.89;28;2.1;31.1;52.8;803.4;69.51;224.45;34.09;60.6;4.6;27;185;1.19;0.97;1.44;0.8;0.2;7.1;22.4;1.1;-5;4;0.04;0.11;-0.09;0.07;0.1;
569;41.5454;9.2694;GWL15;16.73;23.97;10.4;28.38;1.9;31.3;52.7;770.11;71.73;216.13;29.41;70.15;3.3;31;194;1.12;0.81;1.45;0.66;-0.2;4.8;20.9;-0.4;-7;4;0.02;0.16;-0.11;-0.03;0.09;
707;41.6474;8.8014;GWL15;16.21;23.1;9.9;26.94;0.3;10.9;42.5;777.43;58.98;216.8;32.42;50.24;5.3;6;169;0.95;0.7;1.16;0.59;0.2;2;15.4;1.7;-3;7;0.07;0.01;0.03;0.16;0.04;
708;41.6415;8.8967;GWL15;15.7;22.78;9.26;26.59;0.4;13.4;41.4;834.49;63.21;232.37;34.79;53.01;5.2;7;150;0.99;0.8;1.16;0.67;0.3;1.9;15.8;1.5;-3;2;0.07;0.01;0.03;0.16;0.04;
709;41.6355;8.992;GWL15;15.57;22.74;9.11;26.52;0.5;15.9;42;867.45;66.12;230.73;37.12;55.74;5.6;7;140;1.05;0.89;1.23;0.73;0.1;2.9;16.4;1.9;-4;0;0.08;0.02;0;0.17;0.08;
710;41.6294;9.0873;GWL15;14.74;22.31;8.08;26.01;0.9;18;39.1;1078.73;93.75;306.18;42.74;70.4;4.7;4;110;1.11;0.95;1.28;0.79;-0.1;2.9;15.4;1;-4;2;0.03;0.04;-0.05;0.12;0.09;
711;41.6232;9.1826;GWL15;14.68;22.26;8.02;25.93;1;17.5;38.9;1085.78;94.33;308.07;42.98;70.71;4.7;4;122;1.11;0.96;1.29;0.8;0;2.9;15.5;1;-4;-1;0.03;0.04;-0.05;0.12;0.09;
