#-----------------------------------------------------------------------------
# Date d'extraction : 03/05/2026 - 22h19 loc.
#-----------------------------------------------------------------------------
# Producteur : MF_DCSC
# Experience : TRACC2023
# Modele     : RACMO22E_EC-EARTH
#-----------------------------------------------------------------------------
# Niveaux de réchauffement :
#     GWL20 : Niveau de réchauffement Monde 2.0 degrés -> 2050 / France +2.7°C
#-----------------------------------------------------------------------------
# Type d'indice : annuel
#-----------------------------------------------------------------------------
# Indices : 
#     NORTMm_yr : Température moyenne annuelle (°C)
#     NORTMm_seas_JJA : Température moyenne en été (°C)
#     NORTMm_seas_DJF : Température moyenne en hiver (°C)
#     NORTXm_seas_JJA : Température maximale en été (°C)
#     NORTX35D_yr : Nombre de jours avec Tx >= 35°C (jour(s))
#     NORTX30D_yr : Nombre de jours avec Tx >= 30°C (jour(s))
#     NORTR_yr : Nombre de nuits tropicales (jour(s))
#     NORRR_yr : Cumul de précipitations annuelles (mm)
#     NORRR_seas_JJA : Cumul de précipitations en été (mm)
#     NORRR_seas_DJF : Cumul de précipitations en hiver (mm)
#     NORRRq99_yr : Cumul de précipitations quotidiennes remarquables (percentile 99 du cumul  quotidien) (mm)
#     NORRx1d_yr : Intensité des précipitations extrêmes (max annuel des  précipitations totales) (mm)
#     NORRRq99refD_yr : Fréquence des précipitations quotidienne remarquables (jour(s))
#     NORIFM40_yr : Indicateur feux météo nombre de jours supérieurs à 40 (jour(s))
#     NORSWI04_yr : Nombre de jours avec SWI < 0.4 (jour(s))
#     ATMm_yr : Ecart de température moyenne annuelle (°C)
#     ATMm_seas_JJA : Ecart de température moyenne en été (°C)
#     ATMm_seas_DJF : Ecart de température moyenne en hiver (°C)
#     ATXm_seas_JJA : Ecart de température maximale en été (°C)
#     ATX35D_yr : Ecart de nombre de jours avec tx >= 35°c (jour(s))
#     ATX30D_yr : Ecart de nombre de jours avec tx >= 30°c (jour(s))
#     ATR_yr : Ecart de nombre de nuits tropicales (jour(s))
#     ARRq99refD_yr : Ecart de fréquence des précipitations quotidienne remarquables (jour(s))
#     AIFM40_yr : Ecart de indicateur feux météo nombre de jours supérieurs à 40 (jour(s))
#     ASWI04_yr : Ecart de nombre de jours avec swi < 0.4 (jour(s))
#     ARRR_yr : Ecart relatif de cumul de précipitations annuelles
#     ARRR_seas_JJA : Ecart relatif de cumul de précipitations en été
#     ARRR_seas_DJF : Ecart relatif de cumul de précipitations en hiver
#     ARRRq99_yr : Ecart relatif de cumul de précipitations quotidiennes remarquables (percentile 99 du cumul  quotidien)
#     ARRx1d_yr : Ecart relatif de intensité des précipitations extrêmes (max annuel des  précipitations totales)
#-----------------------------------------------------------------------------
# Format des enregistrements 
# Point;Latitude;Longitude;Niveau;NORTMm_yr;NORTMm_seas_JJA;NORTMm_seas_DJF;NORTXm_seas_JJA;NORTX35D_yr;NORTX30D_yr;NORTR_yr;NORRR_yr;NORRR_seas_JJA;NORRR_seas_DJF;NORRRq99_yr;NORRx1d_yr;NORRRq99refD_yr;NORIFM40_yr;NORSWI04_yr;ATMm_yr;ATMm_seas_JJA;ATMm_seas_DJF;ATXm_seas_JJA;ATX35D_yr;ATX30D_yr;ATR_yr;ARRq99refD_yr;AIFM40_yr;ASWI04_yr;ARRR_yr;ARRR_seas_JJA;ARRR_seas_DJF;ARRRq99_yr;ARRx1d_yr;
#-----------------------------------------------------------------------------
139;41.3373;9.1495;GWL20;18.1;25.53;11.52;29.91;6.8;52.2;78.6;702.19;58.09;206.96;28.63;65.77;4.2;44;183;2.24;2.16;2.3;1.91;4.6;22.7;45.1;0.7;2;5;-0.02;0;-0.09;-0.03;0.26;
281;41.4149;9.0628;GWL20;18.09;25.53;11.52;29.91;6.8;52;78.6;702.52;58.11;207.06;28.66;65.78;4.2;44;183;2.24;2.16;2.3;1.91;4.6;22.5;45.1;0.7;2;5;-0.02;0;-0.09;-0.03;0.26;
282;41.4087;9.1577;GWL20;17.76;25.29;11.11;29.6;6.2;47;76.5;727.15;60.11;214.32;29.47;67.1;4.2;39;198;2.24;2.19;2.25;1.98;4.1;20.9;44.5;0.5;2;10;-0.02;0;-0.09;-0.04;0.25;
283;41.4025;9.2527;GWL20;18.06;25.5;11.48;29.88;6.7;51.5;78.2;704.89;58.3;207.75;28.79;65.91;4.2;44;207;2.24;2.16;2.29;1.92;4.4;22.3;45;0.6;2;10;-0.02;0;-0.09;-0.03;0.26;
422;41.4985;8.8808;GWL20;17.92;25.24;11.38;29.66;5.2;49.8;75.1;722.92;56.12;211.62;30.37;59.54;4.3;40;196;2.15;1.94;2.26;1.76;3.1;21.6;41.7;0.6;0;10;0.02;-0.02;-0.06;0.05;0.16;
423;41.4925;8.9759;GWL20;17.69;25.08;11.11;29.45;4.9;46;73.7;739.81;57.33;216.58;31.18;60.47;4.3;36;197;2.14;1.97;2.23;1.8;3.1;19.8;41.5;0.8;0;11;0.02;-0.02;-0.06;0.05;0.16;
424;41.4864;9.071;GWL20;17.9;25.38;11.28;29.73;6.6;48.5;77.1;716.6;59.3;211.08;29.12;66.54;4.2;41;196;2.23;2.17;2.27;1.95;4.4;21.5;44.4;0.7;2;10;-0.02;0;-0.09;-0.04;0.26;
425;41.4802;9.166;GWL20;17.48;25.09;10.75;29.35;5.9;44.6;74.4;750.24;62.02;221.11;30.53;68.31;4.2;35;186;2.25;2.25;2.21;2.06;4;20.1;43.8;0.7;2;5;-0.02;0;-0.09;-0.04;0.25;
426;41.4739;9.261;GWL20;17.9;25.38;11.28;29.73;6.6;48.5;77.1;716.6;59.3;211.08;29.12;66.54;4.2;41;189;2.23;2.17;2.27;1.95;4.4;21.5;44.4;0.7;2;9;-0.02;0;-0.09;-0.04;0.26;
564;41.5759;8.7935;GWL20;17.08;24.05;10.59;27.78;1.1;18.4;62.8;761.87;57.61;207.22;30.95;56.57;4.6;8;174;1.86;1.68;1.89;1.46;0.9;9.4;35.6;1;-1;19;0.04;-0.03;-0.01;0.06;0.17;
565;41.57;8.8888;GWL20;16.78;23.94;10.15;27.62;0.9;20.8;62.2;799.83;60.38;218.02;32.53;58.6;4.7;9;173;1.93;1.84;1.89;1.6;0.7;10.4;35.7;1.1;-1;18;0.04;-0.03;-0.01;0.06;0.17;
566;41.564;8.984;GWL20;16.58;23.89;9.84;27.6;1.3;24.7;61.8;829.17;62.64;225.82;33.66;60.14;4.6;10;163;2.01;2.01;1.92;1.78;1;12;36.1;0.9;0;18;0.04;-0.03;-0.01;0.06;0.17;
