#-----------------------------------------------------------------------------
# Date d'extraction : 03/05/2026 - 22h23 loc.
#-----------------------------------------------------------------------------
# Producteur : MF_DCSC
# Experience : TRACC2023
# Modele     : RCA4_IPSL-CM5A
#-----------------------------------------------------------------------------
# Niveaux de réchauffement :
#     GWL20 : Niveau de réchauffement Monde 2.0 degrés -> 2050 / France +2.7°C
#-----------------------------------------------------------------------------
# Type d'indice : annuel
#-----------------------------------------------------------------------------
# Indices : 
#     NORTMm_yr : Température moyenne annuelle (°C)
#     NORTMm_seas_JJA : Température moyenne en été (°C)
#     NORTMm_seas_DJF : Température moyenne en hiver (°C)
#     NORTXm_seas_JJA : Température maximale en été (°C)
#     NORTX35D_yr : Nombre de jours avec Tx >= 35°C (jour(s))
#     NORTX30D_yr : Nombre de jours avec Tx >= 30°C (jour(s))
#     NORTR_yr : Nombre de nuits tropicales (jour(s))
#     NORRR_yr : Cumul de précipitations annuelles (mm)
#     NORRR_seas_JJA : Cumul de précipitations en été (mm)
#     NORRR_seas_DJF : Cumul de précipitations en hiver (mm)
#     NORRRq99_yr : Cumul de précipitations quotidiennes remarquables (percentile 99 du cumul  quotidien) (mm)
#     NORRx1d_yr : Intensité des précipitations extrêmes (max annuel des  précipitations totales) (mm)
#     NORRRq99refD_yr : Fréquence des précipitations quotidienne remarquables (jour(s))
#     NORIFM40_yr : Indicateur feux météo nombre de jours supérieurs à 40 (jour(s))
#     NORSWI04_yr : Nombre de jours avec SWI < 0.4 (jour(s))
#     ATMm_yr : Ecart de température moyenne annuelle (°C)
#     ATMm_seas_JJA : Ecart de température moyenne en été (°C)
#     ATMm_seas_DJF : Ecart de température moyenne en hiver (°C)
#     ATXm_seas_JJA : Ecart de température maximale en été (°C)
#     ATX35D_yr : Ecart de nombre de jours avec tx >= 35°c (jour(s))
#     ATX30D_yr : Ecart de nombre de jours avec tx >= 30°c (jour(s))
#     ATR_yr : Ecart de nombre de nuits tropicales (jour(s))
#     ARRq99refD_yr : Ecart de fréquence des précipitations quotidienne remarquables (jour(s))
#     AIFM40_yr : Ecart de indicateur feux météo nombre de jours supérieurs à 40 (jour(s))
#     ASWI04_yr : Ecart de nombre de jours avec swi < 0.4 (jour(s))
#     ARRR_yr : Ecart relatif de cumul de précipitations annuelles
#     ARRR_seas_JJA : Ecart relatif de cumul de précipitations en été
#     ARRR_seas_DJF : Ecart relatif de cumul de précipitations en hiver
#     ARRRq99_yr : Ecart relatif de cumul de précipitations quotidiennes remarquables (percentile 99 du cumul  quotidien)
#     ARRx1d_yr : Ecart relatif de intensité des précipitations extrêmes (max annuel des  précipitations totales)
#-----------------------------------------------------------------------------
# Format des enregistrements 
# Point;Latitude;Longitude;Niveau;NORTMm_yr;NORTMm_seas_JJA;NORTMm_seas_DJF;NORTXm_seas_JJA;NORTX35D_yr;NORTX30D_yr;NORTR_yr;NORRR_yr;NORRR_seas_JJA;NORRR_seas_DJF;NORRRq99_yr;NORRx1d_yr;NORRRq99refD_yr;NORIFM40_yr;NORSWI04_yr;ATMm_yr;ATMm_seas_JJA;ATMm_seas_DJF;ATXm_seas_JJA;ATX35D_yr;ATX30D_yr;ATR_yr;ARRq99refD_yr;AIFM40_yr;ASWI04_yr;ARRR_yr;ARRR_seas_JJA;ARRR_seas_DJF;ARRRq99_yr;ARRx1d_yr;
#-----------------------------------------------------------------------------
139;41.3373;9.1495;GWL20;18.18;26.36;11.41;30.93;14.4;67.4;80.6;637.07;45.92;244.21;29.55;54.34;4.5;58;216;2.3;2.98;2.2;2.9;12.2;37.9;46;0.9;18;38;-0.07;-0.19;0.11;0.08;0.11;
281;41.4149;9.0628;GWL20;18.17;26.36;11.4;30.92;14.4;67.3;80.6;637.33;45.86;244.43;29.56;54.36;4.5;58;216;2.3;2.98;2.2;2.9;12.2;37.8;46;0.9;18;38;-0.07;-0.19;0.11;0.08;0.11;
282;41.4087;9.1577;GWL20;17.85;26.12;11.01;30.65;12.9;62.5;78.6;660.51;47.43;252.95;30.57;55.67;4.3;52;225;2.3;3.03;2.17;3;11;36.8;45.6;0.7;18;35;-0.07;-0.19;0.1;0.07;0.11;
283;41.4025;9.2527;GWL20;18.14;26.34;11.36;30.9;14.4;66.8;80.6;639.45;45.99;245.17;29.66;54.48;4.5;58;230;2.3;2.99;2.2;2.91;12.2;37.5;46.1;0.9;18;31;-0.07;-0.19;0.11;0.07;0.11;
422;41.4985;8.8808;GWL20;18.04;26.09;11.33;30.62;12.4;66.3;81.4;651.74;46.38;245.94;30.32;57.58;4.3;58;218;2.24;2.79;2.21;2.7;10.1;38.1;48;0.6;18;29;-0.07;-0.26;0.11;0.1;0.11;
423;41.4925;8.9759;GWL20;17.82;25.93;11.07;30.43;11.3;62.2;79.7;667.11;47.31;251.91;30.9;58.43;4.3;54;216;2.24;2.82;2.19;2.76;9.1;36.4;47.2;0.6;18;27;-0.07;-0.26;0.11;0.1;0.11;
424;41.4864;9.071;GWL20;17.98;26.21;11.17;30.76;13.8;64.1;79.2;650.51;46.88;249.28;30.15;55.11;4.6;54;225;2.3;3;2.18;2.95;11.8;37.3;45.8;0.9;18;36;-0.07;-0.19;0.11;0.07;0.11;
425;41.4802;9.166;GWL20;17.57;25.93;10.66;30.41;12.3;60;76.4;681.87;49.17;260.85;31.64;56.89;4.4;47;218;2.33;3.1;2.15;3.11;10.3;35.5;45.1;0.8;17;37;-0.07;-0.18;0.1;0.07;0.11;
426;41.4739;9.261;GWL20;17.98;26.21;11.17;30.76;13.8;64.1;79.2;650.51;46.87;249.22;30.15;55.11;4.6;54;222;2.3;3;2.18;2.95;11.8;37.3;45.8;0.9;18;40;-0.07;-0.19;0.1;0.07;0.11;
564;41.5759;8.7935;GWL20;17.17;24.69;10.6;28.52;2.2;32.3;69.8;685.21;47.99;253.81;30.12;52.68;4.3;13;193;1.93;2.34;1.94;2.18;1.9;23.4;42.8;0.7;6;39;-0.07;-0.26;0.2;0.11;0.05;
565;41.57;8.8888;GWL20;16.88;24.65;10.15;28.42;2;35.7;69.7;717.95;49.98;265.84;31.59;54.42;4.4;14;191;2.01;2.57;1.92;2.4;1.8;25.5;43.8;0.8;6;36;-0.07;-0.26;0.2;0.1;0.05;
566;41.564;8.984;GWL20;16.7;24.69;9.83;28.51;2.8;40.3;69.5;744.29;51.61;275.45;32.69;55.81;4.3;16;183;2.13;2.84;1.94;2.67;2.4;27.9;44.6;0.8;8;40;-0.07;-0.27;0.2;0.1;0.05;
