#-----------------------------------------------------------------------------
# Date d'extraction : 03/05/2026 - 22h39 loc.
#-----------------------------------------------------------------------------
# Producteur : MF_DCSC
# Experience : TRACC2023
# Modele     : REMO2009_MPI-ESM
#-----------------------------------------------------------------------------
# Niveaux de réchauffement :
#     GWL15 : Niveau de réchauffement Monde 1.5 degrés -> 2030 / France +2°C
#-----------------------------------------------------------------------------
# Type d'indice : annuel
#-----------------------------------------------------------------------------
# Indices : 
#     NORTMm_yr : Température moyenne annuelle (°C)
#     NORTMm_seas_JJA : Température moyenne en été (°C)
#     NORTMm_seas_DJF : Température moyenne en hiver (°C)
#     NORTXm_seas_JJA : Température maximale en été (°C)
#     NORTX35D_yr : Nombre de jours avec Tx >= 35°C (jour(s))
#     NORTX30D_yr : Nombre de jours avec Tx >= 30°C (jour(s))
#     NORTR_yr : Nombre de nuits tropicales (jour(s))
#     NORRR_yr : Cumul de précipitations annuelles (mm)
#     NORRR_seas_JJA : Cumul de précipitations en été (mm)
#     NORRR_seas_DJF : Cumul de précipitations en hiver (mm)
#     NORRRq99_yr : Cumul de précipitations quotidiennes remarquables (percentile 99 du cumul  quotidien) (mm)
#     NORRx1d_yr : Intensité des précipitations extrêmes (max annuel des  précipitations totales) (mm)
#     NORRRq99refD_yr : Fréquence des précipitations quotidienne remarquables (jour(s))
#     NORIFM40_yr : Indicateur feux météo nombre de jours supérieurs à 40 (jour(s))
#     NORSWI04_yr : Nombre de jours avec SWI < 0.4 (jour(s))
#     ATMm_yr : Ecart de température moyenne annuelle (°C)
#     ATMm_seas_JJA : Ecart de température moyenne en été (°C)
#     ATMm_seas_DJF : Ecart de température moyenne en hiver (°C)
#     ATXm_seas_JJA : Ecart de température maximale en été (°C)
#     ATX35D_yr : Ecart de nombre de jours avec tx >= 35°c (jour(s))
#     ATX30D_yr : Ecart de nombre de jours avec tx >= 30°c (jour(s))
#     ATR_yr : Ecart de nombre de nuits tropicales (jour(s))
#     ARRq99refD_yr : Ecart de fréquence des précipitations quotidienne remarquables (jour(s))
#     AIFM40_yr : Ecart de indicateur feux météo nombre de jours supérieurs à 40 (jour(s))
#     ASWI04_yr : Ecart de nombre de jours avec swi < 0.4 (jour(s))
#     ARRR_yr : Ecart relatif de cumul de précipitations annuelles
#     ARRR_seas_JJA : Ecart relatif de cumul de précipitations en été
#     ARRR_seas_DJF : Ecart relatif de cumul de précipitations en hiver
#     ARRRq99_yr : Ecart relatif de cumul de précipitations quotidiennes remarquables (percentile 99 du cumul  quotidien)
#     ARRx1d_yr : Ecart relatif de intensité des précipitations extrêmes (max annuel des  précipitations totales)
#-----------------------------------------------------------------------------
# Format des enregistrements 
# Point;Latitude;Longitude;Niveau;NORTMm_yr;NORTMm_seas_JJA;NORTMm_seas_DJF;NORTXm_seas_JJA;NORTX35D_yr;NORTX30D_yr;NORTR_yr;NORRR_yr;NORRR_seas_JJA;NORRR_seas_DJF;NORRRq99_yr;NORRx1d_yr;NORRRq99refD_yr;NORIFM40_yr;NORSWI04_yr;ATMm_yr;ATMm_seas_JJA;ATMm_seas_DJF;ATXm_seas_JJA;ATX35D_yr;ATX30D_yr;ATR_yr;ARRq99refD_yr;AIFM40_yr;ASWI04_yr;ARRR_yr;ARRR_seas_JJA;ARRR_seas_DJF;ARRRq99_yr;ARRx1d_yr;
#-----------------------------------------------------------------------------
139;41.3373;9.1495;GWL15;17.6;25.75;10.65;30.24;14.9;55;78.9;648.1;54.43;214.32;24.92;54.6;3.3;44;179;1.75;2.41;1.35;2.27;12.8;26.9;46.1;-0.5;9;6;-0.09;-0.07;-0.08;-0.1;-0.1;
281;41.4149;9.0628;GWL15;17.6;25.75;10.65;30.24;14.8;54.8;78.9;648.47;54.45;214.48;24.93;54.61;3.2;44;179;1.75;2.41;1.35;2.27;12.7;26.7;46.2;-0.5;9;6;-0.09;-0.07;-0.08;-0.1;-0.1;
282;41.4087;9.1577;GWL15;17.26;25.51;10.26;29.93;13.8;50;77.2;672.37;56.58;222.24;25.81;55.84;3;40;189;1.75;2.45;1.32;2.34;11.8;25.6;45.9;-0.6;10;4;-0.09;-0.07;-0.08;-0.1;-0.1;
283;41.4025;9.2527;GWL15;17.6;25.65;10.69;30.16;12.5;56.5;77.8;690.39;68.62;228.32;30.47;63.01;3.8;42;223;1.79;2.34;1.41;2.23;10.2;28.8;44.3;0.1;6;26;-0.04;0.22;0;0.12;0.08;
422;41.4985;8.8808;GWL15;17.6;25.82;10.62;30.38;15.6;57;75.2;689.3;50;228.72;27.76;60.17;3.3;47;184;1.81;2.52;1.4;2.46;13.4;29.6;42.4;-0.3;11;-7;-0.06;-0.23;-0.06;-0.03;-0.01;
423;41.4925;8.9759;GWL15;17.37;25.66;10.36;30.18;14.8;53.8;74;705.67;51.11;234.24;28.49;60.98;3.3;44;184;1.81;2.54;1.39;2.52;12.8;29.1;42;-0.2;12;-9;-0.06;-0.22;-0.06;-0.03;-0.01;
424;41.4864;9.071;GWL15;17.4;25.6;10.42;30.06;14.4;51.5;78.2;662.18;55.71;218.92;25.42;55.32;3.1;41;188;1.75;2.42;1.33;2.31;12.4;25.7;46.2;-0.6;10;5;-0.09;-0.07;-0.08;-0.1;-0.1;
425;41.4802;9.166;GWL15;16.98;25.31;9.91;29.67;13.1;48;75.6;694.2;58.56;229.3;26.71;56.97;3.2;36;180;1.77;2.5;1.31;2.42;11.3;25.5;45.8;-0.5;10;5;-0.09;-0.06;-0.08;-0.1;-0.09;
426;41.4739;9.261;GWL15;17.43;25.52;10.5;30.01;11.9;53.8;77.1;702.18;69.79;232.31;31.08;63.58;3.8;39;203;1.78;2.35;1.4;2.27;9.7;28.1;44.5;0;6;24;-0.04;0.22;0;0.13;0.08;
564;41.5759;8.7935;GWL15;16.78;24.49;9.91;28.33;3.2;31.7;65.9;724.89;51.74;219.21;28.2;58.42;3.1;14;160;1.55;2.13;1.13;1.99;2.9;22.8;40.1;-0.5;5;-4;-0.05;-0.23;-0.04;0.02;-0.03;
565;41.57;8.8888;GWL15;16.47;24.4;9.48;28.17;2.8;33.3;65.9;759.38;54.11;228.9;29.6;60.14;3.3;14;161;1.61;2.32;1.14;2.15;2.6;23.3;41.4;-0.3;6;-4;-0.05;-0.22;-0.04;0.02;-0.03;
566;41.564;8.984;GWL15;16.27;24.41;9.17;28.23;4.8;36.4;65.6;787.31;56.08;237.04;30.61;61.51;3.3;15;152;1.7;2.55;1.16;2.4;4.4;24.2;42;-0.2;7;-2;-0.05;-0.22;-0.04;0.02;-0.02;
