#-----------------------------------------------------------------------------
# Date d'extraction : 03/05/2026 - 22h39 loc.
#-----------------------------------------------------------------------------
# Producteur : MF_DCSC
# Experience : TRACC2023
# Modele     : REMO2009_MPI-ESM
#-----------------------------------------------------------------------------
# Niveaux de réchauffement :
#     GWL20 : Niveau de réchauffement Monde 2.0 degrés -> 2050 / France +2.7°C
#-----------------------------------------------------------------------------
# Type d'indice : annuel
#-----------------------------------------------------------------------------
# Indices : 
#     NORTMm_yr : Température moyenne annuelle (°C)
#     NORTMm_seas_JJA : Température moyenne en été (°C)
#     NORTMm_seas_DJF : Température moyenne en hiver (°C)
#     NORTXm_seas_JJA : Température maximale en été (°C)
#     NORTX35D_yr : Nombre de jours avec Tx >= 35°C (jour(s))
#     NORTX30D_yr : Nombre de jours avec Tx >= 30°C (jour(s))
#     NORTR_yr : Nombre de nuits tropicales (jour(s))
#     NORRR_yr : Cumul de précipitations annuelles (mm)
#     NORRR_seas_JJA : Cumul de précipitations en été (mm)
#     NORRR_seas_DJF : Cumul de précipitations en hiver (mm)
#     NORRRq99_yr : Cumul de précipitations quotidiennes remarquables (percentile 99 du cumul  quotidien) (mm)
#     NORRx1d_yr : Intensité des précipitations extrêmes (max annuel des  précipitations totales) (mm)
#     NORRRq99refD_yr : Fréquence des précipitations quotidienne remarquables (jour(s))
#     NORIFM40_yr : Indicateur feux météo nombre de jours supérieurs à 40 (jour(s))
#     NORSWI04_yr : Nombre de jours avec SWI < 0.4 (jour(s))
#     ATMm_yr : Ecart de température moyenne annuelle (°C)
#     ATMm_seas_JJA : Ecart de température moyenne en été (°C)
#     ATMm_seas_DJF : Ecart de température moyenne en hiver (°C)
#     ATXm_seas_JJA : Ecart de température maximale en été (°C)
#     ATX35D_yr : Ecart de nombre de jours avec tx >= 35°c (jour(s))
#     ATX30D_yr : Ecart de nombre de jours avec tx >= 30°c (jour(s))
#     ATR_yr : Ecart de nombre de nuits tropicales (jour(s))
#     ARRq99refD_yr : Ecart de fréquence des précipitations quotidienne remarquables (jour(s))
#     AIFM40_yr : Ecart de indicateur feux météo nombre de jours supérieurs à 40 (jour(s))
#     ASWI04_yr : Ecart de nombre de jours avec swi < 0.4 (jour(s))
#     ARRR_yr : Ecart relatif de cumul de précipitations annuelles
#     ARRR_seas_JJA : Ecart relatif de cumul de précipitations en été
#     ARRR_seas_DJF : Ecart relatif de cumul de précipitations en hiver
#     ARRRq99_yr : Ecart relatif de cumul de précipitations quotidiennes remarquables (percentile 99 du cumul  quotidien)
#     ARRx1d_yr : Ecart relatif de intensité des précipitations extrêmes (max annuel des  précipitations totales)
#-----------------------------------------------------------------------------
# Format des enregistrements 
# Point;Latitude;Longitude;Niveau;NORTMm_yr;NORTMm_seas_JJA;NORTMm_seas_DJF;NORTXm_seas_JJA;NORTX35D_yr;NORTX30D_yr;NORTR_yr;NORRR_yr;NORRR_seas_JJA;NORRR_seas_DJF;NORRRq99_yr;NORRx1d_yr;NORRRq99refD_yr;NORIFM40_yr;NORSWI04_yr;ATMm_yr;ATMm_seas_JJA;ATMm_seas_DJF;ATXm_seas_JJA;ATX35D_yr;ATX30D_yr;ATR_yr;ARRq99refD_yr;AIFM40_yr;ASWI04_yr;ARRR_yr;ARRR_seas_JJA;ARRR_seas_DJF;ARRRq99_yr;ARRx1d_yr;
#-----------------------------------------------------------------------------
139;41.3373;9.1495;GWL20;18.28;26.14;11.9;30.48;16.2;61.2;90.2;735.01;72.77;202.12;29.35;60.78;4.3;40;169;2.43;2.8;2.59;2.5;14.1;33.1;57.4;0.5;6;-4;0.03;0.24;-0.13;0.06;0.01;
281;41.4149;9.0628;GWL20;18.28;26.14;11.89;30.47;16.2;61.1;90.2;735.43;72.8;202.27;29.36;60.8;4.2;40;169;2.43;2.8;2.59;2.5;14.1;33;57.5;0.5;6;-4;0.03;0.24;-0.13;0.06;0.01;
282;41.4087;9.1577;GWL20;17.94;25.89;11.47;30.17;15.4;56.5;87.8;761.4;75.4;209.56;30.39;62.05;4.2;35;179;2.43;2.83;2.54;2.57;13.4;32.1;56.5;0.5;6;-6;0.03;0.25;-0.13;0.06;0.01;
283;41.4025;9.2527;GWL20;18.32;26.1;11.87;30.46;16;62.1;89.1;717.42;88.39;224.14;28.86;66.16;3.8;40;220;2.5;2.8;2.59;2.54;13.7;34.3;55.6;0.1;4;23;0;0.57;-0.02;0.06;0.14;
422;41.4985;8.8808;GWL20;18.35;26.35;11.92;30.8;18.1;64.3;88.6;809.86;59.25;240.29;35.45;82.64;4.7;45;186;2.57;3.05;2.7;2.89;15.9;36.9;55.8;1;10;-5;0.11;-0.08;-0.01;0.24;0.36;
423;41.4925;8.9759;GWL20;18.12;26.18;11.63;30.61;17.5;61.5;86.7;827.88;60.67;245.96;36.22;83.48;4.4;42;187;2.56;3.07;2.66;2.94;15.5;36.8;54.7;0.9;10;-6;0.11;-0.08;-0.01;0.24;0.35;
424;41.4864;9.071;GWL20;18.08;25.98;11.65;30.29;15.6;57.8;88.6;750.37;74.35;206.48;29.98;61.52;4.2;37;178;2.42;2.81;2.56;2.54;13.5;32;56.6;0.5;5;-4;0.03;0.24;-0.13;0.06;0.01;
425;41.4802;9.166;GWL20;17.66;25.69;11.1;29.91;14.6;54.4;86.8;785.29;77.86;216.26;31.45;63.21;4.4;31;171;2.45;2.89;2.5;2.66;12.9;31.9;57;0.7;6;-4;0.02;0.25;-0.13;0.06;0;
426;41.4739;9.261;GWL20;18.15;25.97;11.67;30.31;15.2;59.3;88.1;729.62;89.84;228;29.34;66.73;3.8;38;200;2.5;2.8;2.56;2.57;13;33.6;55.5;0.1;4;21;0;0.57;-0.02;0.06;0.13;
564;41.5759;8.7935;GWL20;17.43;24.96;10.97;28.73;6.7;36.5;75.2;852.37;61.54;242.51;35.54;80.32;4.9;14;164;2.2;2.6;2.19;2.4;6.4;27.6;49.3;1.3;6;-1;0.12;-0.08;0.06;0.28;0.34;
565;41.57;8.8888;GWL20;17.14;24.89;10.52;28.59;6.2;38.3;75.1;890.77;64.49;253.48;37.07;82.07;4.9;14;165;2.28;2.81;2.17;2.57;5.9;28.3;50.6;1.3;6;0;0.12;-0.07;0.06;0.27;0.33;
566;41.564;8.984;GWL20;16.96;24.93;10.22;28.66;7.4;42.2;75.5;921.74;66.93;262.54;38.18;83.46;4.9;15;157;2.39;3.06;2.2;2.84;7;30;51.9;1.3;7;3;0.12;-0.07;0.07;0.27;0.32;
567;41.5579;9.0791;GWL20;15.87;24.33;8.81;27.91;10.6;38.8;69.8;1103.25;103.23;356.5;42.88;80.14;4.4;14;131;2.48;3.21;2.18;3.02;9.5;25.9;47.4;0.9;7;17;0.03;0.12;0.04;0.18;0.1;
568;41.5517;9.1743;GWL20;17.58;25.64;11;29.85;14.6;53.2;86.2;791.89;78.53;218.14;31.64;63.53;4.4;30;172;2.45;2.91;2.49;2.69;12.9;31.5;56.6;0.8;6;-6;0.02;0.25;-0.13;0.06;0;
569;41.5454;9.2694;GWL20;18.09;25.94;11.6;30.27;14.6;58.8;87.7;733.64;90.28;229.3;29.49;66.92;3.8;37;205;2.49;2.81;2.56;2.59;12.4;33.4;55.4;0.2;4;18;0;0.57;-0.02;0.06;0.13;
707;41.6474;8.8014;GWL20;17.36;24.82;10.98;28.61;6;35.5;71.6;849.63;63.67;246.47;37.96;81.76;4.7;14;170;2.09;2.43;2.16;2.24;5.8;26.6;45.6;1;5;-3;0.1;-0.09;0.05;0.31;0.23;
708;41.6415;8.8967;GWL20;16.94;24.73;10.33;28.47;6.2;38.8;70.9;907.39;68.25;263.28;40.14;84.3;4.7;15;159;2.22;2.76;2.15;2.55;5.9;27.7;46.4;1;6;-1;0.1;-0.08;0.05;0.3;0.22;
709;41.6355;8.992;GWL20;16.94;24.93;10.17;28.67;7.7;43.5;75.7;926.16;67.27;263.84;38.36;83.66;4.9;16;154;2.41;3.1;2.21;2.87;7.2;30.8;52.3;1.3;7;2;0.12;-0.07;0.06;0.27;0.32;
710;41.6294;9.0873;GWL20;16.05;24.46;9.02;28.11;10.4;40.5;70.7;1080.55;101.08;349.73;41.9;79.21;4.4;13;128;2.44;3.13;2.16;2.94;9.4;26.7;47.8;0.8;6;17;0.03;0.12;0.04;0.18;0.1;
711;41.6232;9.1826;GWL20;16;24.42;8.96;28.05;10.4;40;70.1;1088.19;101.7;352.05;42.33;79.5;4.4;13;141;2.45;3.16;2.17;2.96;9.4;26.6;47.4;0.9;6;13;0.03;0.12;0.04;0.18;0.1;
712;41.6169;9.2779;GWL20;17.9;25.73;11.36;29.91;7.6;55.8;88.7;796.09;80.49;239.08;32.67;70.01;3.7;10;178;2.18;2.43;2.26;2.28;6.8;32.4;48.7;0.1;2;6;-0.04;0.47;-0.1;-0.05;-0.04;
849;41.7248;8.7138;GWL20;17.39;24.84;11.02;28.64;6.1;35.8;71.5;846.71;63.43;245.62;37.9;81.63;4.7;14;168;2.08;2.42;2.16;2.24;5.8;26.9;45.5;1;5;-2;0.1;-0.09;0.04;0.32;0.23;
850;41.719;8.8093;GWL20;17.37;24.83;11;28.62;5.9;35.5;71.5;848.53;63.59;246.15;37.94;81.71;4.7;14;171;2.09;2.43;2.16;2.24;5.7;26.5;45.5;1;5;-4;0.1;-0.09;0.05;0.31;0.23;
