#-----------------------------------------------------------------------------
# Date d'extraction : 03/05/2026 - 22h25 loc.
#-----------------------------------------------------------------------------
# Producteur : MF_DCSC
# Experience : TRACC2023
# Modele     : REMO2015_NorESM1
#-----------------------------------------------------------------------------
# Niveaux de réchauffement :
#     GWL15 : Niveau de réchauffement Monde 1.5 degrés -> 2030 / France +2°C
#-----------------------------------------------------------------------------
# Type d'indice : annuel
#-----------------------------------------------------------------------------
# Indices : 
#     NORTMm_yr : Température moyenne annuelle (°C)
#     NORTMm_seas_JJA : Température moyenne en été (°C)
#     NORTMm_seas_DJF : Température moyenne en hiver (°C)
#     NORTXm_seas_JJA : Température maximale en été (°C)
#     NORTX35D_yr : Nombre de jours avec Tx >= 35°C (jour(s))
#     NORTX30D_yr : Nombre de jours avec Tx >= 30°C (jour(s))
#     NORTR_yr : Nombre de nuits tropicales (jour(s))
#     NORRR_yr : Cumul de précipitations annuelles (mm)
#     NORRR_seas_JJA : Cumul de précipitations en été (mm)
#     NORRR_seas_DJF : Cumul de précipitations en hiver (mm)
#     NORRRq99_yr : Cumul de précipitations quotidiennes remarquables (percentile 99 du cumul  quotidien) (mm)
#     NORRx1d_yr : Intensité des précipitations extrêmes (max annuel des  précipitations totales) (mm)
#     NORRRq99refD_yr : Fréquence des précipitations quotidienne remarquables (jour(s))
#     NORIFM40_yr : Indicateur feux météo nombre de jours supérieurs à 40 (jour(s))
#     NORSWI04_yr : Nombre de jours avec SWI < 0.4 (jour(s))
#     ATMm_yr : Ecart de température moyenne annuelle (°C)
#     ATMm_seas_JJA : Ecart de température moyenne en été (°C)
#     ATMm_seas_DJF : Ecart de température moyenne en hiver (°C)
#     ATXm_seas_JJA : Ecart de température maximale en été (°C)
#     ATX35D_yr : Ecart de nombre de jours avec tx >= 35°c (jour(s))
#     ATX30D_yr : Ecart de nombre de jours avec tx >= 30°c (jour(s))
#     ATR_yr : Ecart de nombre de nuits tropicales (jour(s))
#     ARRq99refD_yr : Ecart de fréquence des précipitations quotidienne remarquables (jour(s))
#     AIFM40_yr : Ecart de indicateur feux météo nombre de jours supérieurs à 40 (jour(s))
#     ASWI04_yr : Ecart de nombre de jours avec swi < 0.4 (jour(s))
#     ARRR_yr : Ecart relatif de cumul de précipitations annuelles
#     ARRR_seas_JJA : Ecart relatif de cumul de précipitations en été
#     ARRR_seas_DJF : Ecart relatif de cumul de précipitations en hiver
#     ARRRq99_yr : Ecart relatif de cumul de précipitations quotidiennes remarquables (percentile 99 du cumul  quotidien)
#     ARRx1d_yr : Ecart relatif de intensité des précipitations extrêmes (max annuel des  précipitations totales)
#-----------------------------------------------------------------------------
# Format des enregistrements 
# Point;Latitude;Longitude;Niveau;NORTMm_yr;NORTMm_seas_JJA;NORTMm_seas_DJF;NORTXm_seas_JJA;NORTX35D_yr;NORTX30D_yr;NORTR_yr;NORRR_yr;NORRR_seas_JJA;NORRR_seas_DJF;NORRRq99_yr;NORRx1d_yr;NORRRq99refD_yr;NORIFM40_yr;NORSWI04_yr;ATMm_yr;ATMm_seas_JJA;ATMm_seas_DJF;ATXm_seas_JJA;ATX35D_yr;ATX30D_yr;ATR_yr;ARRq99refD_yr;AIFM40_yr;ASWI04_yr;ARRR_yr;ARRR_seas_JJA;ARRR_seas_DJF;ARRRq99_yr;ARRx1d_yr;
#-----------------------------------------------------------------------------
139;41.3373;9.1495;GWL15;17.67;25.81;11.23;30.33;13.6;54.2;75.9;648.89;71.39;222.31;26.64;57.66;3.5;49;194;1.82;2.41;1.97;2.3;11.2;24.9;41.3;-0.1;10;4;-0.08;0.26;0.02;-0.02;0.15;
281;41.4149;9.0628;GWL15;17.67;25.81;11.23;30.32;13.6;54.2;75.9;649.23;71.43;222.41;26.65;57.67;3.5;49;194;1.82;2.41;1.97;2.3;11.2;24.8;41.3;-0.1;10;4;-0.08;0.26;0.02;-0.02;0.15;
282;41.4087;9.1577;GWL15;17.34;25.55;10.82;30.02;12.6;50.3;74;672.29;73.74;229.99;27.67;58.85;3.5;44;204;1.82;2.44;1.93;2.37;10.5;24.4;41.4;-0.3;10;-1;-0.08;0.25;0.02;-0.02;0.14;
283;41.4025;9.2527;GWL15;17.64;25.78;11.19;30.29;13.5;54.1;75.8;651.29;71.65;223.03;26.72;57.78;3.5;48;212;1.82;2.41;1.97;2.3;11.1;25.1;41.6;-0.2;10;-2;-0.08;0.26;0.02;-0.02;0.15;
422;41.4985;8.8808;GWL15;17.38;25.35;11.05;29.89;11.1;49.1;68.2;659.19;74.67;222.44;27.33;56.1;3.7;49;196;1.61;2.05;1.88;1.97;8.8;20.8;34.2;0;8;16;-0.09;0.31;-0.02;-0.01;-0.09;
423;41.4925;8.9759;GWL15;17.16;25.18;10.78;29.69;10.6;46.8;66.5;674.7;76.24;227.49;28.2;56.8;3.7;45;198;1.61;2.06;1.85;2.01;8.6;21.2;33.6;0;7;17;-0.09;0.31;-0.02;-0.01;-0.09;
424;41.4864;9.071;GWL15;17.47;25.65;10.99;30.14;13.1;51.8;74.8;662.64;72.79;226.83;27.26;58.34;3.5;46;202;1.82;2.42;1.94;2.33;10.8;24.4;41.6;-0.2;10;0;-0.08;0.26;0.02;-0.02;0.15;
425;41.4802;9.166;GWL15;17.05;25.35;10.46;29.76;12.1;48.5;72.1;693.7;75.93;236.99;28.56;59.95;3.5;40;195;1.83;2.5;1.9;2.45;10.3;24.5;40.8;-0.2;11;5;-0.08;0.25;0.02;-0.02;0.14;
426;41.4739;9.261;GWL15;17.47;25.65;10.99;30.14;13.1;51.8;74.8;662.64;72.79;226.83;27.26;58.34;3.5;46;198;1.82;2.42;1.94;2.33;10.8;24.4;41.6;-0.2;10;3;-0.08;0.26;0.02;-0.02;0.15;
564;41.5759;8.7935;GWL15;16.62;24.11;10.3;27.96;3.4;25.7;56.6;677.61;73.88;211.44;27.57;54.99;3.5;15;179;1.4;1.76;1.59;1.63;3.3;16.9;30.6;-0.2;5;22;-0.1;0.24;-0.01;-0.01;-0.07;
565;41.57;8.8888;GWL15;16.3;23.98;9.85;27.79;3.2;27.2;56.2;709.25;77.24;220.19;28.87;56.54;3.5;16;178;1.45;1.91;1.58;1.76;3.2;16.9;31.3;-0.1;7;23;-0.1;0.23;-0.01;0;-0.08;
566;41.564;8.984;GWL15;16.07;23.93;9.54;27.78;4.2;29.2;55.1;735.98;79.97;228.37;29.89;57.81;3.5;17;169;1.52;2.08;1.6;1.94;3.8;17.1;31.1;-0.1;8;23;-0.1;0.23;-0.01;-0.01;-0.08;
