#-----------------------------------------------------------------------------
# Date d'extraction : 03/05/2026 - 22h26 loc.
#-----------------------------------------------------------------------------
# Producteur : MF_DCSC
# Experience : TRACC2023
# Modele     : REMO2015_NorESM1
#-----------------------------------------------------------------------------
# Niveaux de réchauffement :
#     GWL20 : Niveau de réchauffement Monde 2.0 degrés -> 2050 / France +2.7°C
#-----------------------------------------------------------------------------
# Type d'indice : annuel
#-----------------------------------------------------------------------------
# Indices : 
#     NORTMm_yr : Température moyenne annuelle (°C)
#     NORTMm_seas_JJA : Température moyenne en été (°C)
#     NORTMm_seas_DJF : Température moyenne en hiver (°C)
#     NORTXm_seas_JJA : Température maximale en été (°C)
#     NORTX35D_yr : Nombre de jours avec Tx >= 35°C (jour(s))
#     NORTX30D_yr : Nombre de jours avec Tx >= 30°C (jour(s))
#     NORTR_yr : Nombre de nuits tropicales (jour(s))
#     NORRR_yr : Cumul de précipitations annuelles (mm)
#     NORRR_seas_JJA : Cumul de précipitations en été (mm)
#     NORRR_seas_DJF : Cumul de précipitations en hiver (mm)
#     NORRRq99_yr : Cumul de précipitations quotidiennes remarquables (percentile 99 du cumul  quotidien) (mm)
#     NORRx1d_yr : Intensité des précipitations extrêmes (max annuel des  précipitations totales) (mm)
#     NORRRq99refD_yr : Fréquence des précipitations quotidienne remarquables (jour(s))
#     NORIFM40_yr : Indicateur feux météo nombre de jours supérieurs à 40 (jour(s))
#     NORSWI04_yr : Nombre de jours avec SWI < 0.4 (jour(s))
#     ATMm_yr : Ecart de température moyenne annuelle (°C)
#     ATMm_seas_JJA : Ecart de température moyenne en été (°C)
#     ATMm_seas_DJF : Ecart de température moyenne en hiver (°C)
#     ATXm_seas_JJA : Ecart de température maximale en été (°C)
#     ATX35D_yr : Ecart de nombre de jours avec tx >= 35°c (jour(s))
#     ATX30D_yr : Ecart de nombre de jours avec tx >= 30°c (jour(s))
#     ATR_yr : Ecart de nombre de nuits tropicales (jour(s))
#     ARRq99refD_yr : Ecart de fréquence des précipitations quotidienne remarquables (jour(s))
#     AIFM40_yr : Ecart de indicateur feux météo nombre de jours supérieurs à 40 (jour(s))
#     ASWI04_yr : Ecart de nombre de jours avec swi < 0.4 (jour(s))
#     ARRR_yr : Ecart relatif de cumul de précipitations annuelles
#     ARRR_seas_JJA : Ecart relatif de cumul de précipitations en été
#     ARRR_seas_DJF : Ecart relatif de cumul de précipitations en hiver
#     ARRRq99_yr : Ecart relatif de cumul de précipitations quotidiennes remarquables (percentile 99 du cumul  quotidien)
#     ARRx1d_yr : Ecart relatif de intensité des précipitations extrêmes (max annuel des  précipitations totales)
#-----------------------------------------------------------------------------
# Format des enregistrements 
# Point;Latitude;Longitude;Niveau;NORTMm_yr;NORTMm_seas_JJA;NORTMm_seas_DJF;NORTXm_seas_JJA;NORTX35D_yr;NORTX30D_yr;NORTR_yr;NORRR_yr;NORRR_seas_JJA;NORRR_seas_DJF;NORRRq99_yr;NORRx1d_yr;NORRRq99refD_yr;NORIFM40_yr;NORSWI04_yr;ATMm_yr;ATMm_seas_JJA;ATMm_seas_DJF;ATXm_seas_JJA;ATX35D_yr;ATX30D_yr;ATR_yr;ARRq99refD_yr;AIFM40_yr;ASWI04_yr;ARRR_yr;ARRR_seas_JJA;ARRR_seas_DJF;ARRRq99_yr;ARRx1d_yr;
#-----------------------------------------------------------------------------
139;41.3373;9.1495;GWL20;18.21;26.52;11.35;31.06;18.4;60.4;86;648.13;59.28;208.07;26.03;47.82;3.3;50;202;2.36;3.12;2.09;3.03;16;31;51.4;-0.2;10;12;-0.08;0.04;-0.04;-0.04;-0.05;
281;41.4149;9.0628;GWL20;18.21;26.52;11.35;31.05;18.4;60.3;86;648.46;59.31;208.17;26.04;47.83;3.3;50;202;2.36;3.12;2.09;3.03;16;30.9;51.4;-0.2;11;12;-0.08;0.04;-0.04;-0.04;-0.05;
282;41.4087;9.1577;GWL20;17.88;26.28;10.94;30.77;17.8;56.3;83.3;671.92;61.36;215.18;27.03;49.04;3.4;45;213;2.36;3.17;2.05;3.12;15.6;30.4;50.8;-0.3;11;9;-0.08;0.04;-0.04;-0.04;-0.05;
283;41.4025;9.2527;GWL20;18.18;26.49;11.31;31.03;18.3;60;85.7;650.7;59.51;208.82;26.13;47.94;3.3;49;225;2.36;3.12;2.09;3.04;15.9;30.9;51.4;-0.3;10;11;-0.08;0.04;-0.04;-0.04;-0.05;
422;41.4985;8.8808;GWL20;17.81;25.97;10.98;30.58;15.1;55.4;76.9;700.03;64.4;234.35;30.52;58.2;3.9;50;188;2.04;2.66;1.81;2.66;12.8;27.1;42.9;0.2;8;9;-0.03;0.13;0.04;0.1;-0.06;
423;41.4925;8.9759;GWL20;17.59;25.8;10.71;30.38;14.3;52.2;75.2;716.25;65.8;239.6;31.22;59;3.9;47;190;2.04;2.69;1.78;2.71;12.4;26.6;42.3;0.2;10;10;-0.03;0.13;0.04;0.1;-0.06;
424;41.4864;9.071;GWL20;18.01;26.37;11.11;30.88;18;58;84.4;662.21;60.52;212.3;26.56;48.52;3.3;47;213;2.35;3.14;2.06;3.07;15.7;30.6;51.1;-0.3;10;11;-0.08;0.04;-0.04;-0.04;-0.05;
425;41.4802;9.166;GWL20;17.6;26.09;10.59;30.54;17;54.6;82;693.51;63.33;221.56;27.89;50.16;3.4;41;202;2.38;3.24;2.02;3.23;15.1;30.6;50.8;-0.3;12;12;-0.08;0.04;-0.04;-0.04;-0.05;
426;41.4739;9.261;GWL20;18.01;26.37;11.11;30.88;18;58;84.4;662.21;60.52;212.3;26.56;48.52;3.3;47;207;2.35;3.14;2.06;3.07;15.7;30.6;51.1;-0.3;10;12;-0.08;0.04;-0.04;-0.04;-0.05;
564;41.5759;8.7935;GWL20;17;24.64;10.25;28.57;6.2;31.4;65.5;709.59;63.83;217.8;30.43;55.63;4.2;17;171;1.78;2.29;1.54;2.24;6.1;22.6;39.5;0.5;8;14;-0.06;0.07;0.02;0.1;-0.06;
565;41.57;8.8888;GWL20;16.7;24.56;9.81;28.43;6.1;32.8;65.4;742.48;66.72;226.98;31.72;57.13;4.1;18;172;1.85;2.49;1.53;2.41;6;22.5;40.5;0.5;9;16;-0.06;0.07;0.02;0.09;-0.07;
566;41.564;8.984;GWL20;16.49;24.56;9.49;28.48;7.4;36.4;64.4;769.85;69.07;235.13;32.74;58.36;4.1;19;161;1.94;2.71;1.55;2.64;7.1;24.3;40.4;0.5;10;15;-0.06;0.06;0.02;0.09;-0.07;
