#-----------------------------------------------------------------------------
# Date d'extraction : 03/05/2026 - 22h36 loc.
#-----------------------------------------------------------------------------
# Producteur : MF_DCSC
# Experience : TRACC2023
# Modele     : RegCM4-6_HadGEM2
#-----------------------------------------------------------------------------
# Niveaux de réchauffement :
#     GWL20 : Niveau de réchauffement Monde 2.0 degrés -> 2050 / France +2.7°C
#-----------------------------------------------------------------------------
# Type d'indice : annuel
#-----------------------------------------------------------------------------
# Indices : 
#     NORTMm_yr : Température moyenne annuelle (°C)
#     NORTMm_seas_JJA : Température moyenne en été (°C)
#     NORTMm_seas_DJF : Température moyenne en hiver (°C)
#     NORTXm_seas_JJA : Température maximale en été (°C)
#     NORTX35D_yr : Nombre de jours avec Tx >= 35°C (jour(s))
#     NORTX30D_yr : Nombre de jours avec Tx >= 30°C (jour(s))
#     NORTR_yr : Nombre de nuits tropicales (jour(s))
#     NORRR_yr : Cumul de précipitations annuelles (mm)
#     NORRR_seas_JJA : Cumul de précipitations en été (mm)
#     NORRR_seas_DJF : Cumul de précipitations en hiver (mm)
#     NORRRq99_yr : Cumul de précipitations quotidiennes remarquables (percentile 99 du cumul  quotidien) (mm)
#     NORRx1d_yr : Intensité des précipitations extrêmes (max annuel des  précipitations totales) (mm)
#     NORRRq99refD_yr : Fréquence des précipitations quotidienne remarquables (jour(s))
#     NORIFM40_yr : Indicateur feux météo nombre de jours supérieurs à 40 (jour(s))
#     NORSWI04_yr : Nombre de jours avec SWI < 0.4 (jour(s))
#     ATMm_yr : Ecart de température moyenne annuelle (°C)
#     ATMm_seas_JJA : Ecart de température moyenne en été (°C)
#     ATMm_seas_DJF : Ecart de température moyenne en hiver (°C)
#     ATXm_seas_JJA : Ecart de température maximale en été (°C)
#     ATX35D_yr : Ecart de nombre de jours avec tx >= 35°c (jour(s))
#     ATX30D_yr : Ecart de nombre de jours avec tx >= 30°c (jour(s))
#     ATR_yr : Ecart de nombre de nuits tropicales (jour(s))
#     ARRq99refD_yr : Ecart de fréquence des précipitations quotidienne remarquables (jour(s))
#     AIFM40_yr : Ecart de indicateur feux météo nombre de jours supérieurs à 40 (jour(s))
#     ASWI04_yr : Ecart de nombre de jours avec swi < 0.4 (jour(s))
#     ARRR_yr : Ecart relatif de cumul de précipitations annuelles
#     ARRR_seas_JJA : Ecart relatif de cumul de précipitations en été
#     ARRR_seas_DJF : Ecart relatif de cumul de précipitations en hiver
#     ARRRq99_yr : Ecart relatif de cumul de précipitations quotidiennes remarquables (percentile 99 du cumul  quotidien)
#     ARRx1d_yr : Ecart relatif de intensité des précipitations extrêmes (max annuel des  précipitations totales)
#-----------------------------------------------------------------------------
# Format des enregistrements 
# Point;Latitude;Longitude;Niveau;NORTMm_yr;NORTMm_seas_JJA;NORTMm_seas_DJF;NORTXm_seas_JJA;NORTX35D_yr;NORTX30D_yr;NORTR_yr;NORRR_yr;NORRR_seas_JJA;NORRR_seas_DJF;NORRRq99_yr;NORRx1d_yr;NORRRq99refD_yr;NORIFM40_yr;NORSWI04_yr;ATMm_yr;ATMm_seas_JJA;ATMm_seas_DJF;ATXm_seas_JJA;ATX35D_yr;ATX30D_yr;ATR_yr;ARRq99refD_yr;AIFM40_yr;ASWI04_yr;ARRR_yr;ARRR_seas_JJA;ARRR_seas_DJF;ARRRq99_yr;ARRx1d_yr;
#-----------------------------------------------------------------------------
139;41.3373;9.1495;GWL20;18.39;26.5;11.27;31.11;11.1;77.7;90.7;662.39;44.06;209.32;28.4;49.62;3.8;52;188;2.59;3.16;2.19;3.15;8.5;49;55.9;0;15;18;-0.05;-0.24;0.04;0.04;0.12;
281;41.4149;9.0628;GWL20;18.1;25.94;11.04;30.37;9.9;60.6;88.4;693.38;50.54;237;28.5;50.77;4.3;46;188;2.31;2.59;1.99;2.39;7.7;31.3;54.3;0.8;9;18;-0.02;-0.12;0.15;0.05;0.01;
282;41.4087;9.1577;GWL20;17.77;25.71;10.68;30.14;11.6;55.4;85.7;745.12;61.11;258.34;31.72;56.92;4.1;42;196;2.3;2.65;1.97;2.54;9.6;29.6;54.4;0.4;10;21;0.01;-0.04;0.23;0.15;0.11;
283;41.4025;9.2527;GWL20;18.07;25.93;11.05;30.41;12.6;61.2;87.5;721.99;59.36;250.64;30.71;55.83;4.1;46;204;2.3;2.62;2.01;2.47;10.4;32.4;55;0.4;10;22;0.01;-0.04;0.23;0.15;0.12;
422;41.4985;8.8808;GWL20;18.03;25.89;10.96;30.31;9.8;58.5;87.9;698.92;50.91;238.82;28.79;51.01;4.3;45;197;2.31;2.6;1.97;2.4;7.6;29.7;54.1;0.8;9;19;-0.02;-0.12;0.15;0.05;0.01;
423;41.4925;8.9759;GWL20;17.81;25.72;10.69;30.12;8.9;54.8;85.8;715.69;51.94;244.47;29.5;51.8;4.4;42;196;2.31;2.62;1.95;2.46;7;28.7;53.6;0.8;10;16;-0.02;-0.12;0.15;0.05;0.01;
424;41.4864;9.071;GWL20;17.91;25.79;10.81;30.2;9.4;56.4;86.8;707.88;51.49;241.86;29.14;51.44;4.4;43;199;2.31;2.6;1.96;2.44;7.4;29.3;53.7;0.7;10;18;-0.02;-0.12;0.15;0.05;0.01;
425;41.4802;9.166;GWL20;17.49;25.52;10.34;29.9;11.1;52.8;84;769.02;62.99;266.38;32.57;58.03;4.1;38;187;2.32;2.71;1.95;2.64;9.4;28.9;54.1;0.4;10;21;0.01;-0.04;0.23;0.14;0.11;
426;41.4739;9.261;GWL20;17.9;25.8;10.85;30.27;11.9;57.7;86.3;734.14;60.31;254.66;31.26;56.4;4.1;44;190;2.3;2.62;1.99;2.5;9.9;30.7;54.4;0.5;10;24;0.01;-0.04;0.23;0.15;0.12;
564;41.5759;8.7935;GWL20;17.22;24.6;10.28;28.33;2.5;29.4;72.9;702.53;52.5;210.93;28.62;43.59;4;12;180;2.04;2.23;1.7;1.99;2.3;20.3;46.2;0.3;4;26;-0.04;-0.13;0.11;0.04;-0.08;
565;41.57;8.8888;GWL20;16.93;24.54;9.85;28.21;2.2;31.7;72.6;736.63;54.91;220.54;29.96;45.24;4;13;179;2.12;2.45;1.69;2.19;2;21.2;47;0.3;4;23;-0.04;-0.13;0.11;0.04;-0.09;
566;41.564;8.984;GWL20;16.75;24.55;9.55;28.27;3.3;36;72.5;764.24;56.85;228.7;30.98;46.55;4.1;14;172;2.23;2.69;1.72;2.43;2.8;23.3;48;0.4;6;25;-0.05;-0.13;0.11;0.03;-0.09;
567;41.5579;9.0791;GWL20;15.89;24.38;8.38;28.02;7.8;35.5;73.2;1030.3;90.7;339.94;38.47;61.33;4.1;14;138;2.52;3.27;1.9;3.13;6.7;21.9;51.6;0.5;6;24;-0.01;-0.04;0.19;0.07;0.04;
568;41.5517;9.1743;GWL20;17.42;25.46;10.24;29.84;11.1;52.2;83.4;775.39;63.53;268.64;32.79;58.34;4.1;37;186;2.33;2.73;1.94;2.67;9.4;28.9;53.9;0.4;10;18;0.01;-0.04;0.23;0.14;0.11;
569;41.5454;9.2694;GWL20;17.85;25.77;10.79;30.22;11.8;56.9;86.2;738.28;60.61;256.06;31.4;56.6;4.1;43;193;2.3;2.63;1.98;2.52;9.8;30.4;54.3;0.4;10;20;0.01;-0.04;0.23;0.14;0.11;
707;41.6474;8.8014;GWL20;17.21;24.54;10.33;28.31;1.9;24.7;73.2;729.59;45.32;201.62;29.75;51.95;3.8;11;181;1.99;2.14;1.71;1.92;1.6;15.5;47.1;0.1;2;12;-0.02;-0.26;0.02;0.05;-0.05;
708;41.6415;8.8967;GWL20;16.76;24.38;9.72;28.09;2.8;30.5;73.3;754.05;67.04;231.1;31.48;45.87;4.1;14;176;2.09;2.39;1.73;2.15;2.3;19.1;49.1;0.5;4;26;-0.05;0;0.13;0.05;-0.18;
709;41.6355;8.992;GWL20;16.64;24.39;9.53;28.11;3.5;33.2;73.2;771.82;68.48;236.28;32.28;46.79;4.2;15;171;2.16;2.54;1.75;2.3;3;20.3;49.8;0.5;6;30;-0.05;0;0.13;0.04;-0.18;
710;41.6294;9.0873;GWL20;16.01;24.45;8.55;28.1;6.2;35.8;73.7;997;90.82;333.52;37;64.19;3.5;15;131;2.42;3.11;1.84;2.88;5;21.1;51.6;-0.2;7;31;-0.03;-0.04;0.17;0.02;0.01;
711;41.6232;9.1826;GWL20;15.96;24.41;8.49;28.03;6.2;35.3;73.2;1003.74;91.39;336.02;37.27;64.49;3.5;15;140;2.43;3.13;1.85;2.91;5.1;21;51.3;-0.2;8;19;-0.03;-0.04;0.17;0.03;0.01;
712;41.6169;9.2779;GWL20;17.76;25.6;10.71;29.99;6.6;56.3;89.9;871.58;48.36;294.22;39.96;68.52;4.3;20;172;2.09;2.31;1.8;2.38;5.6;32.2;49;0.7;8;6;0.05;-0.23;0.21;0.15;0.1;
849;41.7248;8.7138;GWL20;17.24;24.55;10.37;28.33;2;24.8;73.3;726.88;45.15;200.88;29.6;51.82;3.8;11;180;1.99;2.13;1.71;1.91;1.7;15.4;47.1;0.1;2;14;-0.02;-0.26;0.02;0.05;-0.05;
850;41.719;8.8093;GWL20;17.22;24.55;10.34;28.31;1.9;24.9;73.3;728.77;45.25;201.57;29.68;51.9;3.8;11;182;1.99;2.14;1.71;1.92;1.6;15.5;47.1;0.1;2;13;-0.02;-0.26;0.02;0.05;-0.05;
851;41.713;8.9047;GWL20;16.6;24.38;9.47;28.12;3.6;34.2;73.4;778.83;69;238.52;32.57;47.05;4.1;16;169;2.19;2.59;1.77;2.36;3.1;20.8;50.1;0.5;6;31;-0.05;0;0.13;0.04;-0.18;
852;41.707;9.0001;GWL20;16.38;24.62;8.99;28.52;6.1;38.9;75.2;934.04;83.86;303.43;37.08;51.57;4.3;13;153;2.31;2.83;1.81;2.67;4.9;21.9;51.2;0.6;5;30;-0.05;-0.05;0.11;0.06;-0.17;
853;41.7009;9.0955;GWL20;16.03;24.46;8.56;28.12;6.1;36;73.7;995.09;90.67;332.85;36.94;64.1;3.5;15;134;2.42;3.1;1.84;2.88;5;21.1;51.6;-0.2;7;26;-0.03;-0.04;0.17;0.02;0.01;
854;41.6946;9.1909;GWL20;14.77;23.29;7.27;26.21;2.3;23;64.1;1096.85;99.99;364.01;40.89;68.9;3.5;17;126;2.51;3.25;1.93;2.95;2.2;15.9;47.2;-0.2;8;29;-0.04;-0.05;0.16;0.03;0.01;
855;41.6884;9.2863;GWL20;16.73;25.08;9.33;29.32;7.3;49.9;83.6;973.57;55.43;326;43.79;72.9;4.3;22;158;2.29;2.81;1.77;2.97;6.2;30.3;50.8;0.7;11;10;0.04;-0.23;0.2;0.15;0.08;
856;41.682;9.3817;GWL20;17.93;25.69;10.93;30.09;6.7;58.2;91.4;856;47.35;288.78;39.47;67.75;4.3;20;177;2.08;2.26;1.82;2.31;5.9;32.8;49.4;0.7;8;6;0.05;-0.23;0.22;0.16;0.1;
992;41.7963;8.7216;GWL20;17.15;24.52;10.24;28.27;1.8;24.6;72.9;735.94;45.72;203.24;29.98;52.27;3.7;11;179;2;2.17;1.7;1.95;1.5;15.6;47;0.1;2;15;-0.02;-0.26;0.02;0.04;-0.05;
993;41.7905;8.8171;GWL20;16.39;24.33;9.13;28.05;2.5;32.2;71.1;835.8;51.75;230.02;33.91;57.27;3.8;15;162;2.29;2.82;1.75;2.62;2.1;19.5;49.6;0.1;6;21;-0.02;-0.26;0.02;0.04;-0.05;
994;41.7845;8.9127;GWL20;16.91;25.06;9.54;29.15;4.6;45.9;78;917.23;61.67;271.16;35.93;58.54;4;11;161;2.25;2.75;1.73;2.59;3.2;25.9;50.6;0.3;4;18;-0.01;-0.25;0.02;0.08;-0.03;
995;41.7785;9.0083;GWL20;14.61;23.01;7.19;26.02;2.9;22.2;59.3;1084.48;90.1;341.73;42.44;63.11;4.1;16;130;2.4;3;1.89;2.84;2.7;15.3;41.9;0.5;7;23;-0.05;-0.13;0.07;0.05;-0.08;
996;41.7724;9.1038;GWL20;14.1;22.61;6.63;25.45;1.2;16.8;56.5;1282.69;117.95;445.22;46.22;83.72;4.1;14;113;2.43;3.11;1.92;2.88;1.2;12.9;41.4;0.4;7;32;-0.06;-0.11;0.12;-0.02;0.02;
997;41.7661;9.1993;GWL20;13.83;22.33;6.38;25.07;0.9;14.1;53.8;1301.7;119.52;451.25;46.77;84.69;4;13;112;2.43;3.1;1.92;2.86;0.9;11.1;39.9;0.3;7;33;-0.06;-0.11;0.12;-0.03;0.02;
998;41.7598;9.2948;GWL20;15.68;24.07;8.21;28.27;5.8;37.8;65.2;1177.6;89.18;393.64;45.71;77.77;3.5;14;131;2.38;2.95;1.89;3.15;5.1;24.2;43.9;-0.1;8;23;-0.02;-0.22;0.13;0.1;0.07;
999;41.7535;9.3902;GWL20;17.66;25.5;10.63;29.95;6.9;53.7;87.4;847.37;48.13;285.1;39.57;72.12;4.1;21;179;2.1;2.3;1.84;2.44;5.9;30.1;47.2;0.4;9;7;0.01;-0.23;0.15;0.16;0.17;
1134;41.8737;8.6336;GWL20;17.34;24.61;10.51;28.42;2;26.5;73.2;716;44.46;197.84;29.2;51.31;3.8;11;179;1.98;2.1;1.73;1.89;1.7;16.7;47;0.1;2;15;-0.02;-0.26;0.02;0.04;-0.05;
1135;41.8679;8.7294;GWL20;17.34;24.61;10.51;28.42;2;26.5;73.2;715.91;44.46;197.75;29.2;51.31;3.8;11;170;1.98;2.1;1.73;1.89;1.7;16.7;47;0.1;2;16;-0.02;-0.26;0.02;0.05;-0.05;
1136;41.862;8.8251;GWL20;16.71;24.47;9.55;28.22;2.4;32.5;72.9;795.79;49.42;219.44;32.34;55.24;3.7;14;165;2.17;2.59;1.71;2.36;1.9;19.9;48.9;0;5;21;-0.02;-0.26;0.02;0.04;-0.05;
1137;41.856;8.9207;GWL20;15.8;24.06;8.44;27.86;6.2;34;65.7;1008.89;78.13;323.96;36.59;58.81;3.5;14;142;2.29;2.78;1.82;2.74;5.1;19.7;43.3;-0.1;7;20;-0.03;-0.15;0.12;0;-0.06;
1138;41.85;9.0164;GWL20;15.99;24.21;8.65;28.11;6.2;35.7;66.6;986.18;76.46;316.79;35.82;57.77;3.6;14;144;2.24;2.7;1.79;2.67;5;20.2;43.3;0;7;19;-0.03;-0.15;0.11;0;-0.06;
