#-----------------------------------------------------------------------------
# Date d'extraction : 03/05/2026 - 22h36 loc.
#-----------------------------------------------------------------------------
# Producteur : MF_DCSC
# Experience : TRACC2023
# Modele     : RegCM4-6_HadGEM2
#-----------------------------------------------------------------------------
# Niveaux de réchauffement :
#     GWL30 : Niveau de réchauffement Monde 3.0 degrés -> 2100 / France +4°C
#-----------------------------------------------------------------------------
# Type d'indice : annuel
#-----------------------------------------------------------------------------
# Indices : 
#     NORTMm_yr : Température moyenne annuelle (°C)
#     NORTMm_seas_JJA : Température moyenne en été (°C)
#     NORTMm_seas_DJF : Température moyenne en hiver (°C)
#     NORTXm_seas_JJA : Température maximale en été (°C)
#     NORTX35D_yr : Nombre de jours avec Tx >= 35°C (jour(s))
#     NORTX30D_yr : Nombre de jours avec Tx >= 30°C (jour(s))
#     NORTR_yr : Nombre de nuits tropicales (jour(s))
#     NORRR_yr : Cumul de précipitations annuelles (mm)
#     NORRR_seas_JJA : Cumul de précipitations en été (mm)
#     NORRR_seas_DJF : Cumul de précipitations en hiver (mm)
#     NORRRq99_yr : Cumul de précipitations quotidiennes remarquables (percentile 99 du cumul  quotidien) (mm)
#     NORRx1d_yr : Intensité des précipitations extrêmes (max annuel des  précipitations totales) (mm)
#     NORRRq99refD_yr : Fréquence des précipitations quotidienne remarquables (jour(s))
#     NORIFM40_yr : Indicateur feux météo nombre de jours supérieurs à 40 (jour(s))
#     NORSWI04_yr : Nombre de jours avec SWI < 0.4 (jour(s))
#     ATMm_yr : Ecart de température moyenne annuelle (°C)
#     ATMm_seas_JJA : Ecart de température moyenne en été (°C)
#     ATMm_seas_DJF : Ecart de température moyenne en hiver (°C)
#     ATXm_seas_JJA : Ecart de température maximale en été (°C)
#     ATX35D_yr : Ecart de nombre de jours avec tx >= 35°c (jour(s))
#     ATX30D_yr : Ecart de nombre de jours avec tx >= 30°c (jour(s))
#     ATR_yr : Ecart de nombre de nuits tropicales (jour(s))
#     ARRq99refD_yr : Ecart de fréquence des précipitations quotidienne remarquables (jour(s))
#     AIFM40_yr : Ecart de indicateur feux météo nombre de jours supérieurs à 40 (jour(s))
#     ASWI04_yr : Ecart de nombre de jours avec swi < 0.4 (jour(s))
#     ARRR_yr : Ecart relatif de cumul de précipitations annuelles
#     ARRR_seas_JJA : Ecart relatif de cumul de précipitations en été
#     ARRR_seas_DJF : Ecart relatif de cumul de précipitations en hiver
#     ARRRq99_yr : Ecart relatif de cumul de précipitations quotidiennes remarquables (percentile 99 du cumul  quotidien)
#     ARRx1d_yr : Ecart relatif de intensité des précipitations extrêmes (max annuel des  précipitations totales)
#-----------------------------------------------------------------------------
# Format des enregistrements 
# Point;Latitude;Longitude;Niveau;NORTMm_yr;NORTMm_seas_JJA;NORTMm_seas_DJF;NORTXm_seas_JJA;NORTX35D_yr;NORTX30D_yr;NORTR_yr;NORRR_yr;NORRR_seas_JJA;NORRR_seas_DJF;NORRRq99_yr;NORRx1d_yr;NORRRq99refD_yr;NORIFM40_yr;NORSWI04_yr;ATMm_yr;ATMm_seas_JJA;ATMm_seas_DJF;ATXm_seas_JJA;ATX35D_yr;ATX30D_yr;ATR_yr;ARRq99refD_yr;AIFM40_yr;ASWI04_yr;ARRR_yr;ARRR_seas_JJA;ARRR_seas_DJF;ARRRq99_yr;ARRx1d_yr;
#-----------------------------------------------------------------------------
139;41.3373;9.1495;GWL30;19.79;28.27;12.19;32.79;23.4;102.1;114.7;697.88;48.14;241.64;31.99;57.78;4.9;57;192;3.99;4.92;3.11;4.83;20.8;73.4;79.9;1.2;19;22;0;-0.17;0.2;0.18;0.3;
281;41.4149;9.0628;GWL30;19.38;27.36;11.88;31.54;15;83.2;115.8;716.18;73.23;255.52;32.37;59.34;4.8;45;192;3.59;4.01;2.83;3.55;12.8;54;81.7;1.2;8;22;0.01;0.27;0.24;0.19;0.19;
282;41.4087;9.1577;GWL30;19.06;27.18;11.57;31.46;18;79.1;113.2;791.05;100.59;270.11;35.31;103.84;5.2;44;198;3.59;4.11;2.86;3.86;16;53.3;81.9;1.5;12;23;0.07;0.59;0.28;0.28;1.03;
283;41.4025;9.2527;GWL30;19.35;27.38;11.94;31.69;18.6;83.1;115.2;767.37;97.47;262.41;34.3;101.5;5.2;49;203;3.59;4.07;2.91;3.74;16.5;54.3;82.7;1.5;13;21;0.08;0.58;0.29;0.28;1.03;
422;41.4985;8.8808;GWL30;19.31;27.3;11.79;31.48;14.9;81.9;115.2;721.72;73.69;257.43;32.58;59.63;4.8;44;200;3.59;4.02;2.81;3.58;12.7;53.1;81.3;1.2;8;22;0.01;0.27;0.24;0.19;0.18;
423;41.4925;8.9759;GWL30;19.09;27.16;11.52;31.32;13.9;78;113.3;738.61;75;263.35;33.2;60.51;4.8;40;200;3.59;4.05;2.78;3.67;12.1;51.9;81.2;1.2;8;21;0.01;0.27;0.24;0.19;0.18;
424;41.4864;9.071;GWL30;19.18;27.21;11.65;31.39;14.6;79.5;114.1;730.79;74.41;260.63;32.89;60.11;4.8;42;202;3.58;4.02;2.79;3.63;12.6;52.4;81;1.1;8;21;0.01;0.27;0.24;0.19;0.18;
425;41.4802;9.166;GWL30;18.8;27.02;11.22;31.27;17;76.7;110.7;815.64;103.89;278.29;36.35;106.21;5.1;41;192;3.63;4.21;2.83;4.01;15.3;52.8;80.8;1.5;12;26;0.07;0.59;0.28;0.27;1.03;
426;41.4739;9.261;GWL30;19.19;27.26;11.74;31.57;18.2;80.8;113.9;779.84;99.15;266.44;34.82;102.74;5.2;47;192;3.58;4.08;2.88;3.8;16.1;53.8;82;1.6;13;26;0.07;0.58;0.29;0.28;1.03;
564;41.5759;8.7935;GWL30;18.35;25.77;11.05;29.31;3.9;45;97.2;693.2;72.83;211.82;27.13;58.01;3.3;9;181;3.16;3.4;2.47;2.97;3.6;35.8;70.5;-0.3;0;27;-0.06;0.21;0.12;-0.01;0.22;
565;41.57;8.8888;GWL30;18.11;25.82;10.61;29.29;3.5;47;97.8;725.91;75.55;221.36;28.34;59.67;3.2;10;182;3.3;3.73;2.45;3.26;3.3;36.5;72.2;-0.4;1;26;-0.06;0.19;0.12;-0.02;0.21;
566;41.564;8.984;GWL30;18;25.96;10.34;29.47;4.8;52.5;98.3;752.66;77.76;229.4;29.48;61;3.3;11;174;3.48;4.1;2.51;3.63;4.2;39.8;73.8;-0.4;2;27;-0.06;0.18;0.12;-0.02;0.2;
567;41.5579;9.0791;GWL30;17.37;26.18;9.33;29.66;12.6;57.2;100.2;990.97;116.94;313.82;38.85;95.98;4;14;144;4;5.07;2.85;4.77;11.5;43.6;78.6;0.3;5;30;-0.05;0.23;0.1;0.08;0.63;
568;41.5517;9.1743;GWL30;18.73;26.98;11.13;31.23;17;75.8;110.1;822.36;104.8;280.64;36.56;106.86;5.2;40;192;3.64;4.24;2.83;4.06;15.3;52.5;80.5;1.5;12;24;0.07;0.59;0.28;0.27;1.03;
569;41.5454;9.2694;GWL30;19.14;27.23;11.68;31.53;18;80.1;113.6;784.04;99.68;267.8;35;103.15;5.2;46;197;3.58;4.09;2.87;3.83;16;53.6;81.7;1.5;13;24;0.07;0.58;0.29;0.27;1.03;
707;41.6474;8.8014;GWL30;18.28;25.57;11.07;29.25;2.5;39.8;96.7;728.94;53.3;205.02;27.37;50.45;3.5;8;186;3.06;3.17;2.45;2.86;2.3;30.6;70.5;-0.2;-1;16;-0.02;-0.13;0.04;-0.04;-0.08;
708;41.6415;8.8967;GWL30;17.96;25.64;10.51;29.27;5.1;46.2;99.2;737.59;74.55;232.4;28.54;59.06;3.2;13;179;3.29;3.65;2.51;3.33;4.6;34.8;75.1;-0.4;3;30;-0.07;0.11;0.14;-0.05;0.05;
709;41.6355;8.992;GWL30;17.89;25.72;10.33;29.37;5.5;50;99.1;755.27;76.02;238.07;29.28;59.94;3.2;14;175;3.4;3.88;2.55;3.56;5;37.1;75.6;-0.4;4;34;-0.07;0.11;0.14;-0.05;0.05;
710;41.6294;9.0873;GWL30;17.45;26.16;9.42;29.64;11.4;55;102.9;946.91;101.27;303.73;36.08;80.3;3;15;140;3.85;4.81;2.71;4.43;10.2;40.3;80.8;-0.8;7;39;-0.08;0.07;0.07;0;0.27;
711;41.6232;9.1826;GWL30;17.4;26.13;9.36;29.59;11.3;54.5;102.8;952.96;101.85;305.5;36.31;80.58;3;15;152;3.88;4.85;2.72;4.47;10.2;40.1;80.9;-0.8;7;31;-0.08;0.06;0.07;0;0.26;
712;41.6169;9.2779;GWL30;18.92;26.84;11.49;31.21;12.3;78.5;112.7;926.82;101.03;310.92;43.41;116.62;4.8;19;178;3.25;3.56;2.58;3.61;11.4;54.4;71.8;1.1;7;12;0.12;0.61;0.28;0.25;0.87;
849;41.7248;8.7138;GWL30;18.31;25.58;11.11;29.26;2.6;40.3;96.7;726.24;53.12;204.29;27.3;50.33;3.5;8;184;3.06;3.16;2.45;2.85;2.3;31;70.4;-0.2;-1;18;-0.02;-0.13;0.04;-0.04;-0.08;
850;41.719;8.8093;GWL30;18.29;25.57;11.08;29.25;2.5;40;96.6;727.84;53.23;204.67;27.35;50.4;3.5;8;186;3.06;3.17;2.45;2.86;2.3;30.6;70.4;-0.2;-1;17;-0.02;-0.13;0.04;-0.04;-0.08;
851;41.713;8.9047;GWL30;17.86;25.74;10.28;29.42;5.7;51;99.8;761.68;76.56;240.05;29.51;60.27;3.2;14;173;3.45;3.95;2.58;3.65;5.2;37.5;76.6;-0.3;4;34;-0.07;0.11;0.13;-0.05;0.05;
852;41.707;9.0001;GWL30;17.74;26.14;9.86;29.98;9.1;57;102.2;909.3;92.83;301.95;33.97;64.66;3.4;11;159;3.67;4.35;2.68;4.13;7.9;39.9;78.1;-0.3;3;37;-0.07;0.05;0.11;-0.02;0.04;
