#-----------------------------------------------------------------------------
# Date d'extraction : 03/05/2026 - 22h48 loc.
#-----------------------------------------------------------------------------
# Producteur : MF_DCSC
# Experience : TRACC2023
# Modele     : RegCM4-6_MPI-ESM
#-----------------------------------------------------------------------------
# Niveaux de réchauffement :
#     GWL15 : Niveau de réchauffement Monde 1.5 degrés -> 2030 / France +2°C
#-----------------------------------------------------------------------------
# Type d'indice : annuel
#-----------------------------------------------------------------------------
# Indices : 
#     NORTMm_yr : Température moyenne annuelle (°C)
#     NORTMm_seas_JJA : Température moyenne en été (°C)
#     NORTMm_seas_DJF : Température moyenne en hiver (°C)
#     NORTXm_seas_JJA : Température maximale en été (°C)
#     NORTX35D_yr : Nombre de jours avec Tx >= 35°C (jour(s))
#     NORTX30D_yr : Nombre de jours avec Tx >= 30°C (jour(s))
#     NORTR_yr : Nombre de nuits tropicales (jour(s))
#     NORRR_yr : Cumul de précipitations annuelles (mm)
#     NORRR_seas_JJA : Cumul de précipitations en été (mm)
#     NORRR_seas_DJF : Cumul de précipitations en hiver (mm)
#     NORRRq99_yr : Cumul de précipitations quotidiennes remarquables (percentile 99 du cumul  quotidien) (mm)
#     NORRx1d_yr : Intensité des précipitations extrêmes (max annuel des  précipitations totales) (mm)
#     NORRRq99refD_yr : Fréquence des précipitations quotidienne remarquables (jour(s))
#     NORSWI04_yr : Nombre de jours avec SWI < 0.4 (jour(s))
#     ATMm_yr : Ecart de température moyenne annuelle (°C)
#     ATMm_seas_JJA : Ecart de température moyenne en été (°C)
#     ATMm_seas_DJF : Ecart de température moyenne en hiver (°C)
#     ATXm_seas_JJA : Ecart de température maximale en été (°C)
#     ATX35D_yr : Ecart de nombre de jours avec tx >= 35°c (jour(s))
#     ATX30D_yr : Ecart de nombre de jours avec tx >= 30°c (jour(s))
#     ATR_yr : Ecart de nombre de nuits tropicales (jour(s))
#     ARRq99refD_yr : Ecart de fréquence des précipitations quotidienne remarquables (jour(s))
#     ASWI04_yr : Ecart de nombre de jours avec swi < 0.4 (jour(s))
#     ARRR_yr : Ecart relatif de cumul de précipitations annuelles
#     ARRR_seas_JJA : Ecart relatif de cumul de précipitations en été
#     ARRR_seas_DJF : Ecart relatif de cumul de précipitations en hiver
#     ARRRq99_yr : Ecart relatif de cumul de précipitations quotidiennes remarquables (percentile 99 du cumul  quotidien)
#     ARRx1d_yr : Ecart relatif de intensité des précipitations extrêmes (max annuel des  précipitations totales)
#-----------------------------------------------------------------------------
# Format des enregistrements 
# Point;Latitude;Longitude;Niveau;NORTMm_yr;NORTMm_seas_JJA;NORTMm_seas_DJF;NORTXm_seas_JJA;NORTX35D_yr;NORTX30D_yr;NORTR_yr;NORRR_yr;NORRR_seas_JJA;NORRR_seas_DJF;NORRRq99_yr;NORRx1d_yr;NORRRq99refD_yr;NORSWI04_yr;ATMm_yr;ATMm_seas_JJA;ATMm_seas_DJF;ATXm_seas_JJA;ATX35D_yr;ATX30D_yr;ATR_yr;ARRq99refD_yr;ASWI04_yr;ARRR_yr;ARRR_seas_JJA;ARRR_seas_DJF;ARRRq99_yr;ARRx1d_yr;
#-----------------------------------------------------------------------------
139;41.3373;9.1495;GWL15;17.56;25.68;10.29;30.35;11.7;58.6;72.8;664.33;47.62;224.25;30.03;47.05;4;215;1.68;2.31;0.91;2.32;9.5;29.6;38.8;0.3;25;-0.05;-0.17;0.02;0.09;-0.03;
281;41.4149;9.0628;GWL15;17.37;25.32;10.2;29.89;10.6;48.7;65.6;622.75;38.4;205.45;26.95;43.86;3.4;215;1.48;1.92;0.85;1.82;8.1;18.8;32.4;-0.3;25;-0.11;-0.33;-0.1;-0.02;-0.06;
282;41.4087;9.1577;GWL15;17.04;25.06;9.87;29.58;10.8;45;64.1;684.82;46.97;217.98;27.81;45.18;3;213;1.49;1.94;0.89;1.88;8.6;19;31.9;-0.7;20;-0.06;-0.22;-0.05;-0.03;-0.12;
283;41.4025;9.2527;GWL15;17.34;25.29;10.22;29.87;11.1;49.5;66.2;663.13;45.45;211.92;26.97;44.14;3;223;1.49;1.92;0.9;1.84;8.8;20.1;32.8;-0.6;22;-0.06;-0.23;-0.05;-0.03;-0.12;
422;41.4985;8.8808;GWL15;17.3;25.26;10.12;29.82;10.4;47.4;65.2;627.8;38.72;207.08;27.12;44.12;3.4;225;1.48;1.92;0.84;1.82;8.1;18.3;32.4;-0.2;27;-0.11;-0.33;-0.1;-0.02;-0.06;
423;41.4925;8.9759;GWL15;17.08;25.09;9.87;29.61;10.2;44.5;63.7;643.49;39.62;212.2;27.81;44.98;3.4;222;1.48;1.93;0.84;1.86;8;17.9;32.1;-0.2;25;-0.11;-0.33;-0.1;-0.02;-0.06;
424;41.4864;9.071;GWL15;17.18;25.16;9.98;29.7;10.3;45.7;64.5;636.3;39.23;209.88;27.54;44.58;3.4;226;1.48;1.92;0.84;1.84;7.9;18.1;32.5;-0.2;27;-0.11;-0.33;-0.1;-0.02;-0.06;
425;41.4802;9.166;GWL15;16.76;24.84;9.53;29.3;10.6;42.9;62.5;707.55;48.55;225.11;28.81;46.24;3;203;1.5;1.98;0.87;1.94;8.6;18.5;31.8;-0.7;20;-0.06;-0.22;-0.05;-0.03;-0.12;
426;41.4739;9.261;GWL15;17.18;25.16;10.03;29.71;10.9;47;64.8;675.37;46.29;215.61;27.45;44.69;3;206;1.49;1.92;0.89;1.86;8.8;19.6;32;-0.6;21;-0.06;-0.22;-0.05;-0.03;-0.12;
564;41.5759;8.7935;GWL15;16.57;24.03;9.55;27.91;4.2;22;55.5;657.09;39.84;199.76;26.09;43.36;3.1;190;1.3;1.62;0.75;1.5;3.9;12.5;28.3;-0.6;22;-0.1;-0.32;-0.07;-0.03;-0.01;
565;41.57;8.8888;GWL15;16.25;23.89;9.13;27.72;4;23;54.4;689.54;41.79;209.11;27.39;45.13;3.2;190;1.36;1.75;0.75;1.61;3.8;12.1;28.4;-0.5;21;-0.1;-0.32;-0.07;-0.03;-0.01;
566;41.564;8.984;GWL15;16.04;23.84;8.81;27.71;5.1;26.6;54.7;716.05;43.38;217.1;28.47;46.53;3.3;181;1.44;1.91;0.78;1.78;4.7;13.8;29.7;-0.4;22;-0.1;-0.32;-0.07;-0.03;-0.01;
567;41.5579;9.0791;GWL15;15.1;23.57;7.53;27.33;8.6;27.8;53.7;987.96;70.47;312.56;35.78;56.56;3.2;131;1.64;2.35;0.85;2.27;7.7;13.4;30.9;-0.6;15;-0.06;-0.22;-0.03;-0.03;-0.04;
568;41.5517;9.1743;GWL15;16.68;24.78;9.44;29.23;10.6;42.2;62.2;713.78;48.98;227.09;29.06;46.53;3;201;1.51;1.99;0.86;1.96;8.6;18.3;32;-0.6;17;-0.06;-0.22;-0.05;-0.03;-0.12;
569;41.5454;9.2694;GWL15;17.13;25.12;9.97;29.66;10.9;46.2;64.6;679.11;46.54;216.75;27.64;44.87;3;209;1.49;1.93;0.89;1.87;8.8;19.1;32.2;-0.5;18;-0.06;-0.22;-0.05;-0.03;-0.12;
707;41.6474;8.8014;GWL15;16.57;23.97;9.6;27.87;3.5;21.5;55;627.24;40.09;171.73;25.45;43.71;3;212;1.27;1.53;0.75;1.43;3.3;12.2;28.2;-0.6;38;-0.15;-0.3;-0.22;-0.05;-0.07;
708;41.6415;8.8967;GWL15;16.12;23.87;9.01;27.77;5.3;25.3;54.5;678.55;41.82;205.66;27.74;44.77;3;189;1.37;1.83;0.82;1.76;4.9;14;28.4;-0.6;31;-0.14;-0.34;-0.11;-0.06;-0.06;
709;41.6355;8.992;GWL15;15.98;23.83;8.8;27.77;6.5;27.8;54.1;694.94;42.85;210.28;28.42;45.67;3.2;184;1.42;1.93;0.83;1.87;6.1;14.6;28.8;-0.6;33;-0.14;-0.34;-0.11;-0.06;-0.06;
710;41.6294;9.0873;GWL15;15.26;23.82;7.71;27.68;7.9;31.4;54.2;965.61;68.93;317.11;35.87;60.69;2.9;132;1.6;2.41;0.8;2.34;7;16.6;31.4;-0.8;28;-0.08;-0.27;-0.02;-0.02;-0.11;
711;41.6232;9.1826;GWL15;15.2;23.78;7.65;27.62;8.1;31;54.2;972.17;69.33;319.43;36.09;60.99;3;144;1.61;2.44;0.81;2.36;7.1;16.5;31.4;-0.8;19;-0.08;-0.27;-0.02;-0.02;-0.11;
712;41.6169;9.2779;GWL15;17.07;24.95;9.93;29.3;7.3;43.5;68.3;829.8;53.44;254.78;36.5;64.7;4.1;172;1.32;1.62;0.75;1.6;6.4;18.5;27.4;0.5;3;0.02;-0.04;-0.02;0.09;0.05;
849;41.7248;8.7138;GWL15;16.6;23.99;9.63;27.89;3.5;21.6;55;624.9;39.93;171.13;25.37;43.57;3;211;1.26;1.52;0.75;1.42;3.3;12.3;28.2;-0.7;39;-0.15;-0.3;-0.22;-0.05;-0.07;
