#-----------------------------------------------------------------------------
# Date d'extraction : 03/05/2026 - 22h48 loc.
#-----------------------------------------------------------------------------
# Producteur : MF_DCSC
# Experience : TRACC2023
# Modele     : RegCM4-6_MPI-ESM
#-----------------------------------------------------------------------------
# Niveaux de réchauffement :
#     GWL20 : Niveau de réchauffement Monde 2.0 degrés -> 2050 / France +2.7°C
#-----------------------------------------------------------------------------
# Type d'indice : annuel
#-----------------------------------------------------------------------------
# Indices : 
#     NORTMm_yr : Température moyenne annuelle (°C)
#     NORTMm_seas_JJA : Température moyenne en été (°C)
#     NORTMm_seas_DJF : Température moyenne en hiver (°C)
#     NORTXm_seas_JJA : Température maximale en été (°C)
#     NORTX35D_yr : Nombre de jours avec Tx >= 35°C (jour(s))
#     NORTX30D_yr : Nombre de jours avec Tx >= 30°C (jour(s))
#     NORTR_yr : Nombre de nuits tropicales (jour(s))
#     NORRR_yr : Cumul de précipitations annuelles (mm)
#     NORRR_seas_JJA : Cumul de précipitations en été (mm)
#     NORRR_seas_DJF : Cumul de précipitations en hiver (mm)
#     NORRRq99_yr : Cumul de précipitations quotidiennes remarquables (percentile 99 du cumul  quotidien) (mm)
#     NORRx1d_yr : Intensité des précipitations extrêmes (max annuel des  précipitations totales) (mm)
#     NORRRq99refD_yr : Fréquence des précipitations quotidienne remarquables (jour(s))
#     NORSWI04_yr : Nombre de jours avec SWI < 0.4 (jour(s))
#     ATMm_yr : Ecart de température moyenne annuelle (°C)
#     ATMm_seas_JJA : Ecart de température moyenne en été (°C)
#     ATMm_seas_DJF : Ecart de température moyenne en hiver (°C)
#     ATXm_seas_JJA : Ecart de température maximale en été (°C)
#     ATX35D_yr : Ecart de nombre de jours avec tx >= 35°c (jour(s))
#     ATX30D_yr : Ecart de nombre de jours avec tx >= 30°c (jour(s))
#     ATR_yr : Ecart de nombre de nuits tropicales (jour(s))
#     ARRq99refD_yr : Ecart de fréquence des précipitations quotidienne remarquables (jour(s))
#     ASWI04_yr : Ecart de nombre de jours avec swi < 0.4 (jour(s))
#     ARRR_yr : Ecart relatif de cumul de précipitations annuelles
#     ARRR_seas_JJA : Ecart relatif de cumul de précipitations en été
#     ARRR_seas_DJF : Ecart relatif de cumul de précipitations en hiver
#     ARRRq99_yr : Ecart relatif de cumul de précipitations quotidiennes remarquables (percentile 99 du cumul  quotidien)
#     ARRx1d_yr : Ecart relatif de intensité des précipitations extrêmes (max annuel des  précipitations totales)
#-----------------------------------------------------------------------------
# Format des enregistrements 
# Point;Latitude;Longitude;Niveau;NORTMm_yr;NORTMm_seas_JJA;NORTMm_seas_DJF;NORTXm_seas_JJA;NORTX35D_yr;NORTX30D_yr;NORTR_yr;NORRR_yr;NORRR_seas_JJA;NORRR_seas_DJF;NORRRq99_yr;NORRx1d_yr;NORRRq99refD_yr;NORSWI04_yr;ATMm_yr;ATMm_seas_JJA;ATMm_seas_DJF;ATXm_seas_JJA;ATX35D_yr;ATX30D_yr;ATR_yr;ARRq99refD_yr;ASWI04_yr;ARRR_yr;ARRR_seas_JJA;ARRR_seas_DJF;ARRRq99_yr;ARRx1d_yr;
#-----------------------------------------------------------------------------
139;41.3373;9.1495;GWL20;18.49;26.91;11.36;31.77;20.5;74.9;86.8;740.49;55.31;288.63;31.08;48.09;5.2;177;2.61;3.53;1.99;3.74;18.4;45.9;52.8;1.5;-13;0.06;-0.03;0.32;0.13;-0.01;
281;41.4149;9.0628;GWL20;18.26;26.44;11.14;31.08;16.4;66.4;81.8;748.75;49.5;255.53;29.03;54.42;4.8;177;2.37;3.04;1.79;3;14;36.5;48.6;1.1;-13;0.07;-0.13;0.12;0.06;0.16;
282;41.4087;9.1577;GWL20;17.89;26.09;10.78;30.59;15.1;59.8;78.4;775.73;52.61;264.97;30.05;49.41;4.2;184;2.34;2.97;1.8;2.89;13;33.8;46.3;0.6;-9;0.06;-0.13;0.16;0.04;-0.04;
283;41.4025;9.2527;GWL20;18.19;26.31;11.14;30.86;15.9;64.4;80.9;752.7;51.07;257.97;29.35;48.51;4.2;192;2.34;2.94;1.83;2.83;13.5;35;47.5;0.6;-8;0.07;-0.13;0.16;0.05;-0.03;
422;41.4985;8.8808;GWL20;18.19;26.38;11.06;31.01;16.2;65.3;81.2;754.67;49.91;257.54;29.29;54.7;4.8;184;2.37;3.04;1.79;3.02;13.8;36.2;48.5;1.2;-13;0.07;-0.13;0.12;0.06;0.16;
423;41.4925;8.9759;GWL20;17.97;26.22;10.8;30.82;15.6;62.3;79.3;772.91;51.06;263.83;29.95;55.59;4.8;184;2.37;3.07;1.77;3.07;13.4;35.8;47.8;1.2;-13;0.07;-0.13;0.12;0.06;0.16;
424;41.4864;9.071;GWL20;18.07;26.29;10.92;30.91;16;63.5;80.2;764.57;50.56;260.98;29.66;55.18;4.8;186;2.37;3.05;1.77;3.04;13.7;35.8;48.1;1.2;-14;0.07;-0.13;0.12;0.06;0.16;
425;41.4802;9.166;GWL20;17.62;25.91;10.44;30.35;14.4;57.5;76.7;800.92;54.21;273.62;31.06;50.53;4.2;178;2.36;3.04;1.77;2.99;12.4;33.2;46;0.6;-5;0.06;-0.13;0.16;0.04;-0.04;
426;41.4739;9.261;GWL20;18.03;26.19;10.95;30.71;15.4;61.8;79.3;765.69;51.93;262.43;29.83;49.08;4.2;178;2.33;2.95;1.81;2.86;13.3;34.5;46.5;0.6;-7;0.07;-0.13;0.16;0.05;-0.03;
564;41.5759;8.7935;GWL20;17.32;25;10.37;28.92;7.4;32.9;69.7;795.91;50.76;261.07;29.71;50.08;4.8;161;2.06;2.58;1.56;2.51;7.2;23.4;42.5;1.1;-7;0.08;-0.14;0.21;0.1;0.15;
565;41.57;8.8888;GWL20;17.05;24.94;9.94;28.8;7.1;34.5;69.9;834.81;53.21;273.31;31.17;51.98;4.8;162;2.16;2.8;1.57;2.69;6.8;23.7;43.9;1.1;-7;0.08;-0.14;0.21;0.1;0.14;
566;41.564;8.984;GWL20;16.87;24.98;9.64;28.89;9.1;38.7;69.4;866.32;55.22;283.57;32.34;53.49;4.9;156;2.27;3.05;1.61;2.96;8.7;25.9;44.4;1.2;-2;0.08;-0.14;0.21;0.11;0.14;
