code_insee,commune,cout_moyen_secheresse
01001,L'Abergement-Clémenciat,Pas de sinistre répertorié à CCR
01002,L'Abergement-de-Varey,Pas de sinistre répertorié à CCR
01004,Ambérieu-en-Bugey,Entre 10 et 20k€
01005,Ambérieux-en-Dombes,Pas de sinistre répertorié à CCR
01006,Ambléon,Pas de sinistre répertorié à CCR
01007,Ambronay,Entre 10 et 20k€
01008,Ambutrix,Pas de sinistre répertorié à CCR
01009,Andert-et-Condon,Pas de sinistre répertorié à CCR
01010,Anglefort,Pas de sinistre répertorié à CCR
01011,Apremont,Pas de sinistre répertorié à CCR
01012,Aranc,"Entre 0 et 2,5 k€"
01013,Arandas,"Entre 2,5 et 5 k€"
01014,Arbent,Pas de sinistre répertorié à CCR
01015,Arboys en Bugey,Pas de sinistre répertorié à CCR
01016,Arbigny,Plus de 20 k€
01017,Argis,"Entre 0 et 2,5 k€"
01019,Armix,Pas de sinistre répertorié à CCR
01021,Ars-sur-Formans,Pas de sinistre répertorié à CCR
01022,Artemare,Pas de sinistre répertorié à CCR
01023,Asnières-sur-Saône,Pas de sinistre répertorié à CCR
01024,Attignat,Entre 5 et 10 k€
01025,Bâgé-Dommartin,Entre 5 et 10 k€
01026,Bâgé-le-Châtel,"Entre 0 et 2,5 k€"
01027,Balan,Pas de sinistre répertorié à CCR
01028,Baneins,Pas de sinistre répertorié à CCR
01029,Beaupont,Entre 10 et 20k€
01030,Beauregard,"Entre 2,5 et 5 k€"
01031,Bellignat,Pas de sinistre répertorié à CCR
01032,Béligneux,Pas de sinistre répertorié à CCR
01033,Valserhône,Entre 5 et 10 k€
01034,Belley,Pas de sinistre répertorié à CCR
01035,Belleydoux,Pas de sinistre répertorié à CCR
01036,Valromey-sur-Séran,Pas de sinistre répertorié à CCR
01037,Bénonces,Pas de sinistre répertorié à CCR
01038,Bény,Plus de 20 k€
01039,Béon,Pas de sinistre répertorié à CCR
01040,Béréziat,Plus de 20 k€
01041,Bettant,Pas de sinistre répertorié à CCR
01042,Bey,Pas de sinistre répertorié à CCR
01043,Beynost,Pas de sinistre répertorié à CCR
01044,Billiat,Pas de sinistre répertorié à CCR
01045,Birieux,Pas de sinistre répertorié à CCR
01046,Biziat,"Entre 0 et 2,5 k€"
01047,Blyes,Pas de sinistre répertorié à CCR
01049,La Boisse,Entre 10 et 20k€
01050,Boissey,Pas de sinistre répertorié à CCR
01051,Bolozon,Pas de sinistre répertorié à CCR
01052,Bouligneux,Pas de sinistre répertorié à CCR
01053,Bourg-en-Bresse,Entre 5 et 10 k€
01054,Bourg-Saint-Christophe,Pas de sinistre répertorié à CCR
01056,Boyeux-Saint-Jérôme,Entre 10 et 20k€
01057,Boz,"Entre 0 et 2,5 k€"
01058,Brégnier-Cordon,Pas de sinistre répertorié à CCR
01060,Brénod,Pas de sinistre répertorié à CCR
01061,Brens,Pas de sinistre répertorié à CCR
01062,Bressolles,Pas de sinistre répertorié à CCR
01063,Brion,"Entre 2,5 et 5 k€"
01064,Briord,Pas de sinistre répertorié à CCR
01065,Buellas,Entre 5 et 10 k€
01066,La Burbanche,Pas de sinistre répertorié à CCR
01067,Ceignes,Pas de sinistre répertorié à CCR
01068,Cerdon,Pas de sinistre répertorié à CCR
01069,Certines,"Entre 0 et 2,5 k€"
01071,Cessy,Pas de sinistre répertorié à CCR
01072,Ceyzériat,Entre 10 et 20k€
01073,Ceyzérieu,Pas de sinistre répertorié à CCR
01074,Chalamont,Pas de sinistre répertorié à CCR
01075,Chaleins,Pas de sinistre répertorié à CCR
01076,Chaley,Pas de sinistre répertorié à CCR
01077,Challes-la-Montagne,Pas de sinistre répertorié à CCR
01078,Challex,Pas de sinistre répertorié à CCR
01079,Champagne-en-Valromey,Pas de sinistre répertorié à CCR
01080,Champdor-Corcelles,Pas de sinistre répertorié à CCR
01081,Champfromier,Pas de sinistre répertorié à CCR
01082,Chanay,Pas de sinistre répertorié à CCR
01083,Chaneins,Pas de sinistre répertorié à CCR
01084,Chanoz-Châtenay,Pas de sinistre répertorié à CCR
01085,La Chapelle-du-Châtelard,Pas de sinistre répertorié à CCR
01087,Charix,Pas de sinistre répertorié à CCR
01088,Charnoz-sur-Ain,Pas de sinistre répertorié à CCR
01089,Château-Gaillard,Entre 5 et 10 k€
01090,Châtenay,Pas de sinistre répertorié à CCR
01092,Châtillon-la-Palud,Entre 5 et 10 k€
01093,Châtillon-sur-Chalaronne,"Entre 0 et 2,5 k€"
01094,Chavannes-sur-Reyssouze,"Entre 0 et 2,5 k€"
01095,Nivigne et Suran,"Entre 0 et 2,5 k€"
01096,Chaveyriat,Pas de sinistre répertorié à CCR
01098,Chazey-Bons,Pas de sinistre répertorié à CCR
01099,Chazey-sur-Ain,Pas de sinistre répertorié à CCR
01100,Cheignieu-la-Balme,Pas de sinistre répertorié à CCR
01101,Chevillard,Entre 5 et 10 k€
01102,Chevroux,Pas de sinistre répertorié à CCR
01103,Chevry,Pas de sinistre répertorié à CCR
