insee,nom,segment
75056,Paris,grande_ville
13055,Marseille,grande_ville
69123,Lyon,grande_ville
31555,Toulouse,grande_ville
06088,Nice,grande_ville
44109,Nantes,grande_ville
34172,Montpellier,grande_ville
67482,Strasbourg,grande_ville
33063,Bordeaux,grande_ville
59350,Lille,grande_ville
35238,Rennes,grande_ville
51454,Reims,grande_ville
42218,Saint-Etienne,grande_ville
76351,Le Havre,industrielle_portuaire
76540,Rouen,industrielle_portuaire
13039,Fos-sur-Mer,industrielle_portuaire
13056,Martigues,industrielle_portuaire
69276,Feyzin,industrielle_portuaire
69149,Oullins-Pierre-Benite,industrielle_portuaire
69199,Saint-Fons,industrielle_portuaire
44052,Donges,industrielle_portuaire
59183,Dunkerque,industrielle_portuaire
62193,Calais,industrielle_portuaire
64445,Pau,industrielle_portuaire
64300,Lacq,industrielle_portuaire
76305,Gonfreville-l'Orcher,industrielle_portuaire
57672,Thionville,industrielle_portuaire
57221,Florange,industrielle_portuaire
57306,Hayange,industrielle_portuaire
38185,Grenoble,industrielle_portuaire
38544,Vienne,industrielle_portuaire
69266,Villeurbanne,industrielle_portuaire
93066,Saint-Denis,industrielle_portuaire
17300,La Rochelle,littorale
56121,Lorient,littorale
29019,Brest,littorale
35288,Saint-Malo,littorale
44184,Saint-Nazaire,littorale
85194,Les Sables-d'Olonne,littorale
34301,Sete,littorale
66136,Perpignan,littorale
83069,Hyeres,littorale
83137,Toulon,littorale
06029,Cannes,littorale
06004,Antibes,littorale
2A004,Ajaccio,littorale
2B033,Bastia,littorale
97411,Saint-Denis,littorale
97105,Baie-Mahault,littorale
97209,Fort-de-France,littorale
21231,Dijon,ville_moyenne
25056,Besancon,ville_moyenne
30189,Nimes,ville_moyenne
37261,Tours,ville_moyenne
45234,Orleans,ville_moyenne
49007,Angers,ville_moyenne
57463,Metz,ville_moyenne
54395,Nancy,ville_moyenne
59512,Roubaix,ville_moyenne
59599,Tourcoing,ville_moyenne
63113,Clermont-Ferrand,ville_moyenne
68066,Colmar,ville_moyenne
68224,Mulhouse,ville_moyenne
72181,Le Mans,ville_moyenne
76217,Dieppe,littorale
80021,Amiens,ville_moyenne
86194,Poitiers,ville_moyenne
87085,Limoges,ville_moyenne
92012,Boulogne-Billancourt,grande_ville
92050,Nanterre,grande_ville
93008,Bobigny,grande_ville
01053,Bourg-en-Bresse,ville_moyenne
03190,Moulins,rurale_calme
05061,Gap,ville_moyenne
07010,Annonay,ville_moyenne
08105,Charleville-Mezieres,ville_moyenne
11069,Carcassonne,ville_moyenne
12202,Rodez,ville_moyenne
14118,Caen,ville_moyenne
18033,Bourges,ville_moyenne
19031,Brive-la-Gaillarde,ville_moyenne
23096,Gueret,rurale_calme
24037,Bergerac,ville_moyenne
27229,Evreux,ville_moyenne
28085,Chartres,ville_moyenne
32013,Auch,rurale_calme
36044,Chateauroux,ville_moyenne
41018,Blois,ville_moyenne
48095,Mende,rurale_calme
53130,Laval,ville_moyenne
55029,Bar-le-Duc,rurale_calme
58194,Nevers,ville_moyenne
61001,Alencon,ville_moyenne
70550,Vesoul,rurale_calme
71270,Macon,ville_moyenne
74010,Annecy,ville_moyenne
81004,Albi,ville_moyenne
82121,Montauban,ville_moyenne
84007,Avignon,ville_moyenne
89024,Auxerre,ville_moyenne
